"UID","session","treatment","wta.pen","wta.mug","Date","ExperimentalID","SubjectItem","YourNumber","Condition","BirthYear","Gender","Ethnicity","Country","Language","Education","Major","HSSStudent","HSSClasses","IsTalkative","TendsFault","ThoroughJob","IsDepressed","IsOriginal","IsReserved","IsHelpful","Careless","IsRelaxed","Curious","Energy","Quarrels","Reliable","Tense","Ingenious","Enthusiasm","Forgiving","Disorganized","Worries","Imagination","Quiet","Trusting","TendsLazy","Stable","Inventive","Assertive","ColdAloof","Perseveres","Moody","Artistic","Shy","Considerate","Efficient","Calm","PrefersRoutine","Outgoing","Rude","FollowsThrough","Nervous","Reflect","FewArtistic","Cooperate","Distracted","Sophisticated","theMugBid","thePenBid","WillingToPay","LikeBetterSubjectItem","ThinkOtherItem","ThinkSubjectItem","ThinkMoreAboutSubjectItem","leaveWithItem","leaveWithLess","BDMItem","BDMPrice","Female","HighTreat","Age","Day"
"11B10","11_thursday_2.30","MH",0.165,8.085,"10-08-2015",101,"mug",8,"MH",1995,"F","Caucasian","United States","English","College","History and Literature",FALSE,"",5,4,3,4,4,2,2,4,2,5,4,4,2,4,3,3,2,5,4,5,1,3,3,1,4,4,2,3,4,5,2,2,2,2,2,4,4,2,4,4,1,4,5,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,3
"11B7","11_thursday_2.30","MH",7.095,6.105,"10-08-2015",71,"mug",8,"MH",1997,"F","Hispanic","United States","Spanish","College","Mathematics",FALSE,"",4,2,4,2,2,5,4,2,3,5,5,1,4,2,4,4,3,3,4,4,5,4,4,4,2,1,2,3,2,5,5,5,4,2,5,4,1,4,4,4,3,3,4,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,18,3
"11C2","11_thursday_2.30","ML",7.095,2.145,"10-08-2015",141,"mug",1,"ML",1990,"M","Caucasian","United States","English","College","Social Sciences",FALSE,"",2,3,3,4,5,4,4,2,3,5,2,1,5,4,4,2,4,2,4,5,4,4,1,4,4,2,4,4,2,5,4,5,4,5,2,3,1,4,4,5,2,5,2,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,25,3
"11C3","11_thursday_2.30","ML",1.815,4.455,"10-08-2015",151,"mug",1,"ML",1991,"F","Caucasian","United States","English","Graduate School","Biostatistics",FALSE,"",3,2,4,2,4,3,4,3,3,3,3,1,4,4,3,3,4,2,4,3,3,4,2,3,3,3,3,4,2,3,3,4,4,4,2,3,2,4,4,3,2,4,4,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,24,3
"11C4","11_thursday_2.30","MH",5.115,9.57,"10-08-2015",161,"mug",8,"MH",1994,"F","Caucasian","United States","English","College","Astrophysics",FALSE,"",4,4,4,2,4,2,4,2,4,4,3,2,4,3,3,4,2,3,2,3,3,4,3,4,4,4,2,3,2,4,3,4,4,4,3,4,3,4,2,3,2,4,2,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,21,3
"11C5","11_thursday_2.30","MH",9.57,9.57,"10-08-2015",171,"mug",8,"MH",1996,"F","Asian","Canada","English","College","Neurobiology",FALSE,"",4,2,5,2,4,3,4,2,4,5,4,1,5,3,4,4,4,2,3,4,2,3,2,4,4,4,3,4,2,3,2,4,4,4,1,4,2,4,2,5,3,4,2,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,3
"12B10","12_thursday_4.00","ML",1.155,1.155,"10-08-2015",101,"mug",1,"ML",1990,"F","Caucasian","United States","English","Graduate School","JD",FALSE,"",2,2,3,3,3,4,3,3,3,4,3,1,4,3,4,2,4,3,3,4,4,3,3,4,3,2,3,3,3,4,4,3,3,3,3,2,3,4,3,4,2,3,3,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,25,3
"12B11","12_thursday_4.00","MH",3.795,3.795,"10-08-2015",111,"mug",8,"MH",1996,"F","Asian","United States","Japanese","College","Economics",FALSE,"",3,4,4,3,4,3,4,2,2,2,4,1,4,4,4,5,3,1,4,4,2,2,2,2,3,3,3,4,4,2,4,5,4,4,4,4,2,3,4,4,4,4,2,2,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,3
"12B12","12_thursday_4.00","MH",1.485,1.485,"10-08-2015",121,"mug",8,"MH",1995,"M","Caucasian","United States","English","College","Environmental Science and Public Policy",FALSE,"",2,4,5,2,4,3,5,4,4,5,2,2,4,4,4,3,2,1,2,3,3,2,3,5,4,4,3,3,2,5,2,5,4,5,3,4,3,4,4,4,1,4,2,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,3
"12B7","12_thursday_4.00","MH",5.115,2.475,"10-08-2015",71,"mug",8,"MH",1996,"M","Asian","Korea South","English","College","Mathematics",FALSE,"",5,4,5,3,4,2,4,2,1,5,5,2,5,5,4,5,5,3,5,3,1,5,2,1,4,4,2,4,5,5,2,5,3,1,4,5,2,4,5,4,1,3,4,5,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,3
"12B8","12_thursday_4.00","MH",9.57,4.125,"10-08-2015",81,"mug",8,"MH",1995,"F","Asian","Bangladesh","Bengali","College","Economics",FALSE,"",3,4,3,3,2,5,3,4,2,5,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,2,3,2,3,2,4,4,4,4,4,2,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,3
"12B9","12_thursday_4.00","ML",2.145,4.785,"10-08-2015",91,"mug",1,"ML",1996,"M","Asian","United States","English","College","Economics",FALSE,"",3,3,5,2,4,2,3,3,3,5,4,2,5,2,2,4,2,1,3,4,2,2,2,4,4,3,3,5,2,4,4,4,5,4,2,4,2,4,2,4,2,5,4,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,19,3
"12C1","12_thursday_4.00","MH",2.805,5.115,"10-08-2015",131,"mug",8,"MH",1994,"F","African/African American","United States","Malagasy","College","Molecular and Cellular Biology",FALSE,"",2,1,4,4,3,4,5,5,1,4,2,1,4,5,4,2,5,4,5,4,4,5,4,1,2,1,3,3,4,5,5,5,2,3,3,3,1,4,5,5,3,5,5,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,21,3
"12C3","12_thursday_4.00","ML",1.815,3.135,"10-08-2015",151,"mug",1,"ML",1996,"F","Caucasian","United States","English","College","Human Developmental and Regenerative Biology",FALSE,"",4,2,5,1,2,4,5,2,4,4,4,1,5,4,2,3,4,1,4,3,4,4,1,2,2,3,2,5,3,3,5,5,4,4,5,4,1,5,4,4,3,5,2,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,3
"12C4","12_thursday_4.00","ML",9.57,8.085,"10-08-2015",161,"mug",1,"ML",1996,"F","African/African American","Kenya","Swahili","High School","",FALSE,"",3,2,4,2,3,4,5,2,4,5,4,2,4,4,4,3,4,2,3,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,2,3,2,4,3,4,4,4,3,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,3
"12C5","12_thursday_4.00","ML",5.115,1.155,"10-08-2015",171,"mug",1,"ML",1992,"F","Caucasian","United States","English","College","Neurobiology",FALSE,"",5,2,4,1,4,3,4,4,5,4,4,2,4,2,4,4,4,4,2,3,2,4,4,4,4,4,2,4,3,2,2,4,5,5,3,4,2,4,2,4,4,4,3,1,"000","000","0","0","0","0","0","000","000","000","000",1,0,23,3
"12C6","12_thursday_4.00","ML",6.105,2.805,"10-08-2015",181,"mug",1,"ML",1994,"M","Caucasian","United States","English","College","Economics",FALSE,"",2,3,5,2,3,5,4,2,2,3,3,2,5,3,3,2,5,2,4,2,5,3,1,3,2,2,3,4,4,4,5,4,2,3,4,1,2,4,3,4,2,4,2,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,21,3
"13B1","13_friday_10.00","ML",3.135,3.135,"10-09-2015",11,"mug",1,"ML",1989,"M","Caucasian","United States","English","Graduate School","JD",FALSE,"",4,5,4,2,4,3,5,2,4,4,4,2,4,2,4,4,4,3,2,2,3,3,2,5,4,2,3,4,1,4,4,4,3,5,3,4,2,2,2,4,4,4,3,4,"000","000","0","0","0","0","0","000","000","000","000",0,0,26,4
"13B10","13_friday_10.00","MH",0,0,"10-09-2015",101,"mug",8,"MH",1994,"F","Other","United States","English","College","Sociology",FALSE,"",2,4,4,2,4,4,4,2,5,4,3,1,5,2,4,2,4,2,2,4,4,2,2,4,4,4,4,4,4,5,5,4,5,5,4,2,2,4,2,4,2,4,2,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,21,4
"13B11","13_friday_10.00","MH",5.115,4.125,"10-09-2015",121,"mug",8,"MH",1995,"M","Caucasian","Canada","English","College","stats",FALSE,"",5,2,5,3,4,1,4,4,3,5,5,4,4,4,4,4,3,4,3,4,1,5,1,3,5,5,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,1,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,4
"13B12","13_friday_10.00","ML",0.165,0,"10-09-2015",121,"mug",1,"ML",1996,"F","Caucasian","United States","English","College","Comparative Lit and Government",FALSE,"",5,2,4,1,4,1,4,4,4,5,5,1,4,3,4,5,5,3,3,4,2,4,2,5,3,3,2,4,1,5,3,4,3,4,2,5,2,4,3,4,2,5,4,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,4
"13B7","13_friday_10.00","ML",2.145,1.155,"10-09-2015",71,"mug",1,"ML",1994,"F","Caucasian","United States","English","College","Economics",FALSE,"",3,4,4,2,4,2,3,1,2,4,4,3,4,4,2,3,1,2,4,3,3,4,2,3,2,3,2,3,2,2,2,4,5,4,4,3,3,4,4,2,3,4,3,2,"000","000","0","0","0","0","0","000","000","000","000",1,0,21,4
"13B8","13_friday_10.00","MH",7.095,4.125,"10-09-2015",81,"mug",8,"MH",1995,"M","Other","United States","English","College","Gov't",FALSE,"",3,2,4,2,3,3,4,4,4,5,3,1,4,3,4,3,4,2,3,4,3,5,3,4,4,2,2,4,3,4,3,5,3,5,4,3,2,4,4,4,2,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,4
"13B9","13_friday_10.00","MH",8.745,5.115,"10-09-2015",91,"mug",8,"MH",1991,"M","African/African American","United States","English","Graduate School","Religion",FALSE,"",3,2,4,1,5,3,5,2,5,5,4,1,5,2,5,3,5,4,1,5,3,4,2,5,5,5,3,4,2,5,2,5,5,5,2,4,3,4,2,5,1,5,2,5,"000","000","0","0","0","0","0","000","000","000","000",0,1,24,4
"13C1","13_friday_10.00","ML",3.135,8.085,"10-09-2015",131,"mug",1,"ML",1987,"F","Asian","Singapore","English","Graduate School","Public Policy",FALSE,"",2,2,5,1,2,4,4,4,4,4,3,1,5,3,3,2,4,3,2,4,4,4,4,4,2,2,4,4,3,4,5,5,5,4,2,3,2,3,2,4,2,4,2,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,28,4
"13C10","13_friday_10.00","MH",4.785,5.115,"10-09-2015",221,"mug",8,"MH",1995,"F","Asian","Korea South","Korean","College","Social Studies",FALSE,"",5,3,4,1,4,3,2,5,3,4,5,1,3,4,3,5,4,3,4,4,1,3,3,5,4,2,2,4,1,5,3,4,2,1,1,5,4,4,5,5,2,2,3,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,4
"13C11","13_friday_10.00","MH",4.125,5.115,"10-09-2015",231,"mug",8,"MH",1996,"M","Hispanic","United States","English","College","Biomedical Engineering",FALSE,"",4,2,5,1,1,4,4,2,5,5,5,1,5,1,5,5,3,1,1,3,1,5,1,4,4,3,2,5,1,3,1,4,5,5,4,4,1,4,1,4,2,4,1,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,4
"13C12","13_friday_10.00","MH",1.155,7.095,"10-09-2015",241,"mug",8,"MH",1993,"F","Caucasian","United States","English","College","History and Literature",FALSE,"",3,4,3,3,3,5,3,4,3,4,3,2,4,4,3,2,4,2,5,5,5,5,4,2,3,2,4,3,3,3,5,4,4,4,4,2,4,3,5,5,3,4,5,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,22,4
"13C2","13_friday_10.00","MH",4.785,4.785,"10-09-2015",141,"mug",8,"MH",1996,"M","African/African American","Nigeria","English","Graduate School","Human Regenerative Biology",FALSE,"",4,4,4,2,5,4,4,3,5,5,4,3,4,3,5,4,4,4,4,5,4,1,2,3,5,5,5,5,5,5,4,3,4,4,2,4,4,3,1,5,5,5,2,2,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,4
"13C3","13_friday_10.00","MH",3.795,2.805,"10-09-2015",151,"mug",8,"MH",1993,"F","Caucasian","United States","English","College","French Language and Literature",FALSE,"",2,4,4,3,3,2,4,4,2,4,3,2,4,4,3,2,4,4,4,4,4,4,3,2,4,4,4,3,4,4,4,3,2,2,3,3,2,3,3,5,2,5,5,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,22,4
"13C4","13_friday_10.00","ML",5.115,1.155,"10-09-2015",161,"mug",1,"ML",1994,"F","Asian","United States","English","College","CHEM",FALSE,"",4,2,4,2,3,3,4,4,3,4,4,1,4,3,3,4,4,3,3,3,3,4,2,3,3,3,3,4,3,4,4,5,4,3,2,4,2,3,3,3,3,4,4,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,21,4
"13C5","13_friday_10.00","ML",7.095,1.155,"10-09-2015",171,"mug",1,"ML",1996,"F","Caucasian","Canada","English","College","cognitive neuroscience",FALSE,"",5,4,4,3,4,2,4,4,2,5,5,2,4,4,3,4,4,5,5,5,2,4,4,2,3,4,4,4,5,3,4,4,4,3,4,4,4,3,4,5,4,4,4,1,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,4
"13C6","13_friday_10.00","MH",5.115,6.105,"10-09-2015",181,"mug",8,"MH",1994,"M","African/African American","United States","English","College","Visual Arts/Film",FALSE,"",5,3,4,3,5,2,4,4,3,5,5,2,4,4,5,5,4,4,2,5,1,4,1,4,5,5,2,4,4,5,1,4,4,4,3,5,4,3,2,4,1,5,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,21,4
"13C7","13_friday_10.00","MH",1.155,0.165,"10-09-2015",191,"mug",8,"MH",1996,"F","Caucasian","United States","English","College","Human Evolutionary Biology",FALSE,"",4,3,4,1,4,2,4,2,4,4,4,2,4,3,3,5,3,3,1,4,3,3,2,4,3,4,2,4,3,3,2,4,4,4,3,4,3,4,2,3,2,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,4
"13C8","13_friday_10.00","MH",1.155,2.145,"10-09-2015",201,"mug",8,"MH",1994,"M","Caucasian","United States","English","College","Molecular and Cellular Biology",FALSE,"",4,4,5,2,4,2,4,1,2,4,3,2,5,5,4,3,2,1,4,3,2,2,1,5,4,4,4,4,2,3,2,2,5,4,3,4,4,5,3,3,4,2,3,1,"000","000","0","0","0","0","0","000","000","000","000",0,1,21,4
"13C9","13_friday_10.00","MH",6.435,5.115,"10-09-2015",211,"mug",8,"MH",1996,"F","Caucasian","United States","English","College","English",FALSE,"",4,5,4,4,4,2,4,3,2,5,4,4,4,4,4,4,4,4,5,5,2,5,2,2,4,4,4,4,4,5,4,2,4,4,2,4,4,3,5,4,1,4,3,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,4
"14B1","14_friday_11.30","MH",3.135,3.795,"10-09-2015",11,"mug",8,"MH",1993,"M","Caucasian","United States","English","College","Government",FALSE,"",4,2,4,2,4,2,5,2,5,5,4,1,4,2,4,4,4,2,3,5,2,3,2,5,4,4,2,4,2,4,2,4,4,5,3,4,1,4,3,4,2,4,2,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,22,4
"14B10","14_friday_11.30","ML",8.085,4.785,"10-09-2015",101,"mug",1,"ML",1992,"M","Asian","United States","English","College","computer science",FALSE,"",3,3,3,3,5,3,4,4,4,5,3,3,3,3,4,3,2,3,4,4,3,4,4,3,5,3,3,4,3,4,2,3,3,4,1,3,3,3,3,5,1,4,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,0,23,4
"14B12","14_friday_11.30","MH",0.825,4.785,"10-09-2015",121,"mug",8,"MH",1995,"F","Other","United States","English","College","Chemistry and Physics",FALSE,"",3,3,3,2,3,5,3,2,4,4,3,3,3,4,3,3,3,2,3,5,4,2,3,4,3,4,4,4,3,4,3,2,4,4,4,2,4,5,3,4,3,3,3,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,4
"14B2","14_friday_11.30","ML",9.405,6.765,"10-09-2015",21,"mug",1,"ML",1996,"M","Caucasian","Moldova","Romanian","College","Undecided/Sciences",FALSE,"",3,2,4,2,4,3,3,3,4,5,4,3,3,3,4,4,3,2,1,4,4,4,2,4,4,4,4,4,3,4,4,3,4,4,2,4,4,4,2,4,4,3,2,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,19,4
"14B3","14_friday_11.30","ML",7.095,4.455,"10-09-2015",31,"mug",1,"ML",1994,"F","Middle Eastern","United States","English","College","Organismic and Evolutionary Biology",FALSE,"",5,3,5,2,4,2,4,2,3,5,4,1,5,5,5,3,4,1,5,4,2,5,1,4,4,5,2,5,4,4,4,4,5,5,2,4,1,5,3,5,1,3,2,5,"000","000","0","0","0","0","0","000","000","000","000",1,0,21,4
"14B4","14_friday_11.30","MH",3.795,2.145,"10-09-2015",41,"mug",8,"MH",1993,"M","Caucasian","United States","English","Graduate School","Law",FALSE,"",3,3,3,2,3,4,4,4,4,3,3,1,3,3,4,4,4,2,3,3,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,3,2,3,3,4,2,4,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,22,4
"14B5","14_friday_11.30","MH",5.115,2.145,"10-09-2015",51,"mug",8,"MH",1994,"M","Caucasian","United States","English","College","Psychology",FALSE,"",5,3,4,3,4,2,5,5,5,5,5,3,5,3,4,5,3,2,2,3,1,4,3,4,3,5,3,4,3,4,4,5,3,4,4,5,5,2,2,5,2,5,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,21,4
"14B6","14_friday_11.30","MH",5.115,1.815,"10-09-2015",61,"mug",8,"MH",1994,"M","Hispanic","United States","Spanish","College","Biology",FALSE,"",4,3,5,4,3,3,4,3,2,5,2,4,3,2,3,2,4,4,3,3,4,4,3,4,3,3,3,4,4,4,4,4,3,4,4,3,3,4,2,4,3,3,2,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,21,4
"14B7","14_friday_11.30","MH",0.825,0,"10-09-2015",71,"mug",8,"MH",1994,"M","Caucasian","United States","English","College","Economics",FALSE,"",4,4,4,2,4,3,4,2,3,4,4,3,3,2,3,4,3,2,2,4,2,4,2,4,2,4,3,4,3,4,3,3,4,4,2,4,2,4,2,4,4,4,2,2,"000","000","0","0","0","0","0","000","000","000","000",0,1,21,4
"14B8","14_friday_11.30","MH",1.155,6.105,"10-09-2015",81,"mug",8,"MH",1991,"M","Caucasian","United States","English","Graduate School","Public Policy",FALSE,"",2,3,4,3,2,4,5,2,3,4,3,1,4,3,3,2,4,2,4,3,4,4,2,3,3,2,4,4,2,3,4,4,4,4,4,3,2,4,3,3,2,4,2,3,"000","000","0","0","0","0","0","000","000","000","000",0,1,24,4
"14C10","14_friday_11.30","MH",3.135,3.135,"10-09-2015",221,"mug",8,"MH",1993,"M","Caucasian","United States","English","College","Econ",FALSE,"",5,5,1,2,5,1,1,5,5,2,5,5,1,5,5,5,1,5,4,4,1,1,5,2,5,5,5,4,5,5,1,1,5,5,1,5,5,1,1,2,1,1,5,3,"000","000","0","0","0","0","0","000","000","000","000",0,1,22,4
"14C11","14_friday_11.30","ML",1.155,1.155,"10-09-2015",231,"mug",1,"ML",1994,"M","African/African American","United States","English","College","ECONOMICS",FALSE,"",5,5,4,4,4,2,4,1,3,4,2,2,5,4,3,3,2,1,5,4,2,2,3,2,2,4,3,4,4,5,3,4,5,5,2,4,3,4,2,3,2,3,4,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,21,4
