"","num","experiment","replicate","n","r","z","vz"
"47",73,"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",0,37,0.322574106,0.334517515861865,0.0294117647058824
"48",80,"The effects of an implemental mind-set on attitude strength.",0,46,0.259958534,0.266063935058371,0.0232558139534884
"49",81,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",0,94,0.268278965,0.275008386572745,0.010989010989011
"50",82,"The face of success: inferences from chief executive officers' appearance predict company profits.",0,50,0.3,0.309519604203112,0.0212765957446809
"51",84,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",0,52,0.503449638,0.553916296490002,0.0204081632653061
"52",86,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",0,85,0.212014281,0.215279491482967,0.0121951219512195
"53",87,"The space between us: Stereotype threat and distance in interracial contexts.",0,55,0.395559206,0.418373377644792,0.0192307692307692
"54",89,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",0,163,0.139816632,0.140738547101889,0.00625
"55",93,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",0,91,0.317462994,0.328823222570441,0.0113636363636364
"56",94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",0,28,0.344312999,0.358977418835944,0.04
"57",97,"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",0,90,0.378274916,0.398044963704019,0.0114942528735632
"58",104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",0,236,0.127392361,0.128088292454287,0.00429184549356223
"59",106,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.",0,36,0.381744212,0.402099816773692,0.0303030303030303
"60",107,"Nonconscious goal pursuit in novel environments: The case of implicit learning.",0,86,0.222330235,0.226106188572231,0.0120481927710843
"61",110,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",0,280,0.554427187,0.624750856813491,0.0036101083032491
"62",111,"Precision of the anchor influences the amount of adjustment.",0,59,0.333441051,0.34669477755082,0.0178571428571429
"63",112,"Action dynamics reveal parallel competition in decision making",0,141,0.701088742,0.869438514085779,0.0072463768115942
"64",113,"Prescribed optimism: Is it right to be wrong about the future?",0,125,0.681152182,0.831260365276445,0.00819672131147541
"65",114,"Age-related changes in the episodic simulation of future events",0,32,0.570693584,0.648550826829565,0.0344827586206897
"66",115,"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",0,32,0.501799075,0.551707796113811,0.0344827586206897
"67",116,"Measuring the crowd within: Probabilistic representations within individuals.",0,173,0.28771881,0.296077402194826,0.00588235294117647
"68",117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.",0,12,0.130782132,0.131535509743525,0.111111111111111
"69",118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0,115,0.21368683,0.217031412373752,0.00892857142857143
"70",120,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",0,31,0.38,0.400059650056057,0.0357142857142857
"71",121,"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",0,12,0.851679354,1.2622359039858,0.111111111111111
"72",122,"The representation of simple ensemble visual features outside the focus of attention",0,8,0.721890032,0.911580609250947,0.2
"73",124,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",0,36,0.384260399,0.405048559767843,0.0303030303030303
"74",127,"A motion aftereffect from still photographs depicting motion",0,29,0.685347348,0.83912881221931,0.0384615384615385
"75",129,"The threat of appearing prejudiced and race-based attentional biases.",0,28,0.371775163,0.390481398198824,0.04
"76",132,"Where do we look during potentially offensive behavior?",0,25,0.246947019,0.252158936395347,0.0454545454545455
"77",133,"Adaptive memory: The comparative value of survival processing.",0,24,0.445652636,0.479262324352725,0.0476190476190476
"78",134,"Is happiness having what you want, wanting what you have, or both?",0,119,0.20996855,0.213138445861106,0.00862068965517241
"79",135,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",0,564,0.00464002,0.00464005329997545,0.0017825311942959
"80",136,"The value of believing in free will: Encouraging a belief in determinism increases cheating.",0,30,0.498149178,0.546841417850272,0.037037037037037
"81",139,"Auditory change detection: simple sounds are not memorized better than complex sounds",0,4,0.496363588,0.544469283070039,1
"82",140,"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",0,84,0.233776428,0.238180507391454,0.0123456790123457
"83",142,"Hedonic and instrumental motives in anger regulation.",0,82,0.593405778,0.68290665629042,0.0126582278481013
"84",143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",0,57,0.172960188,0.174716536811263,0.0185185185185185
"85",145,"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",0,240,0.768651993,1.01702492443777,0.00421940928270042
"86",146,"A word-order constraint on phonological activation",0,15,0.649955571,0.775221776719086,0.0833333333333333
"87",148,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,208,0.188662549,0.190949992796085,0.0048780487804878
"88",149,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,208,0.188662549,0.190949992796085,0.0048780487804878
"89",150,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",0,14,0.722536382,0.91293165300265,0.0909090909090909
"90",151,"With a clean conscience: Cleanliness reduces the severity of moral judgments.",0,43,0.400010244,0.423661125491187,0.025
"91",153,"Extremal edge: a powerful cue to depth perception and figure-ground organization",0,8,0.859552403,1.29162832504362,0.2
"92",154,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",0,70,0.43,0.459896681212679,0.0149253731343284
"93",155,"Personality dominance and preferential use of the vertical dimension of space",0,53,0.31,0.320545409301946,0.02
"94",158,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",0,40,0.374787884,0.393981877130233,0.027027027027027
"95",161,"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",0,48,0.483442318,0.527466797836033,0.0222222222222222
"96",165,"The value heuristic in judgments of relative frequency.",0,56,0.28378815,0.291797237670132,0.0188679245283019
"97",167,"Head up, foot down: Object words orient attention to the objects' typical location.",0,18,0.595271914,0.685792015328455,0.0666666666666667
"98",1,"Tracing attention and the activation flow in spoken word planning using eye movements.",1,29,0.148340453,0.149443120256283,0.0384615384615385
"99",2,"Now you see it, now you don't: repetition blindness for nonwords",1,24,0.229604631,0.233772054589965,0.0476190476190476
"100",3,"Working memory costs of task switching.",1,32,-0.215243835,-0.218663485593077,0.0344827586206897
"101",4,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",1,270,-0.006108358,-0.00610843397346169,0.00374531835205993
"102",5,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",1,48,0.134811802,0.135637524870972,0.0222222222222222
"103",6,"A single-system account of the relationship between priming, recognition, and fluency.",1,32,0.395843475,0.418710420698763,0.0344827586206897
"104",7,"Modeling distributions of immediate memory effects: No strategies needed?",1,15,0.131411981,0.132176372921613,0.0833333333333333
"105",8,"Stereotypes and retrieval-provoked illusory source recollections.",1,33,-0.110614348,-0.111068831072181,0.0333333333333333
"106",10,"Across-notation automatic numerical processing.",1,32,0.780725807,1.04722667369848,0.0344827586206897
"107",11,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",1,30,0.466443576,0.505515292648616,0.037037037037037
"108",12,"When does between-sequence phonological similarity promote irrelevant sound disruption?",1,118,0.08323764,0.0834306805876074,0.00869565217391304
"109",13,"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",1,36,0.524539034,0.582581291188142,0.0303030303030303
"110",15,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",1,242,0.24687812,0.252085564199444,0.00418410041841004
"111",17,"The ultimate sampling dilemma in experience-based decision making.",1,47,0.434510306,0.465443374485164,0.0227272727272727
"112",19,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",1,21,0.401939168,0.425959601340054,0.0555555555555556
"113",20,"Intentional forgetting is easier after two ""shots"" than one.",1,108,0.019422053,0.0194244956568418,0.00952380952380952
"114",22,"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",1,32,0.064661345,0.0647516900439762,0.0344827586206897
"115",24,"Priming addition facts with semantic relations.",1,49,0.284274426,0.29232618593634,0.0217391304347826
"116",25,"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",1,63,0.2733272,0.280456144360303,0.0166666666666667
"117",26,"Contextual effects on reading aloud: Evidence for pathway control.",1,20,0.14406846,0.145077808249329,0.0588235294117647
"118",27,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",1,71,0.379573968,0.399561810599662,0.0147058823529412
"119",28,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",1,91,0.103261105,0.103630490542844,0.0113636363636364
"120",29,"Multidimensional visual statistical learning.",1,15,0.703904904,0.874998612661069,0.0833333333333333
"121",32,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.",1,38,0.480717115,0.523916497045395,0.0285714285714286
"122",33,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",1,40,0.315999964,0.327197057137755,0.027027027027027
"123",36,"An attention-based associative account of adjacent and nonadjacent dependency learning.",1,24,0.681560537,0.832022572221689,0.0476190476190476
"124",37,"Orienting attention in visual working memory reduces interference from memory probes.",1,18,0.349791589,0.365206268595273,0.0666666666666667
"125",39,"Decision making and learning while taking sequential risks.",1,153,0.101709161,0.102062072805603,0.00666666666666667
"126",43,"The rejection of moral rebels: Resenting those who do the right thing.",1,75,0.161063754,0.16247858884867,0.0138888888888889
"127",44,"Why do implicit and explicit attitude tests diverge? The role of structural fit.",1,180,0.150236955,0.151382853963031,0.00564971751412429
"128",46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",1,455326,0.023841537,0.0238460558679042,2.19624310654195e-06
"129",48,"Terror management and adults' attachment to their parents: The safe haven remains.",1,200,-0.052290282,-0.0523380189858188,0.0050761421319797
"130",49,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",1,88,-0.030485538,-0.0304949873644914,0.0117647058823529
"131",50,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",1,105,0.155043132,0.156303691857083,0.00980392156862745
"132",52,"Affective incoherence: When affective concepts and embodied reactions clash.",1,113,0.094021673,0.0943002047242516,0.00909090909090909
"133",53,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",1,75,0.076700677,0.0768516200278652,0.0138888888888889
"134",55,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",1,71,0.066130007,0.0662266601626609,0.0147058823529412
"135",56,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",1,83,-0.042140104,-0.0421650745796795,0.0125
"136",58,"Walking on eggshells: How expressing relationship insecurities perpetuates them.",1,280,0.03675175,0.0367683101769055,0.0036101083032491
"137",61,"Poignancy: Mixed emotional experience in the face of meaningful endings.",1,222,-0.004719346,-0.00471938103724945,0.0045662100456621
"138",63,"1/f noise and effort on implicit measures of bias.",1,148,0.073797292,0.0739316991417272,0.00689655172413793
"139",64,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.",1,71,0.11385379,0.114349602276968,0.0147058823529412
"140",65,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",1,135,0.011721165,0.0117217018177724,0.00757575757575758
"141",68,"Why people are reluctant to tempt fate.",1,226,0.003001488,0.00300149701344736,0.00448430493273543
"142",71,"On the relative independence of thinking biases and cognitive ability.",1,177,0.073353737,0.0734857299440754,0.00574712643678161
"143",72,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",1,251,0.04449582,0.044525220365058,0.00403225806451613
"144",73,"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",1,120,0.2,0.202732554054082,0.00854700854700855
"145",80,"The effects of an implemental mind-set on attitude strength.",1,70,0.15539539,0.156664646344502,0.0149253731343284
"146",81,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",1,141,-0.101637251,-0.101989411675437,0.0072463768115942
"147",82,"The face of success: inferences from chief executive officers' appearance predict company profits.",1,50,0.27,0.2768638226551,0.0212765957446809
"148",84,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",1,150,0.217562252,0.221095810338853,0.00680272108843537
"149",86,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",1,140,0.118808574,0.119372369949725,0.0072992700729927
"150",87,"The space between us: Stereotype threat and distance in interracial contexts.",1,51,0.013045451,0.013046191117014,0.0208333333333333
"151",89,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",1,304,0.0294047,0.0294131791904262,0.00332225913621262
"152",93,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",1,76,-0.1351,-0.135931069224414,0.0136986301369863
"153",94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",1,61,0.28970838,0.298247895841039,0.0172413793103448
"154",97,"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",1,1490,-0.036935346,-0.0369521557380355,0.000672494956287828
"155",104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",1,1146,0.018376516,0.0183785849799619,0.000874890638670166
"156",106,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.",1,47,-0.222920955,-0.226727712667986,0.0227272727272727
"157",107,"Nonconscious goal pursuit in novel environments: The case of implicit learning.",1,158,0.104941786,0.105329585238058,0.00645161290322581
"158",110,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",1,144,0.091162691,0.0914164977721764,0.00709219858156028
"159",111,"Precision of the anchor influences the amount of adjustment.",1,120,0.225764222,0.229721666607801,0.00854700854700855
"160",112,"Action dynamics reveal parallel competition in decision making",1,51,0.750404422,0.973880109255998,0.0208333333333333
"161",113,"Prescribed optimism: Is it right to be wrong about the future?",1,177,0.763508789,1.00457484452595,0.00574712643678161
"162",114,"Age-related changes in the episodic simulation of future events",1,32,0.652730428,0.780041330582545,0.0344827586206897
"163",115,"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",1,8,-0.450187899,-0.484935913612849,0.2
"164",116,"Measuring the crowd within: Probabilistic representations within individuals.",1,140,0.322727228,0.334688430685667,0.0072992700729927
"165",117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.",1,12,0.120519146,0.121107792678052,0.111111111111111
"166",118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",1,166,-0.048918238,-0.0489573144713753,0.00613496932515337
"167",120,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",1,43,0.25,0.255412811882995,0.025
"168",121,"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",1,24,0.828997685,1.18492314412419,0.0476190476190476
"169",122,"The representation of simple ensemble visual features outside the focus of attention",1,17,0.922934494,1.60847594653146,0.0714285714285714
"170",124,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",1,70,-0.034279559,-0.0342929956428472,0.0149253731343284
"171",127,"A motion aftereffect from still photographs depicting motion",1,26,0.527307869,0.58640880552693,0.0434782608695652
"172",129,"The threat of appearing prejudiced and race-based attentional biases.",1,66,0.017674908,0.0176767489061405,0.0158730158730159
"173",132,"Where do we look during potentially offensive behavior?",1,30,0.179397898,0.181360494878753,0.037037037037037
"174",133,"Adaptive memory: The comparative value of survival processing.",1,38,0.423363806,0.451783336020072,0.0285714285714286
"175",134,"Is happiness having what you want, wanting what you have, or both?",1,238,0.500179963,0.549546123796944,0.00425531914893617
"176",135,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",1,3597,0.105891025,0.10628949138422,0.000278241513633834
"177",136,"The value of believing in free will: Encouraging a belief in determinism increases cheating.",1,58,0.102355162,0.102714869812966,0.0181818181818182
"178",139,"Auditory change detection: simple sounds are not memorized better than complex sounds",1,5,0.505151268,0.556198279242192,0.5
"179",140,"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",1,125,0.044266281,0.0442952283539177,0.00819672131147541
"180",142,"Hedonic and instrumental motives in anger regulation.",1,88,0.609913782,0.708784059252991,0.0117647058823529
"181",143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",1,78,0.061707156,0.0617856577111544,0.0133333333333333
"182",145,"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",1,120,0.652982567,0.780480766803962,0.00854700854700855
"183",146,"A word-order constraint on phonological activation",1,12,0.497082522,0.545423705409234,0.111111111111111
"184",148,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",1,263,-0.030172295,-0.0301814559621975,0.00384615384615385
"185",149,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",1,318,0.018283411,0.0182854486872587,0.00317460317460317
"186",150,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",1,19,0.207514339,0.210572424096054,0.0625
"187",151,"With a clean conscience: Cleanliness reduces the severity of moral judgments.",1,126,0.002839798,0.00283980563384237,0.00813008130081301
"188",153,"Extremal edge: a powerful cue to depth perception and figure-ground organization",1,8,0.120073568,0.120655671934318,0.2
"189",154,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",1,16,0.11,0.110446915790097,0.0769230769230769
"190",155,"Personality dominance and preferential use of the vertical dimension of space",1,72,-0.034,-0.0340131104279282,0.0144927536231884
"191",158,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",1,95,0.411336583,0.437218946739661,0.0108695652173913
"192",161,"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",1,48,0.177837588,0.179748763345337,0.0222222222222222
"193",165,"The value heuristic in judgments of relative frequency.",1,51,-0.175454592,-0.177289012352195,0.0208333333333333
"194",167,"Head up, foot down: Object words orient attention to the objects' typical location.",1,22,0.25414164,0.259835474573725,0.0526315789473684
