V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,Un1,Un2
R_1CEC4uZPwmJ8e05,Default Response Set,,,,192.38.127.156,,10/30/15 10:06,10/30/15 10:31,1,1,1,0,0,66.202,0,1,1500,1,0,0,11.733,0,,,,,,,1,9,9,"It was right in the middle, so a little risk and still plenty of reward.",1,9,7,8,8,8,8,8,8,8,9,9,8,8,8,8,1,5,6,8,7,6,7,3,8,4,5,3,4,6,3,2,8,1,0,1,0,1,4,9,3,1,2,1,1,"Based on the personal characteristics shown from the personal questions, try to make a connection between specific ""types"" of people and their decision making. \Categorize and connect.",no,3,2,2,9,76,1,"Hellerup, Denmark.",20,55.66670227,12.58329773,-1,,7,7
R_1CHGQg4B8766voD,Default Response Set,,,,192.38.127.144,,10/27/15 12:43,10/27/15 13:33,1,1,1,0,0,38.999,0,1,,,,,,,0,1,0,0,6.707,0,1,9,9,"To be honest, I didnt read the description well, so just clicked continue, but thought it was like the prisoners dilema :) I promise to read the rest of the experiment better!",1,9,2,7,8,6,7,7,7,9,9,8,8,5,9,8,1,6,3,7,4,2,5,7,4,2,2,1,1,8,2,8,3,1,1,0,0,0,4,7,3,3,2,2,2,Team player or a lonely wolf,One dimensional,3,3,5,4,60,1,Helsing蜋r,15,55.66670227,12.58329773,-1,,7,7
R_1DCIUmHLLx0axjY,Default Response Set,,,,192.38.127.136,,10/27/15 07:40,10/27/15 08:43,1,1,1,0,0,153.034,0,1,,,,,,,2017,1,0,0,42.55,0,1,9,1,"As i expect someone else to withhold their 30 DKK, I did not wish to do the same, seeing as if just the other two participants chose to donate their entire budget or a high amount of it, my own contribution could help increase the total amount we each got paid back. Although, I would not wish to contribute all of my money, as I did not want my entire budget being divided amongst the rest, in the case that only one other or none decided to donate any money.",1,8,8,8,8,7,8,6,7,9,6,6,6,2,8,6,5,7,6,6,5,6,4,8,5,2,6,3,2,9,2,4,6,1,1,0,0,1,7,8,3,3,3,2,2,"Perhaps it is an attempt to display how much people are willing to contribute to something, in the situation where they are uncertain of who they are cooporating with. Perhaps it is a reflection of natural trust between actors in an economy. Do you expect everyone to withhold their 30 DKK because they hope you would lose money if they did? Or are they willing to contribute some, and do they believe that others would do the same, because if so, everyone would also gain a benefit.",no,2,4,3,4,78,2,"H蜋rsholm, Denmark",20,55.66670227,12.58329773,-1,,7,1
R_1dFeVtUPXYFzOcW,Default Response Set,,,,192.38.127.139,,10/26/15 08:07,10/26/15 12:37,1,1,1,0,0,27.882,0,1,,,,,,,3000,1,0,0,21.464,0,1,9,9,More is better,1,7,7,7,8,7,8,8,5,7,7,6,3,6,8,8,3,6,3,9,7,2,6,5,7,8,7,6,4,8,4,5,8,1,0,0,0,0,5,8,1,3,3,2,2,"I think the study was trying to show how people think about each other and how we care about strangers, family etc.. And the other way around. I think the study gets results, in which they can conclude something about how people might or might not trust each other, how they think about strangers, etc..",No.,9,9,9,9,76,1,"Kors蜋r, Denmark",25,55.66670227,12.58329773,-1,,7,7
R_1didIuqWZn7ADjQ,Default Response Set,,,,192.38.127.163,,10/28/15 09:50,10/28/15 10:39,1,1,1,0,0,60.278,0,1,1800,1,0,0,13.269,0,,,,,,,1,9,9,I don't know,1,6,4,9,7,6,5,7,6,6,8,3,7,3,7,3,4,7,5,7,9,4,6,6,6,1,6,7,4,5,5,2,6,1,1,0,0,0,7,9,1,3,1,2,2,I believe that the study is trying to show how much we trust others.,no,9,3,4,2,75,2,"Oue, Denmark",28,55.66670227,12.58329773,-1,,7,7
R_1DMrSorlfKWtyKJ,Default Response Set,,,,192.38.127.157,,10/29/15 07:52,10/29/15 08:30,1,1,1,0,0,21.091,0,1,3000,1,0,0,21.453,0,,,,,,,1,9,1,to benefit the group as a whole,1,7,6,7,7,9,5,9,7,6,9,8,9,5,7,7,4,8,7,9,7,5,9,7,9,5,3,1,5,9,5,1,7,1,1,0,0,0,1,7,2,1,3,1,2,A basis from which to evaluate my performance in the test. To see if what i thought about myself and others is the same as what happens.,no,4,4,4,4,75,1,"Klampenborg, Denmark",19,55.66670227,12.58329773,-1,,7,1
R_1drVYYXK5ZOPK5J,Default Response Set,,,,192.38.127.163,,10/30/15 12:23,10/30/15 12:47,1,1,1,0,0,34.407,0,1,,,,,,,1200,1,0,0,20.865,0,1,4,4,"i believe, that you must have some for you self, but also give something to the group",1,3,8,5,7,5,8,6,7,2,6,2,5,2,4,4,3,7,8,6,8,8,8,7,8,3,6,6,7,7,4,3,8,3,0,0,0,0,5,5,1,2,1,2,2,"it was trying to show whether you can trust other people or not. Even if you know them, would they help you then? and would you help them?",no,3,4,3,3,76,2,"N蚠stved, Danmark",23,55.66670227,12.58329773,-1,,4,4
R_1EiyyJUURhEMkqI,Default Response Set,,,,192.38.127.151,,10/27/15 09:57,10/27/15 10:47,1,1,1,0,0,56.007,0,1,3000,1,0,0,6.431,0,,,,,,,1,9,4,"I believe/hope that all three of us have wanted to contribute as much as possible to the common project. I didn't have the 30 DKK when I walked in to the room so no matter what I can't lose anything from contributing everything. That being said, I might have acted differently had the amount been larger, I'm not sure about that.",1,5,2,4,5,6,7,5,6,5,6,4,2,4,6,5,6,9,8,9,8,7,9,9,9,6,3,9,7,4,6,7,5,1,1,0,0,0,7,9,3,2,1,2,2,"A part of it must be about whether participants are ""group people"" or ""individual people"".",I found it a bit difficult to answer some of the questions because I would probably not answer the same in all situations.,2,3,4,3,69,2,"Copenhagen, Denmark",15,55.66670227,12.58329773,-1,,7,4
R_1EjsEmLiBJbNFZx,Default Response Set,,,,192.38.127.160,,10/30/15 12:22,10/30/15 12:45,1,1,1,0,0,5.896,0,1,1596,1,0,0,11.114,0,,,,,,,1,9,4,Highest amount 30 kroner = 3000 蜋re\lowest amount 0 kroner = 0 蜋re,1,9,7,9,6,9,9,8,9,6,7,4,8,6,5,8,4,9,8,9,7,8,9,8,7,9,9,4,4,6,3,3,5,1,5,0,0,0,7,9,1,2,3,2,2,"I think it was trying to show, how people usually interact with one and other, but not as a social experiment. Primarily people have an idea of how they interact or react upon certain situations, but are unaware of them. Asking people simple questions, where they're not reluctant to overthink the situation, you get a more precise and specific answer. Also, when people are answering anonymously, they don't care about any certain consequences of what they might answer; what other people might think. Therefore the test is answered as truthfully as possible.",no,4,3,5,3,76,2,"Roskilde, Denmark",23,55.66670227,12.58329773,-1,,7,4
R_1f9K5ISvrw5JXA3,Default Response Set,,,,192.38.127.166,,10/30/15 10:07,10/30/15 10:32,1,1,1,0,0,57.311,0,1,859,1,0,0,11.946,0,,,,,,,1,9,1,Not too big of a risk.,1,7,3,8,7,4,3,7,4,5,7,3,8,6,5,3,4,6,5,7,6,4,8,6,7,3,7,6,4,6,6,1,7,1,1,0,0,1,7,8,3,2,2,2,2,"How i look upon society and the subject of contributing to society, and how i think people around me look upon it.",no,4,3,3,5,77,1,"Koege, Denmark",23,55.66670227,12.58329773,-1,,7,1
R_1fa7Spr2ICIE9gk,Default Response Set,,,,192.38.127.148,,10/26/15 08:09,10/26/15 12:41,1,1,1,0,0,99.602,0,1,2502,1,0,0,10.121,0,,,,,,,1,9,1,"To keep some for myself as inssurance, but contributing most of my assets",1,9,2,6,6,7,7,9,9,7,5,3,2,2,7,8,4,9,8,9,9,7,9,9,7,4,8,2,8,6,2,2,6,2,0,1,0,1,8,9,3,2,3,2,2,I belive this study is trying to show levels generousity compared to what kind of person you are.,I question the uknown timelimit. I don't know whether to rush through the study or take my time calculating and reading between the lines of the questions,9,6,5,2,75,1,"Thisted, Denmark",24,55.66670227,12.58329773,-1,,7,1
R_1feAyDD1Qb6g9r0,Default Response Set,,,,192.38.127.147,,10/26/15 08:09,10/26/15 12:37,1,1,1,0,0,50.72,0,1,3000,1,0,0,6.372,0,,,,,,,1,9,1,"I just believe that most people will put money into the group, so that is why I chose to do it as well. But I had short time to make a decision, so I didn't have the time to put real thoughts into it.",1,7,8,9,5,3,7,5,5,2,6,2,9,2,2,5,5,3,4,7,8,1,4,7,8,7,9,7,3,5,5,2,8,1,1,0,0,0,3,7,3,3,1,1,2,"Probably the connection between how much money you wanted to keep for yourself compared to split in a group, and your personality. By personality I mean, how you interact with other people (family, friends, strangers) and how much you trust other people (family, friends, strangers), in terms of for example splitting money.",No.,6,2,6,2,77,1,"Viby Sj蚠lland, Denmark",25,55.66670227,12.58329773,-1,,7,1
R_1FkAx5lF89iM4YT,Default Response Set,,,,192.38.127.144,,10/27/15 14:38,10/27/15 14:44,1,1,1,0,0,1.105,0,1,0,1,0,0,2.861,0,,,,,,,1,9,9,These were the answers I gave,1,8,2,7,8,4,8,7,6,7,9,7,8,4,8,8,2,4,2,6,5,2,3,7,5,2,2,1,2,8,2,9,2,1,0,0,0,0,6,9,3,3,3,2,2,team player or lone wolf,no,4,3,4,3,60,1,Helsing蜋r,15,55.66670227,12.58329773,-1,,7,7
R_1FPbbJfWPBzX41G,Default Response Set,,,,192.38.127.139,,10/28/15 09:45,10/28/15 10:37,1,1,1,0,0,56.744,0,1,,,,,,,61,1,0,0,37.385,0,1,9,4,"I took the minimum amount and dobbult it, and that is how i came to the total amount",1,6,9,9,5,8,7,7,6,7,9,3,8,4,7,3,5,6,4,8,8,3,8,2,6,3,6,3,3,6,6,3,3,1,0,0,0,0,2,6,3,3,2,1,2,To find out how people trust one another,no,2,6,2,4,77,2,"Denmark, V蚠rl蜋se",28,55.66670227,12.58329773,-1,,7,4
R_1FrBlpbswmnTPHt,Default Response Set,,,,192.38.127.146,,10/26/15 08:09,10/26/15 12:35,1,1,1,0,0,67.21,0,1,,,,,,,1800,1,0,0,30.94,0,1,4,4,Because of the 2 items.,1,8,4,9,1,4,3,9,3,7,3,1,9,1,1,2,1,7,6,9,9,5,7,7,6,5,3,8,3,9,9,8,5,1,0,0,0,0,5,8,3,1,3,2,2,"Maybe something with micro and macro economy. Because you had to answer questions about yourself, but i think it was more about competition and how a economy works in practice.",no,5,3,7,3,77,2,Taastrup,27,55.66670227,12.58329773,-1,,4,5
R_1FzX9ZeRGu6OFI0,Default Response Set,,,,192.38.127.149,,10/27/15 07:44,10/27/15 08:37,1,1,1,0,0,66.732,0,1,3000,1,0,0,4.738,0,,,,,,,1,9,1,"I hope people aren't narrow sighted, and wants the group to get the greatest possible profit",1,9,5,9,7,9,6,8,7,6,7,6,9,9,8,9,5,7,6,6,8,3,8,4,4,4,4,7,7,4,7,2,4,1,1,,0,0,4,9,1,2,1,1,2,"I would guess, it tries to show how people interact with others, and split it up in groups of open people, closed people, loners, a group-person - and see who thinks rationally, and who thinks on others before themself.",no,2,6,3,5,76,1,"Vanl蜋se, Denmark",19,55.66670227,12.58329773,-1,,7,1
R_1gBX5MBl8J453vf,Default Response Set,,,,192.38.127.148,,10/29/15 10:02,10/29/15 10:35,1,1,1,0,0,50.613,0,1,,,,,,,3000,1,0,0,18.658,0,1,9,1,"If everyone wanted to contribute to the total amount, everyone would get more without ""taking some from others"" and the total 'wellfare' would be the largest due to the doubling effect.",1,7,3,8,8,8,3,8,8,4,8,3,8,2,8,7,4,7,7,8,7,5,8,7,7,2,3,6,5,8,2,3,7,1,1,0,0,0,8,9,1,2,1,2,2,I think it tries to show whether we trust 'strangers' due to the fact that we don't know the other people we're cooperating with. Do i have to look out for my own best interests or do i look out for the group and the people around me.,That not all is able to see past the fact that they can optimize the total amount instead of just their own.,9,2,6,4,77,1,"Virum, Denmark",23,55.66670227,12.58329773,-1,,7,1
R_1GIjokQxeeaOv4A,Default Response Set,,,,192.38.127.151,,10/30/15 10:06,10/30/15 10:35,1,1,1,0,0,72.75,0,1,,,,,,,3000,1,0,0,37.155,0,1,9,9,man f外r mest ud af det,1,9,1,9,9,9,9,1,7,9,9,9,6,2,2,9,2,9,8,9,9,9,8,9,9,9,5,9,9,5,9,9,8,3,1,1,0,0,7,6,1,2,1,1,2,..,no,3,5,4,4,76,2,Danmark,15,55.66670227,12.58329773,-1,,7,7
R_1gjDekfNVRcLF5X,Default Response Set,,,,192.38.127.143,,10/28/15 09:46,10/28/15 10:46,1,1,1,0,0,117.376,0,1,,,,,,,1257,1,0,0,11.42,0,1,9,9,I panicked.,1,8,6,7,8,9,5,8,7,7,7,6,6,1,7,8,2,8,5,9,7,2,9,8,7,1,2,6,6,7,2,1,2,1,0,0,0,1,5,5,1,2,1,2,2,"It was trying to show how much I trust other people and whether I consider them countable. It really supprised me that I may not trust people as much as I though I did. However, I have to make some significant progress on this issue.",no.,9,6,4,6,76,1,Denmark,32,55.66670227,12.58329773,-1,,7,7
R_1HdZiprVlX3PL6z,Default Response Set,,,,192.38.127.162,,10/28/15 09:50,10/28/15 10:38,1,1,1,0,0,62.696,0,1,2314,1,0,0,9.63,0,,,,,,,1,9,1,I made the choice I did because I therefore had some money left if the other in my group decided not to share their money,1,7,7,8,8,7,4,5,6,7,8,5,8,2,7,5,4,6,2,9,2,7,5,3,6,4,7,8,3,7,2,2,7,1,1,0,0,0,5,8,2,1,3,2,2,I think the study tries to show how different people act when it comes to economy. First it tries to see how you would split your money. Second it sees how you act like a person.,no,5,3,5,2,77,1,Taastrup Denmark,30,55.66670227,12.58329773,-1,,7,1
R_1hZmF3i8tnENgn8,Default Response Set,,,,192.38.127.154,,10/26/15 08:06,10/26/15 12:45,1,1,1,0,0,54.672,0,1,,,,,,,1002,1,0,0,42.176,0,1,9,4,Because 1000 蜋re was the highest amount that each person was able to contribute.,1,7,6,6,4,9,6,7,5,6,6,3,9,3,5,6,4,8,6,7,7,1,5,7,8,2,2,6,3,7,3,2,6,1,0,0,0,0,4,8,3,3,1,1,2,It shows how people think and interact within each other. Do we trust each other or is it just easier if we only think about our own interest because we do not trust the other person?,no,5,6,5,2,76,2,"Charlottenlund, Denmark",25,55.66670227,12.58329773,-1,,7,3
R_1Idggr48DY1G5zo,Default Response Set,,,,192.38.127.152,,10/27/15 07:45,10/27/15 08:42,1,1,1,0,0,85.496,0,1,,,,,,,1002,1,0,0,18.536,0,1,9,1,So that everyone got a bit of the total money.,1,6,5,5,6,6,5,6,7,7,9,5,7,7,7,9,5,9,7,9,8,2,7,7,7,9,9,7,7,7,5,8,9,1,1,1,0,0,7,9,1,3,1,2,2,"It was trying to show, how people think, and how much we can be trusted. The study asks us questions about ourselves and our opinion on strangers, if you look from the study's perspective, then we're the strangers.",no.,5,3,5,3,77,1,"Helsing蜋r, Denmark",19,55.66670227,12.58329773,-1,,7,1
R_1ILCV5U6e1wvaFE,Default Response Set,,,,192.38.127.138,,10/26/15 08:06,10/26/15 12:36,1,1,1,0,0,62.578,0,1,,,,,,,,1,0,0,11.314,0,1,4,1,"I chose the amount contributed, so that i would keep some for myself, if the others in the group didn't contribute anything at all",1,5,7,6,7,5,7,7,6,2,6,2,6,5,3,6,5,6,7,5,9,5,8,4,6,3,5,4,5,5,3,5,5,1,1,0,0,0,5,8,3,2,3,2,2,Trying to show the humanity in people.,no,3,4,3,4,75,1,"Hellerup, Denmark",20,55.66670227,12.58329773,-1,,4,1
R_1IQPo3aqqZ2MfFS,Default Response Set,,,,192.38.127.157,,10/27/15 09:58,10/27/15 10:46,1,1,1,0,0,86.394,0,1,,1,17.937,17.937,19.862,1,,,,,,,1,4,4,"because i would like to contribute to the group, but as a student we don't earn so much, that is why only a 20% of my earning",1,6,8,8,7,8,7,7,6,4,4,6,7,7,6,8,6,7,6,6,7,7,7,8,7,4,8,6,4,6,5,5,6,1,2,0,0,0,3,6,3,3,1,2,1,the present study was trying to show how is market working  and to have an idea of it.,no,6,3,6,5,58,2,"China, Hebei",30,55.66670227,12.58329773,-1,,3,3
R_1IYnqVS1O1ZKL3y,Default Response Set,,,,192.38.127.150,,10/27/15 07:44,10/27/15 08:37,1,1,1,0,0,52.818,0,1,,,,,,,1005,1,0,0,38.617,0,1,9,4,I chose to contribute 1005 蜋re because i just want to maximize my own revenue.,1,9,8,9,7,9,9,8,8,9,9,6,8,7,9,9,7,5,8,9,8,7,8,5,7,7,6,7,6,8,6,4,7,1,0,0,0,1,5,5,3,3,3,1,2,I think this study is trying to show how individuals interact with others and to shed light on the fact that people will do the best for themselves or the best for the group. So when the professors receive the results from this study then they can conclude whether the participants of the study were egoistic individuals or more socialized individuals because you can see whether people think on their own profit or on others fate.,no,6,6,4,3,76,1,Copenhagen,30,55.66670227,12.58329773,-1,,7,3
R_1jDqlCSBIUFrOjk,Default Response Set,,,,192.38.127.140,,10/30/15 10:06,10/30/15 10:40,1,1,1,0,0,62.408,0,1,,,,,,,3000,1,0,0,25.082,0,1,9,1,"I cannot trust the others in this group entirely. If everyone contributes with a very small amount or nothing at all, we all receive nothing, which is why I wanted to gamble a bit.\Also, I find gambling exciting, so I had to follow my instincts.",1,8,7,9,9,8,5,8,5,9,9,8,5,5,7,4,3,9,8,8,6,1,9,5,5,3,1,6,3,5,5,2,8,1,1,0,0,0,4,4,3,2,1,1,2,"I think the present study was trying to show that you can't trust everyone. Some will always consider themselves before others, and those who do will probably win this study. The others, myself included, will hopefully gain either appreciation for their trusting nature or learn to put themselves ahead of others in similar situations.","Some have probably cheated, though I don't know how they have done this or to which extent.",6,3,3,4,77,2,"Hellerup, Danmark",15,55.66670227,12.58329773,-1,,7,1
R_1jTdPaG84QC2LNa,Default Response Set,,,,192.38.127.150,,10/30/15 10:05,10/30/15 10:29,1,1,1,0,0,38.22,0,1,1663,1,0,0,13.222,0,,,,,,,1,4,9,Because i wanted to. It sounded reasonable.,1,9,6,9,6,7,5,5,6,5,3,7,1,5,5,5,9,5,5,5,9,5,5,2,5,1,4,4,4,6,9,5,7,2,1,0,0,0,1,2,2,1,2,1,2,It tries to show how people look at each other and how people look at themselves. It tries to show it by making people look at their decisions and see that they trust themselves more than others.,No,5,7,3,2,76,1,"Humleb蚠k, Denmark",20,55.66670227,12.58329773,-1,,4,7
R_1jvNFrGDHTmOx1v,Default Response Set,,,,192.38.127.160,,10/26/15 08:08,10/26/15 12:42,1,1,1,0,0,70.532,0,1,1826,1,0,0,38.209,0,,,,,,,1,9,9,"I choose to contribute the maximum amount possible, because I prefer high risk.",1,4,9,7,8,5,8,4,8,8,8,7,9,7,7,7,5,8,8,7,7,6,8,6,6,6,2,8,3,8,2,2,9,1,1,0,0,1,8,7,1,3,1,2,1,"It tried to show how greedy individuals behave when offered money. It also tried psychologically to place you somewhere on a scale, support the argument of your choice.","I reckon the beginning of this study was a bit confusing, I憠d like a simplifying version of the first 3 questions. Beside from that i found the questions of your agreement/disagreement very good.",3,9,5,3,75,1,"Skanderborg, Denmark",24,55.66670227,12.58329773,-1,,7,7
R_1K3DQqmHuh2IesL,Default Response Set,,,,192.38.127.154,,10/27/15 07:46,10/27/15 08:51,1,1,1,0,0,102.198,0,1,1213,1,0,0,16.088,0,,,,,,,1,9,1,"not sure what the rest of my group contributed with, and therefore only contributed with a relative small amount of my money",1,7,3,8,8,8,6,7,6,7,8,7,9,8,8,8,2,8,7,6,2,1,9,6,8,1,2,6,2,8,2,5,9,1,0,0,0,0,2,8,2,1,2,1,2,"I think it shows how willing we are to trust on others, when dealing with them. How willing we are, to let our future depend on someones else.",no,6,9,6,9,76,1,"Hellerup, Denmark",19,55.66670227,12.58329773,-1,,7,1
