"num","experiment","replicate","n","r","z","vz","site","es"
55,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",0,57,0.229852265,0.234033485657996,0.0185185185185185,"Abeler_orig","r"
55,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",0,57,0.066130007,0.0662266601626609,0.0185185185185185,"Ambrus_orig","r"
56,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",0,103,0.379139495,0.399054301120861,0.01,"Bartling_orig","r"
56,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",0,103,-0.042140104,-0.0421650745796795,0.01,"Charness_orig","r"
58,"Walking on eggshells: How expressing relationship insecurities perpetuates them.",0,186,0.167288593,0.168875882264062,0.00546448087431694,"Chen_orig","r"
58,"Walking on eggshells: How expressing relationship insecurities perpetuates them.",0,186,0.03675175,0.0367683101769055,0.00546448087431694,"deClippel_orig","r"
61,"Poignancy: Mixed emotional experience in the face of meaningful endings.",0,110,0.219666896,0.223306089724669,0.00934579439252336,"Duffy_orig","r"
61,"Poignancy: Mixed emotional experience in the face of meaningful endings.",0,110,-0.004719346,-0.00471938103724945,0.00934579439252336,"Dulleck_orig","r"
63,"1/f noise and effort on implicit measures of bias.",0,71,0.274010238,0.281194479704791,0.0147058823529412,"Ericson_orig","r"
63,"1/f noise and effort on implicit measures of bias.",0,71,0.073797292,0.0739316991417272,0.0147058823529412,"Fehr_orig","r"
64,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.",0,82,0.425496777,0.454384970010148,0.0126582278481013,"Friedman_orig","r"
64,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.",0,82,0.11385379,0.114349602276968,0.0126582278481013,"Fudenberg_orig","r"
65,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",0,45,0.431865646,0.462187795505302,0.0238095238095238,"Huck_orig","r"
65,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",0,45,0.011721165,0.0117217018177724,0.0238095238095238,"Ifcher_orig","r"
68,"Why people are reluctant to tempt fate.",0,122,0.185849827,0.188035056711107,0.00840336134453781,"Kessler_orig","r"
68,"Why people are reluctant to tempt fate.",0,122,0.003001488,0.00300149701344736,0.00840336134453781,"Kirchler_orig","r"
71,"On the relative independence of thinking biases and cognitive ability.",0,375,0.222131584,0.225897217190119,0.00268817204301075,"Kogan_orig","r"
71,"On the relative independence of thinking biases and cognitive ability.",0,375,0.073353737,0.0734857299440754,0.00268817204301075,"Kuziemko_orig","r"
72,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",0,261,0.207643072,0.210706953837397,0.00387596899224806,"Abeler_orig","r"
72,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",0,261,0.04449582,0.044525220365058,0.00387596899224806,"Ambrus_orig","r"
73,"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",0,37,0.322574106,0.334517515861865,0.0294117647058824,"Bartling_orig","r"
73,"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",0,37,0.2,0.202732554054082,0.0294117647058824,"Charness_orig","r"
80,"The effects of an implemental mind-set on attitude strength.",0,46,0.259958534,0.266063935058371,0.0232558139534884,"Chen_orig","r"
80,"The effects of an implemental mind-set on attitude strength.",0,46,0.15539539,0.156664646344502,0.0232558139534884,"deClippel_orig","r"
81,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",0,94,0.268278965,0.275008386572745,0.010989010989011,"Duffy_orig","r"
81,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",0,94,-0.101637251,-0.101989411675437,0.010989010989011,"Dulleck_orig","r"
82,"The face of success: inferences from chief executive officers' appearance predict company profits.",0,50,0.3,0.309519604203112,0.0212765957446809,"Ericson_orig","r"
82,"The face of success: inferences from chief executive officers' appearance predict company profits.",0,50,0.27,0.2768638226551,0.0212765957446809,"Fehr_orig","r"
84,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",0,52,0.503449638,0.553916296490002,0.0204081632653061,"Friedman_orig","r"
84,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",0,52,0.217562252,0.221095810338853,0.0204081632653061,"Fudenberg_orig","r"
86,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",0,85,0.212014281,0.215279491482967,0.0121951219512195,"Huck_orig","r"
86,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",0,85,0.118808574,0.119372369949725,0.0121951219512195,"Ifcher_orig","r"
87,"The space between us: Stereotype threat and distance in interracial contexts.",0,55,0.395559206,0.418373377644792,0.0192307692307692,"Kessler_orig","r"
87,"The space between us: Stereotype threat and distance in interracial contexts.",0,55,0.013045451,0.013046191117014,0.0192307692307692,"Kirchler_orig","r"
89,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",0,163,0.139816632,0.140738547101889,0.00625,"Kogan_orig","r"
89,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",0,163,0.0294047,0.0294131791904262,0.00625,"Kuziemko_orig","r"
93,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",0,91,0.317462994,0.328823222570441,0.0113636363636364,"Abeler_orig","r"
93,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",0,91,-0.1351,-0.135931069224414,0.0113636363636364,"Ambrus_orig","r"
94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",0,28,0.344312999,0.358977418835944,0.04,"Bartling_orig","r"
94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",0,28,0.28970838,0.298247895841039,0.04,"Charness_orig","r"
97,"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",0,90,0.378274916,0.398044963704019,0.0114942528735632,"Chen_orig","r"
97,"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",0,90,-0.036935346,-0.0369521557380355,0.0114942528735632,"deClippel_orig","r"
104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",0,236,0.127392361,0.128088292454287,0.00429184549356223,"Duffy_orig","r"
104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",0,236,0.018376516,0.0183785849799619,0.00429184549356223,"Dulleck_orig","r"
106,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.",0,36,0.381744212,0.402099816773692,0.0303030303030303,"Ericson_orig","r"
106,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.",0,36,-0.222920955,-0.226727712667986,0.0303030303030303,"Fehr_orig","r"
107,"Nonconscious goal pursuit in novel environments: The case of implicit learning.",0,86,0.222330235,0.226106188572231,0.0120481927710843,"Friedman_orig","r"
107,"Nonconscious goal pursuit in novel environments: The case of implicit learning.",0,86,0.104941786,0.105329585238058,0.0120481927710843,"Fudenberg_orig","r"
110,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",0,280,0.554427187,0.624750856813491,0.0036101083032491,"Huck_orig","r"
110,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",0,280,0.091162691,0.0914164977721764,0.0036101083032491,"Ifcher_orig","r"
111,"Precision of the anchor influences the amount of adjustment.",0,59,0.333441051,0.34669477755082,0.0178571428571429,"Kessler_orig","r"
111,"Precision of the anchor influences the amount of adjustment.",0,59,0.225764222,0.229721666607801,0.0178571428571429,"Kirchler_orig","r"
112,"Action dynamics reveal parallel competition in decision making",0,141,0.701088742,0.869438514085779,0.0072463768115942,"Kogan_orig","r"
112,"Action dynamics reveal parallel competition in decision making",0,141,0.750404422,0.973880109255998,0.0072463768115942,"Kuziemko_orig","r"
113,"Prescribed optimism: Is it right to be wrong about the future?",0,125,0.681152182,0.831260365276445,0.00819672131147541,"Abeler_orig","r"
113,"Prescribed optimism: Is it right to be wrong about the future?",0,125,0.763508789,1.00457484452595,0.00819672131147541,"Ambrus_orig","r"
114,"Age-related changes in the episodic simulation of future events",0,32,0.570693584,0.648550826829565,0.0344827586206897,"Bartling_orig","r"
114,"Age-related changes in the episodic simulation of future events",0,32,0.652730428,0.780041330582545,0.0344827586206897,"Charness_orig","r"
115,"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",0,32,0.501799075,0.551707796113811,0.0344827586206897,"Chen_orig","r"
115,"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",0,32,-0.450187899,-0.484935913612849,0.0344827586206897,"deClippel_orig","r"
116,"Measuring the crowd within: Probabilistic representations within individuals.",0,173,0.28771881,0.296077402194826,0.00588235294117647,"Duffy_orig","r"
116,"Measuring the crowd within: Probabilistic representations within individuals.",0,173,0.322727228,0.334688430685667,0.00588235294117647,"Dulleck_orig","r"
117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.",0,12,0.130782132,0.131535509743525,0.111111111111111,"Ericson_orig","r"
117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.",0,12,0.120519146,0.121107792678052,0.111111111111111,"Fehr_orig","r"
118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0,115,0.21368683,0.217031412373752,0.00892857142857143,"Friedman_orig","r"
118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0,115,-0.048918238,-0.0489573144713753,0.00892857142857143,"Fudenberg_orig","r"
120,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",0,31,0.38,0.400059650056057,0.0357142857142857,"Huck_orig","r"
120,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",0,31,0.25,0.255412811882995,0.0357142857142857,"Ifcher_orig","r"
121,"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",0,12,0.851679354,1.2622359039858,0.111111111111111,"Kessler_orig","r"
121,"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",0,12,0.828997685,1.18492314412419,0.111111111111111,"Kirchler_orig","r"
122,"The representation of simple ensemble visual features outside the focus of attention",0,8,0.721890032,0.911580609250947,0.2,"Kogan_orig","r"
122,"The representation of simple ensemble visual features outside the focus of attention",0,8,0.922934494,1.60847594653146,0.2,"Kuziemko_orig","r"
124,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",0,36,0.384260399,0.405048559767843,0.0303030303030303,"Abeler_orig","r"
124,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",0,36,-0.034279559,-0.0342929956428472,0.0303030303030303,"Ambrus_orig","r"
127,"A motion aftereffect from still photographs depicting motion",0,29,0.685347348,0.83912881221931,0.0384615384615385,"Bartling_orig","r"
127,"A motion aftereffect from still photographs depicting motion",0,29,0.527307869,0.58640880552693,0.0384615384615385,"Charness_orig","r"
129,"The threat of appearing prejudiced and race-based attentional biases.",0,28,0.371775163,0.390481398198824,0.04,"Chen_orig","r"
129,"The threat of appearing prejudiced and race-based attentional biases.",0,28,0.017674908,0.0176767489061405,0.04,"deClippel_orig","r"
132,"Where do we look during potentially offensive behavior?",0,25,0.246947019,0.252158936395347,0.0454545454545455,"Duffy_orig","r"
132,"Where do we look during potentially offensive behavior?",0,25,0.179397898,0.181360494878753,0.0454545454545455,"Dulleck_orig","r"
133,"Adaptive memory: The comparative value of survival processing.",0,24,0.445652636,0.479262324352725,0.0476190476190476,"Ericson_orig","r"
133,"Adaptive memory: The comparative value of survival processing.",0,24,0.423363806,0.451783336020072,0.0476190476190476,"Fehr_orig","r"
134,"Is happiness having what you want, wanting what you have, or both?",0,119,0.20996855,0.213138445861106,0.00862068965517241,"Friedman_orig","r"
134,"Is happiness having what you want, wanting what you have, or both?",0,119,0.500179963,0.549546123796944,0.00862068965517241,"Fudenberg_orig","r"
135,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",0,564,0.00464002,0.00464005329997545,0.0017825311942959,"Huck_orig","r"
135,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",0,564,0.105891025,0.10628949138422,0.0017825311942959,"Ifcher_orig","r"
136,"The value of believing in free will: Encouraging a belief in determinism increases cheating.",0,30,0.498149178,0.546841417850272,0.037037037037037,"Kessler_orig","r"
136,"The value of believing in free will: Encouraging a belief in determinism increases cheating.",0,30,0.102355162,0.102714869812966,0.037037037037037,"Kirchler_orig","r"
139,"Auditory change detection: simple sounds are not memorized better than complex sounds",0,4,0.496363588,0.544469283070039,1,"Kogan_orig","r"
139,"Auditory change detection: simple sounds are not memorized better than complex sounds",0,4,0.505151268,0.556198279242192,1,"Kuziemko_orig","r"
140,"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",0,84,0.233776428,0.238180507391454,0.0123456790123457,"Abeler_orig","r"
140,"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",0,84,0.044266281,0.0442952283539177,0.0123456790123457,"Ambrus_orig","r"
142,"Hedonic and instrumental motives in anger regulation.",0,82,0.593405778,0.68290665629042,0.0126582278481013,"Bartling_orig","r"
142,"Hedonic and instrumental motives in anger regulation.",0,82,0.609913782,0.708784059252991,0.0126582278481013,"Charness_orig","r"
143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",0,57,0.172960188,0.174716536811263,0.0185185185185185,"Chen_orig","r"
143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",0,57,0.061707156,0.0617856577111544,0.0185185185185185,"deClippel_orig","r"
145,"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",0,240,0.768651993,1.01702492443777,0.00421940928270042,"Duffy_orig","r"
145,"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",0,240,0.652982567,0.780480766803962,0.00421940928270042,"Dulleck_orig","r"
146,"A word-order constraint on phonological activation",0,15,0.649955571,0.775221776719086,0.0833333333333333,"Ericson_orig","r"
146,"A word-order constraint on phonological activation",0,15,0.497082522,0.545423705409234,0.0833333333333333,"Fehr_orig","r"
148,"The Best Men Are Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,208,0.188662549,0.190949992796085,0.0048780487804878,"Friedman_orig","r"
148,"The Best Men Are Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,208,-0.030172295,-0.0301814559621975,0.0048780487804878,"Fudenberg_orig","r"
149,"The Best Men Are Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,208,0.188662549,0.190949992796085,0.0048780487804878,"Huck_orig","r"
149,"The Best Men Are Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,208,0.018283411,0.0182854486872587,0.0048780487804878,"Ifcher_orig","r"
150,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",0,14,0.722536382,0.91293165300265,0.0909090909090909,"Kessler_orig","r"
150,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",0,14,0.207514339,0.210572424096054,0.0909090909090909,"Kirchler_orig","r"
151,"With a clean conscience: Cleanliness reduces the severity of moral judgments.",0,43,0.400010244,0.423661125491187,0.025,"Kogan_orig","r"
151,"With a clean conscience: Cleanliness reduces the severity of moral judgments.",0,43,0.002839798,0.00283980563384237,0.025,"Kuziemko_orig","r"
153,"Extremal edge: a powerful cue to depth perception and figure-ground organization",0,8,0.859552403,1.29162832504362,0.2,"Abeler_orig","r"
153,"Extremal edge: a powerful cue to depth perception and figure-ground organization",0,8,0.120073568,0.120655671934318,0.2,"Ambrus_orig","r"
154,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",0,70,0.43,0.459896681212679,0.0149253731343284,"Bartling_orig","r"
154,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",0,70,0.11,0.110446915790097,0.0149253731343284,"Charness_orig","r"
155,"Personality dominance and preferential use of the vertical dimension of space",0,53,0.31,0.320545409301946,0.02,"Chen_orig","r"
155,"Personality dominance and preferential use of the vertical dimension of space",0,53,-0.034,-0.0340131104279282,0.02,"deClippel_orig","r"
158,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",0,40,0.374787884,0.393981877130233,0.027027027027027,"Duffy_orig","r"
158,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",0,40,0.411336583,0.437218946739661,0.027027027027027,"Dulleck_orig","r"
161,"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",0,48,0.483442318,0.527466797836033,0.0222222222222222,"Ericson_orig","r"
161,"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",0,48,0.177837588,0.179748763345337,0.0222222222222222,"Fehr_orig","r"
165,"The value heuristic in judgments of relative frequency.",0,56,0.28378815,0.291797237670132,0.0188679245283019,"Friedman_orig","r"
165,"The value heuristic in judgments of relative frequency.",0,56,-0.175454592,-0.177289012352195,0.0188679245283019,"Fudenberg_orig","r"
167,"Head up, foot down: Object words orient attention to the objects' typical location.",0,18,0.595271914,0.685792015328455,0.0666666666666667,"Huck_orig","r"
167,"Head up, foot down: Object words orient attention to the objects' typical location.",0,18,0.25414164,0.259835474573725,0.0666666666666667,"Ifcher_orig","r"
1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,29,0.594605285,0.684760158473966,0.0384615384615385,"Kessler_orig","r"
1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,29,0.148340453,0.149443120256283,0.0384615384615385,"Kirchler_orig","r"
