Studies,University,Sample Size,Online/Lab
Burn in Hell,Harvard University,39,Online
Burn in Hell,HEC Paris,113,Online
Burn in Hell,Illinois Institute of Technology,127,Online
Burn in Hell,"INSEAD, France",237,Online
Burn in Hell,Mechanical Turk sample,1038,Online
Burn in Hell,New York University,327,Lab
Burn in Hell,Northwestern University,188,Lab
Burn in Hell,University of California Irvine,279,Lab
Burn in Hell,"University of Cologne, Germany",305,Online
Burn in Hell,"University of Hong Kong, China",124,Online
Burn in Hell,University of Illinois Urbana-Champaign,114,Online
Burn in Hell,University of Michigan,100,Lab
Burn in Hell,University of Southern California,251,Online
Burn in Hell,University of St. Thomas,131,Lab
Cold-Hearted Prosociality,HEC Paris,113,Online
Cold-Hearted Prosociality,"INSEAD, France",243,Online
Cold-Hearted Prosociality,Yale,161,Online
Cold-Hearted Prosociality,American University in Washington DC,108,Lab
Cold-Hearted Prosociality,Harvard University,39,Online
Cold-Hearted Prosociality,Mechanical Turk sample,1026,Online
Cold-Hearted Prosociality,"University of Cologne, Germany",254,Online
Cold-Hearted Prosociality,University of Illinois at Chicago,605,Online
Cold-Hearted Prosociality,University of Massachusetts Amherst,104,Lab
Cold-Hearted Prosociality,University of Southern California,302,Online
Cold-Hearted Prosociality,University of St. Thomas,131,Lab
Cold-Hearted Prosociality,University of Washington Bothell,179,Online
Higher Standards - Charity,American University in Washington DC,108,Lab
Higher Standards - Charity,Harvard University,39,Online
Higher Standards - Charity,"INSEAD, France",243,Online
Higher Standards - Charity,Mechanical Turk sample,1026,Online
Higher Standards - Charity,"University of Cologne, Germany",254,Online
Higher Standards - Charity,University of Illinois at Chicago,605,Online
Higher Standards - Charity,University of Massachusetts Amherst,104,Lab
Higher Standards - Charity,University of Southern California,302,Online
Higher Standards - Charity,University of St. Thomas,131,Lab
Higher Standards - Charity,University of Washington Bothell,179,Online
Higher Standards - Charity,Yale,161,Online
Higher Standards - Company,American University in Washington DC,108,Lab
Higher Standards - Company,Harvard University,39,Online
Higher Standards - Company,"INSEAD, France",243,Online
Higher Standards - Company,Mechanical Turk sample,1026,Online
Higher Standards - Company,"University of Cologne, Germany",254,Online
Higher Standards - Company,University of Illinois at Chicago,605,Online
Higher Standards - Company,University of Massachusetts Amherst,104,Lab
Higher Standards - Company,University of Southern California,302,Online
Higher Standards - Company,University of St. Thomas,131,Lab
Higher Standards - Company,University of Washington Bothell,179,Online
Higher Standards - Company,Yale,161,Online
Intuitive Economics,American University in Washington DC,111,Lab
Intuitive Economics,Harvard University,39,Online
Intuitive Economics,Illinois Institute of Technology,127,Online
Intuitive Economics,"INSEAD, France",237,Online
Intuitive Economics,Mechanical Turk sample,1038,Online
Intuitive Economics,New York University,327,Lab
Intuitive Economics,Northwestern University,93,Lab
Intuitive Economics,University of California Irvine,279,Lab
Intuitive Economics,"University of Cologne, Germany",305,Online
Intuitive Economics,"University of Hong Kong, China",124,Online
Intuitive Economics,University of Illinois Urbana-Champaign,114,Online
Intuitive Economics,University of Michigan,100,Lab
Intuitive Economics,University of Southern California,251,Online
Intuitive Economics,University of St. Thomas,131,Lab
Intuitive Economics,Yale,154,Online
Moral Cliff,American University in Washington DC,108,Lab
Moral Cliff,"Beijing Normal University, China",111,Lab
Moral Cliff,Harvard University,51,Online
Moral Cliff,Illinois Institute of Technology,123,Online
Moral Cliff,"INSEAD, France",236,Online
Moral Cliff,Mechanical Turk sample,1033,Online
Moral Cliff,University of California Irvine,244,Lab
Moral Cliff,"University of Cologne, Germany",266,Online
Moral Cliff,"University of Groningen, the Netherlands",240,Lab
Moral Cliff,University of South Florida,237,Online
Moral Cliff,University of St. Thomas,131,Lab
Moral Cliff,"University of Toronto, Canada",384,Lab
Moral Cliff,University of Washington,289,Lab
Moral Cliff,University of Washington (Foster),115,Lab
Moral Cliff,Yale,158,Online
Moral Inversion,American University in Washington DC,111,Lab
Moral Inversion,Harvard University,39,Online
Moral Inversion,Illinois Institute of Technology,127,Online
Moral Inversion,"INSEAD, France",237,Online
Moral Inversion,Mechanical Turk sample,1038,Online
Moral Inversion,New York University,327,Lab
Moral Inversion,University of California Irvine,279,Lab
Moral Inversion,"University of Cologne, Germany",305,Online
Moral Inversion,"University of Hong Kong, China",124,Online
Moral Inversion,University of Illinois Urbana-Champaign,114,Online
Moral Inversion,University of Michigan,100,Lab
Moral Inversion,University of Southern California,251,Online
Moral Inversion,University of St. Thomas,131,Lab
Moral Inversion,Yale,154,Online
Presumption of Guilt,American University in Washington DC,108,Lab
Presumption of Guilt,"Beijing Normal University, China",111,Lab
Presumption of Guilt,Harvard University,51,Online
Presumption of Guilt,HEC Paris,113,Online
Presumption of Guilt,Illinois Institute of Technology,123,Online
Presumption of Guilt,"INSEAD, France",236,Online
Presumption of Guilt,Mechanical Turk sample,1033,Online
Presumption of Guilt,Northwestern University,188,Lab
Presumption of Guilt,University of California Irvine,244,Lab
Presumption of Guilt,"University of Cologne, Germany",266,Online
Presumption of Guilt,"University of Groningen, the Netherlands",240,Lab
Presumption of Guilt,University of South Florida,237,Online
Presumption of Guilt,University of St. Thomas,131,Lab
Presumption of Guilt,"University of Toronto, Canada",384,Lab
Presumption of Guilt,University of Washington,289,Lab
Presumption of Guilt,University of Washington (Foster),115,Lab
Presumption of Guilt,Yale,158,Online
