datacollection,mod1US,mod2poptype,mod2popmajor,mod3location_moralinv,mod3location_intecon,mod3location_burn,mod4onlnlab,bih_order,mi_order,ie_order,subjectoverall,subjectinDC,subjectid,ResponseID,IPAddress,startdate,enddate,ordernumber,order1,order2,order3,order4,order5,order6,surveynumber,random,ie_condition,ie1_taxesf,ie1_taxesg,ie1_deficitf,ie1_defg,ie1_frnaidf,ie1_frnaidg,ie1_womanwff,ie1_womanwfg,ie1_techf,ie1_techg,ie1_tradeagf,ie1_tradeagg,ie1_downsf,ie1_downsg,ie1_trainf,ie1_traing,ie1_taxcutf,ie1_taxcutg,ie1_busprodf,ie1_busprodg,ie1_tecdispf,ie1_techdispg,ie1_overseasf,ie1_overseasg,ie1_savingf,ie1_savingg,ie1_profitf,ie1_prfitg,ie1_salrytopf,ie1_slrytopg,ie1_affactf,ie1_affactg,ie1_hardwrkf,ie1_hrdwrkg,ie1_govtregf,ie1_govtregg,ie1_immigf,ie1_immg,ie1_taxbrkf,ie1_txbrkg,ie1_wlfref,ie1_wlfrg,ie2_htxf,ie2_htxg,ie2_defctf,ie2_defctg,ie2_frnaidf,ie2_frnaidg,ie2_womnf,ie2_wmng,ie2_techwf,ie2_techwg,ie2_tradeagf,ie2_trdeagg,ie2_downsf,ie2_downsg,ie2_trainf,ie2_traing,ie2_taxcutf,ie2_taxcutg,ie2_busprodf,ie2_busprodg,ie2_techdispf,ie2_techdispg,ie2_jbovseasf,ie2_joboverg,ie2_savf,ie2_savg,ie2_profitf,ie2_profitg,ie2_slrytopf,ie2_slrytopg,ie2_affactf,ie2_affactg,ie2_hrdwrkf,ie2_hrdwrkg,ie2_govregf,ie2_govregg,ie2_immf,ie2_immg,ie2_txbrkf,ie2_txbrkg,ie2_wlff,ie2_wlfg,BIH_socialworkers,BIH_dealers,BIH_shoplifters,BIH_parkhandicapped,BIH_executives,BIH_prescription,BIH_dogs,BIG_carthieves,BIH_vandals,MI1c_MI_null,MI1_notmanip,MI1_trustworth,MI1_good,MI1_moral,MI2_c_MI_donat,MI2_notmanip,MI2_trustworth,MI2_good,MI2_moral,MI3_c_MI_wrst,MI3_notmanip,MI3_trustworth,MI3_good,MI3_moral,MI4_c_Mifurnit,MI4_notmanip,MI4_trustworth,MI4_good,MI4_moral,poltclid,gender,yearbirth,countrybir,englishexp,ethnicity,parented,befstudies,thissurvb,ifyes,citytown,postalcode,honestansw,familyinc,mturkhowm,Q122,Q137,mturkid,LocationLatitude,LocationLongitude,LocationAccuracy
0, , , , , , , , , , ,3871,10,10, , , , , , , , , , , , , ,1,4,5,5,3,3,4,1,7,1,7,4,6,5,4,4,3,4,3,4,2,4,6,5,6,4,4,2,6,3,5,4,5,5,3,3,6,5,5,4,5,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3872,11,11, , , , , , , , , , , , , ,1,5,4,6,1,2,5,1,7,1,7,2,6,6,2,7,1,4,5,6,1,7,1,7,3,4,4,7,3,7,4,4,4,4,4,3,5,4,2,3,6,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3873,12,12, , , , , , , , , , , , , ,1,4,5,5,5,4,5,1,7,1,7,2,6,2,4,5,2,3,5,5,3,6,4,5,3,5,4,3,6,3,4,5,4,5,3,3,5,5,4,5,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3874,13,13, , , , , , , , , , , , , ,1,3,4,6,2,3,3,1,7,1,7,1,7,6,2,1,6,2,4,5,2,4,3,5,3,4,2,3,5,3,3,2,6,2,6,3,5,5,3,5,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3875,14,14, , , , , , , , , , , , , ,1,4,5,4,4,4,3,1,7,3,5,3,5,4,4,6,2,4,4,4,3,4,4,5,3,4,2,4,4,4,3,7,1,7,1,4,5,7,1,4,4,7,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3876,15,15, , , , , , , , , , , , , ,1,5,4,4,3,3,3,1,5,2,6,2,6,5,2,5,3,2,6,5,3,5,6,7,6,4,4,2,6,5,3,7,4,4,4,3,5,6,2,2,6,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3877,16,16, , , , , , , , , , , , , ,1,4,5,5,2,3,3,1,6,1,3,3,4,5,3,4,3,3,3,5,2,3,2,6,1,4,5,3,5,5,2,7,1,6,4,3,4,6,2,4,5,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3878,17,17, , , , , , , , , , , , , ,1,3,5,5,2,3,5,1,7,2,5,5,4,4,3,6,2,3,3,6,2,3,5,5,6,5,3,5,5,6,2,6,3,6,2,3,5,5,4,5,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3879,18,18, , , , , , , , , , , , , ,1,3,4,6,2,4,5,1,6,3,5,3,6,4,3,4,2,5,4,4,2,4,2,6,3,4,2,5,3,6,2,4,4,4,1,4,5,5,5,5,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3880,19,19, , , , , , , , , , , , , ,1,3,2,6,2,6,3,2,4,1,5,5,5,3,3,6,1,5,1,6,1,2,3,2,5,1,5,1,5,2,2,6,3,3,2,3,3,3,2,5,5,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3881,20,20, , , , , , , , , , , , , ,1,3,6,5,2,2,5,1,7,2,7,2,7,5,4,1,7,2,4,5,2,6,5,6,5,1,3,6,5,7,3,5,4,1,7,2,5,6,5,5,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3882,21,21, , , , , , , , , , , , , ,1,4,4,4,4,3,5,1,7,3,5,4,4,6,2,6,2,3,5,4,4,6,2,6,2,4,4,4,4,6,2,6,2,6,2,4,4,6,2,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3883,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3884,23,23, , , , , , , , , , , , , ,1,3,5,5,3,3,4,1,6,4,4,5,5,3,4,4,4,6,2,4,3,5,3,4,4,4,3,4,6,6,3,2,5,4,3,5,4,4,3,5,5,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3885,24,24, , , , , , , , , , , , , ,1,4,5,5,3,4,4,1,6,1,7,3,4,5,5,5,3,4,4,4,4,5,4,4,4,4,3,4,5,5,4,3,4,4,4,4,4,3,5,4,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3886,25,25, , , , , , , , , , , , , ,1,2,5,4,3,1,6,1,7,2,6,3,6,3,4,3,4,4,4,4,4,3,6,3,5,6,2,5,3,6,2,2,5,5,2,2,6,3,6,4,4,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3887,26,26, , , , , , , , , , , , , ,1,6,3,5,2,3,6,1,6,1,7,1,6,3,1,2,3,2,6,7,1,2,3,4,2,1,1,2,7,2,4,5,2,7,1,4,3,3,5,2,6,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3888,27,27, , , , , , , , , , , , , ,1,5,4,4,2,2,4,1,7,1,7,2,6,5,3,5,2,2,5,4,4,4,3,5,2,4,7,3,5,5,4,3,4,6,2,3,4.5,6,5,4,4,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3889,28,28, , , , , , , , , , , , , ,1,6,2,4,4,2,5,1,5,2,5,3,3,5,2,5,3,3,5,5,2,4,4,5,3,3,4,3,5,4,4,6,2,6,2,3,5,5,3,3,5,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3890,29,29, , , , , , , , , , , , , ,1,5,3,4,2,3,4,1,7,2,6,4,5,3,5,3,4,3,6,3,4,4,5,5,5,5,4,4,5,3,4,7,3,4,3,5,3,4,5,3,6,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3891,30,30, , , , , , , , , , , , , ,1,1,4,6,1,3,3,1,6,4,6,2,6,5,4,6,2,7,2,4,6,5,5,4,6,4,5,3,6,7,4,4,4,5,2,3,3,4,6,6,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3892,31,31, , , , , , , , , , , , , ,1,4,3,6,1,5,2,1,7,2,7,3,6,7,1,7,1,3,3,4,1,7,2,6,1,6,1,4,7,3,7,1,7,7,1,1,7,6,6,2,7,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3893,32,32, , , , , , , , , , , , , ,1,4,5,6,3,3,3,1,7,2,6,3,5,4,4,5,2,3,4,4,2,5,5,5,4,4,5,3,5,5,4,4,4,7,1,3,6,4,3,3,5,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3894,33,33, , , , , , , , , , , , , ,1,3,2,5,2,3,5,2,6,3,6,6,5,4,3,5,3,3,4,4,1,5,6,3,5,4,5,2,5,4,4,7,5,4,1,3,5,3,6,5,6,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3895,34,34, , , , , , , , , , , , , ,1,6,1,7,1,2,5,7,5,1,7,6,7,1,7,4,4,2,5,7,1,1,7,1,7,7,4,1,7,5,5,4,4,4,4,7,1,1,7,4,6,7,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3896,35,35, , , , , , , , , , , , , ,1,4,4,4,2,1,7,1,7,1,7,4,4,4,4,6,1,4,4,4,2,4,5,3,5,4,4,4,4,6,2,3,4,5,3,4,4,4,4,4,4,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3897,36,36, , , , , , , , , , , , , ,1,6,2,4,1,3,4,1,7,4,7,3,4,5,1,4,2,1,7,4,1,4,5,6,1,4,2,3,6,3,5,6,2,4,2,5,2,7,1,2,6,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3898,37,37, , , , , , , , , , , , , ,1,4,4,6,2,4,4,2,5,1,7,4,4,5,4,6,2,3,4,4,2,6,4,6,4,1,4,1,7,6,3,7,4,7,4,2,5,5,3,6,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3899,38,38, , , , , , , , , , , , , ,1,4,5,4,4,3,3,3,4,2,3,4,4,3,3,5,3,4,4,5,2,4,3,2,5,5,2,4,4,6,3,4,4,6,2,4,4,2,5,4,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3900,39,39, , , , , , , , , , , , , ,1,4,4,4,3,4,5,1,7,2,7,3,5,3,6,1,7,2,5,3,4,3,5,3,5,3,5,2,5,2,6,2,5,3,5,4,2,2,5,3,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3901,40,40, , , , , , , , , , , , , ,1,2,6,7,1,3,4,1,7,1,7,1,7,7,1,7,1,6,5,4,1,6,5,7,1,4,4,2,6,5,3,1,7,7,1,3,4,7,1,7,1,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3902,41,41, , , , , , , , , , , , , ,1,4,4,5,3,2,4,2,7,4,5,4,6,5,4,5,2,3,4,4,1,5,4,5,5,5,4,3,5,4,4,4,4,5,2,4,4,6,3,3,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3903,42,42, , , , , , , , , , , , , ,1,5,4,5,3,3,4,1,7,1,7,3,5,3,4,5,3,4,4,4,1,2,5,3,5,4,3,6,4,7,2,5,4,4,3,4,4,5,2,4,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3904,43,43, , , , , , , , , , , , , ,1,7,1,4,3,5,2,1,7,1,4,1,7,4,4,5,4,1,7,4,2,4,4,4,6,4,1,5,4,6,4,7,4,7,1,4,3,7,4,1,7,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3905,44,44, , , , , , , , , , , , , ,1,4,4,5,3,3,4,2,4,2,6,3,4,5,2,5,3,6,2,4,4,3,4,3,3,4,3,4,4,5,4,3,4,3,4,3,5,4,5,4,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3906,45,45, , , , , , , , , , , , , ,1,4,5,4,4,4,4,1,7,1,7,4,5,5,3,4,4,6,2,4,4,5,3,4,4,4,4,4,4,6,2,4,4,6,2,4,4,5,3,4,4,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3907,46,46, , , , , , , , , , , , , ,1,4,5,6,2,1,5,1,6,1,7,1,6,3,1,4,1,2,7,3,1,4,4,5,1,1,6,6,4,7,3,6,4,3,3,3,5,1,5,3,6,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3908,47,47, , , , , , , , , , , , , ,1,4,2,5,4,3,4,2,6,2,6,2,6,5,3,5,3,3,5,5,3,6,4,5,4,4,4,2,6,4,4,5,3,6,2,6,2,7,1,5,3,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3909,48,48, , , , , , , , , , , , , ,1,5,3,4,4,1,4,1,7,4,6,3,5,4,1,1,7,4,5,4,4,4,5,5,3,4,4,4,4,6,1,4,4,4,3,3,5,5,5,4,5,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3910,49,49, , , , , , , , , , , , , ,1,3,5,6,2,5,3,1,7,3,6,6,6,5,6,6,2,3,3,4,2,3,5,3,6,3,6,5,6,5,5,6,2,3,3,2,6,2,4,5,6,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3911,50,50, , , , , , , , , , , , , ,1,2,5,6,3,3,4,1,7,3,7,3,6,6,5,6,3,5,4,5,1,3,7,7,3,5,5,5,5,7,3,2,4,6,3,1,6,2,7,6,4,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3912,51,51, , , , , , , , , , , , , ,1,3,4,6,1,2,5,5,6,3,6,7,4,6,2,6,4,5,5,4,2,6,4,6,6,4,4,6,6,7,4,3,4,4,2,2,3,4,4,6,6,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
0, , , , , , , , , , ,3913,52,52, , , , , , , , , , , , , ,1,4,5,5,3,3,5,1,6,1,7,2,5,4,2,2,6,2,5,4,2,3,3,3,3,4,3,2,5,3,3,5,5,5,1,3,3,5,3,3,6,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , 
