V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,,,,
R_1dxYAk8yi8RQ7MW,Default Response Set,,,,134.76.136.152,,14.09.2015 10:58,14.09.2015 11:53,1,1,1,0,0,29.243,0,1,,,,,,,400,1,0,0,22.129,0,1,9,1,weil ich das gefí_hl habe es wí_re die bessere Entscheidung und ich kein Fan von Profitgier bin: Ich teile lieber als zu nehmen.,1,8,3,1,2,4,3,4,2,7,3,2,7,5,1,3,5,3,4,8,7,2,2,4,3,7,2,3,6,2,2,1,1,1,1,1,0,0,3,8,3,3,1,1,2,"ich denke die Studie soll aufzeigen inwiefern Menschen auf ihren Vorteil bedacht sind und ob sie sich auf Kosten anderer bereichern. Auch denke ich soll das Konkurrenzverhalten und das ""alleinige auf sich selbst konzentriert"" sein analysiert werden.\Und eventuell wieso ein Mensch generell mehr gibt als andere und auch bereit ist zu geben","Ich kann mir nicht vorstellen, dass Studenten, die mehrheitlich eher im niedrigen Lohnsektor anzuordnen sind, ""geiziger"" sind als Menschen die wohlhabender sind. (Das stí_tze ich auf Erfahrungen)",3,5,3,4,72,2,Deutschland Dí_sseldorf,1,51.53640747,9.938995361,-1,,24,1,1,1
R_1EcYmNIuTpthJiS,Default Response Set,,,,134.76.136.184,,15.09.2015 10:57,15.09.2015 11:48,1,1,1,0,0,45.302,0,1,,,,,,,0,1,0,0,14.644,0,1,9,1,Ich vertraue meiner Gruppe nicht und glaube sie werden nichts beitragen.,1,7,9,8,8,9,4,4,9,5,2,5,2,1,3,7,3,9,9,9,7,9,9,7,9,6,7,9,6,2,6,3,9,3,6,6,0,1,6,8,1,3,1,2,2,"Vielleicht wird untersucht, in wiefern man einem unbekannten Gegení_ber vertraut und wie sich dieses Vertrauen monetí_r bewerten lí_sst. Auch kí_nnte der Eigennutz untersucht werden, also wie sehr das eigenen Wohlbefinden í_ber das des Gí_bers gestellt wird.",Wird getí_uscht oder interagiere ich tatsí_chlich mit drei weiteren.,9,5,9,7,51,1,"Freiburg, Deutschland",0,51.53640747,9.938995361,-1,,45,0,1,0
R_1EhVtddhrC40zgz,Default Response Set,,,,134.76.136.66,,08.09.2015 15:08,08.09.2015 15:48,1,1,1,0,0,95.178,0,1,,,,,,,300,1,0,0,23.831,0,1,9,1,"Weil die Wahrscheinlichkeit, dass alle 4ä‰å beitragen aufgrund der anderen Alternative gering ist, und man nicht weiíô, wie die anderen Teilnehmer sich entscheiden.",1,5,7,7,7,8,6,6,5,6,6,6,6,2,6,4,6,6,4,7,7,8,7,4,8,3,5,8,5,3,4,2,5,3,6,6,0,0,4,9,1,3,3,1,2,"Inwiefern man Unbekannten in Bezug auf Geldentscheidungen vertraut und dass es mehr bringt zu kooperieren als egoistisch zu sein.\Dies wurde durch das Verteilen des Geldes gezeigt, und indem man, wenn man als Einziger egoistisch war, viel Geld bekam, jedoch wenn alle egoistisch waren, alle wenig bekommen haben.",nein,3,5,3,5,77,2,"Bí_nde, Deutschland",0,51.53640747,9.938995361,-1,,19,1,1,1
R_1ewyGz0Y6xEsjma,Default Response Set,,,,134.76.136.120,,08.09.2015 15:01,08.09.2015 15:58,1,1,1,0,0,19.241,0,1,197,1,0,0,12.4,0,,,,,,,1,9,9,"es war die Mitte, die Hí_lfte bekomme ich, die Hí_lfte habe ich geteilt",1,5,5,9,2,9,9,8,4,5,9,2,2,2,4,3,7,9,8,8,8,9,8,5,9,4,3,9,7,4,2,6,5,1,3,3,0,2,4,9,3,2,1,2,2,"Vertrauen von Unbekannten, Gruppendynamik ung Verhalten des Einzelnen in einer Gruppe",nein,9,3,5,3,76,2,"Kleinmachnow, Brandenburg",0,51.53640747,9.938995361,-1,,20,1,1,1
R_1EXcmVaL1oo4CS7,Default Response Set,,,,134.76.136.48,,09.09.2015 14:07,09.09.2015 14:52,1,1,1,0,0,75.269,0,1,352,1,0,0,12.7,0,,,,,,,1,9,7,"weil ich will, dass meine Gruppe mehr gewinnen kann",1,7,3,9,8,7,7,8,8,1,8,1,8,1,5,7,3,8,8,7,9,6,9,8,9,1,2,6,5,5,5,3,5,1,0,4,0,0,1,8,3,3,3,1,2,wie man anderen Menschen vertrauen kann und ob man sich auf andere Menschen verlassen kann,nein,9,5,3,2,73,2,Ukraine,0,51.53640747,9.938995361,-1,,23,1,1,1
R_1f1x5RbPp0dNRq6,Default Response Set,,,,134.76.136.186,,15.09.2015 11:00,15.09.2015 11:50,1,1,1,0,0,76.887,0,1,160,1,0,0,12.822,0,,,,,,,1,9,9,"In der Beschreibung stand, dass der Gewinn der einzelnen Gruppenmitglieder am hí_chsten sei, wenn jeder seine Gesamten 4ä‰å einbringe. Dieses Prinzip funktioniert allerding auch nur dann, wenn dies alles Gruppenmitglieder tun",1,5,5,8,3,4,7,6,5,7,5,3,5,4,6,4,5,6,6,6,7,7,4,6,7,4,5,7,7,5,7,6,5,3,2,1,0,0,4,7,3,3,2,2,2,"Nach dem letzen Fragblock kí_nnte ich mir vorstellen, dass die Studie sich mit dem Vertrauen in einem Unbekannte Personen beschí_ftigt. Dies klnnte anhand des Geldeinsatzes í_berprí_ft werden, da dieser mit das Vertrauen in die anderen Teilnehmer zusammenhí_ngt","Viele Fragen haben í_hnliche Aspekte abgefragt, aber teilwweise negativer oder extremer formuliert, das hat verunsichert",9,2,9,6,75,2,Lí_neburg,1,51.53640747,9.938995361,-1,,21,1,1,1
R_1FgJMZChf3WEIBL,Default Response Set,,,,134.76.136.171,,09.09.2015 11:39,09.09.2015 13:19,1,1,1,0,0,45.063,0,1,,,,,,,400,1,0,0,6.356,0,1,9,1,"Ich hoffe auf die Solidarití_t meiner Mitspieler und gebe daher alles, um ein mí_glichst hohes Ergebnis insgesamt zu erhalten.",1,6,5,8,3,6,4,7,5,3,7,2,3,2,5,2,6,7,3,4,7,6,5,4,8,2,3,8,5,5,7,4,5,3,0,5,0,0,4,8,3,2,3,1,2,"Es soll bestimmt gezeigt werden, dass Menschen tendenziell misstrauisch sind und Fremden gegení_ber lieber auf ihren eigenen Vorteil bedacht sind.","Ich vermute, dass ich mit meiner 4ä‰å Allgemein-Spende letztenendes als ""Verlierer"" ausgehe, da die anderen vermutlich wenig bis nichts gespendet haben.",4,3,2,3,74,2,"Braunschweig, Deutschland",0,51.53640747,9.938995361,-1,,22,1,1,1
R_1Fo0lE4XSmqewpU,Default Response Set,,,,134.76.136.48,,15.09.2015 08:58,15.09.2015 10:21,1,1,1,0,0,106.87,0,1,200,1,0,0,15.189,0,,,,,,,1,5,1,Abwí_gung der Risiken. Wenn alle das Geld fí_r sich behalten gewinnt keiner was. Ich habe die Hí_fte meines Betrages sicher behalten und die andere Hí_lfte angelegt.,1,7,8,8,7,6,6,4,5,4,7,5,7,2,6,6,5,7,7,8,8,8,8,2,8,5,7,3,8,6,4,4,6,2,0,0,0,0,5,6,3,2,1,2,2,"Inwiefern Leute sich gegenseitig vertrauen und Risikoberreitschaft zeigen in einen gemeinsamen Fond einzuzahlen, Trittbrettfahrerverhalten,",nein,4,3,3,4,73,1,"Gelnhaar, Deutschland",0,51.53640747,9.938995361,-1,,23,1,1,1
R_1gLQ5MP8BsvKDBq,Default Response Set,,,,134.76.136.184,,10.09.2015 09:59,10.09.2015 10:52,1,1,1,86.906,87.138,96.765,2,1,0,1,3.607,3.83,12.402,2,,,,,,,1,9,1,"im raum sind am meisten mí_dels, und die denken wahrscheinlich, dass alle hier das wollen, das die gruppe die meisten auszahlung bekommt, und hoffe ich dass die alles reinstellen, und so ich bekomme mehr",1,8,5,8,8,2,7,7,6,3,2,4,6,6,5,4,3,4,5,6,4,7,8,3,6,6,7,6,5,6,5,5,8,2,1,10,0,0,7,8,2,3,3,1,2,"schauen, ob leute in andere vertrauen, oder die durch 0 clicken ausnutzen","normaleweis wí_rde ich nie sowas machen, vor allem mit freunde nicht, aber da hier durch diese projekt sozusagen geschí_tzt bin, ist es easy einfach 0 clicken, und schauen, wie die andere dann verhí_lten.",3,4,5,3,74,1,"Sií_fok, Ungarn",0,51.53640747,9.938995361,-1,,22,1,1,1
R_1GNu34MrScc5g8o,Default Response Set,,,,134.76.136.151,,08.09.2015 09:21,08.09.2015 11:23,1,1,1,0,0,86.778,0,1,0,1,0,0,8.787,0,,,,,,,1,9,1,"Hoffnung, dass die anderen Gruppenmitglieder im Sinne des ""Gemeinwohls"" gehandelt haben und ich mit dem hí_chsten Gewinn aus der sache herausgehe, da ich das Geld sehr gut gebrauchen kann.",1,8,8,8,8,9,6,8,7,4,6,6,3,2,5,5,7,4,6,8,4,7,6,6,5,5,6,4,3,3,3,3,2,3,0,10,0,1,3,7,2,3,3,1,2,es soll gezeigt werden wie personen in abhí_ngigkeit ihrer persí_nlichkeit in der gruppe mit unbekannten personen handeln.,nein,3,5,2,6,76,2,Ochsenfurt in Deutschland,0,51.53640747,9.938995361,-1,,20,1,1,1
R_1guxjIDDcPVMqyN,Default Response Set,,,,134.76.136.152,,10.09.2015 11:36,10.09.2015 13:17,1,1,1,0,0,43.278,0,1,,,,,,,241,1,0,0,16.882,0,1,9,1,"Wenn nicht alle ihre c 400 setzen will ich mich zumindest absichern, deswegen zahle ich die Hí_lfte meines Kapitals in die ""Gruppenkasse""",1,9,6,9,7,5,5,6,5,5,2,5,3,2,5,2,4,5,5,8,8,8,4,7,8,3,5,6,2,3,5,5,5,3,2,6,0,2,5,5,3,1,2,1,2,In wie fern das Wissen um Mitspieler/eine Gruppe die man berí_cksichten muss/kann das Entscheidungsverhalten fí_r den eigenen Gewinn beinflusst,Nein,9,6,2,3,71,2,"Witzenhausen, Deutschland",0,51.53640747,9.938995361,-1,,25,1,1,1
R_1hHbpm9Qht3rgbi,Default Response Set,,,,134.76.136.184,,10.09.2015 12:36,10.09.2015 13:19,1,1,1,0,0,90.113,0,1,,,,,,,10,1,0,0,19.537,0,1,9,1,Weil ich leider in í_hnlichen Experimenten schon sehr von ALLEN meinen Gruppenmitgliedern enttí_uscht wurde und so nur den Betrag fí_r das Erscheinen erhalten habe.,1,7,8,8,6,8,3,6,8,6,5,4,5,5,8,5,3,7,6,5,7,9,8,8,7,5,8,6,4,4,7,6,4,4,0,10,0,1,3,8,3,3,3,1,2,"Entscheidungen betreffend dem Vertrauen gegení_ber fremden, anhand von Persí_nlichkeitsmerkmalen und Erfahrungen.","Das meine Gruppe kaum Geld betrí_gt, da fast alle Menschen, wenns ums Geld geht, leider egoistisch sind.",6,2,5,2,76,1,Deutschland,0,51.53640747,9.938995361,-1,,20,1,1,1
R_1HsAjtNUzo75pfP,Default Response Set,,,,134.76.136.186,,08.09.2015 09:17,08.09.2015 11:24,1,1,1,0,0,90.406,0,1,,,,,,,240,1,0,0,22.307,0,1,9,9,"Ich habe mich fí_r diesen Betrag entschieden, weil ich einerseits mí_glichst viel einsetzen wollte damit der Gewinn fí_r die Gruppe mí_glichst hoch ist, ich wollte jedoch nicht alles einsetzen falls andere Gruppenmitglieder nichts einsetzen.",1,4,6,9,4,9,8,7,4,2,9,3,5,2,3,2,2,8,8,9,9,9,9,9,9,7,7,9,6,5,5,3,4,3,0,8,0,0,7,8,1,2,3,2,2,"Ich denke es wurde versucht zu zeigen, wie sehr man seinen Mitspielern vertraut, welches an dem Betrag gemessen wurde den man fí_r die Gruppe eingesetzt hat.",Meine Vermutung ist dass die meisten Mitspieler Geld eingesetzt haben und nur wenige gar kein Geld setzen wí_rden.,6,2,7,2,71,2,"Hannover, Deutschland",0,51.53640747,9.938995361,-1,,25,1,1,1
R_1isP5QBc0Cawg8K,Default Response Set,,,,134.76.136.171,,09.09.2015 10:01,09.09.2015 10:51,1,1,1,0,0,69.83,0,1,400,1,0,0,8.256,0,,,,,,,1,9,1,"Ich habe darauf gehofft, dass sich die anderen gruppenmitglieder so wie ich dazu entscheiden all ihr Geld einzuzahlen, damit wir insgesamt am  meisten bekommen.",1,3,5,4,5,2,7,3,1,6,1,6,4,2,4,2,4,8,7,8,8,8,7,6,8,6,7,8,6,5,7,5,7,3,40,20,0,4,8,10,3,3,3,2,2,"Ich denke, dass geschcaut wurde, inwieweit bestimmte abgefragte Persí_nlichkeitsmerkmale damit zusammenpassen, wie man sich bei solchen Entscheidungen verhí_lt. Ob man z.B., wenn man sehr um das Wohlergehen anderer besorgt ist eher dazu bereit ist, sein ganzes Geld in den Topf zu werfen, und umgekehrt, ob man sein Geld behí_lt, wenn man dies eben nicht ist.",nein,5,5,3,4,75,2,Nienburg/Deutschland,3,51.53640747,9.938995361,-1,,21,1,1,1
R_1JEFqfRjh9y3nsM,Default Response Set,,,,134.76.136.167,,11.09.2015 12:38,11.09.2015 13:16,1,1,1,0,0,68.242,0,1,324,1,0,0,12.639,0,,,,,,,1,9,1,"Ich spekuliere darauf, dass meine Mitspieler ebenso wie ich die Strategie benutzen, mí_glichst viel zu investieren, um den grí_íôt mí_glichen Gruppennutzen zu generieren.",1,8,3,8,8,8,7,7,8,1,5,2,2,1,3,4,6,6,6,6,6,8,7,3,8,1,1,7,4,2,2,3,5,3,0,5,0,4,8,8,3,2,2,2,2,"Mí_glicherweise soll der Zusammenhang zwischen Einstellungen und konkreten HAndlungsentscheidungen in einer Spielsituation untersucht werden, indem eben diese beiden Komplexe erfasst werden.",nein,9,6,2,6,67,1,Gí_ttingen,0,51.53640747,9.938995361,-1,,29,1,1,1
R_1jeTZTpUJOZm5Ap,Default Response Set,,,,134.76.136.171,,15.09.2015 08:56,15.09.2015 10:19,1,1,1,0,0,103.093,0,1,,,,,,,200,1,0,0,34.101,0,1,9,1,2ä‰å um trotzdem noch fair zu bleiben,1,7,7,7,6,7,8,8,7,6,4,5,5,4,4,3,5,8,7,7,8,7,7,6,9,4,3,6,5,5,6,4,7,3,0,4,0,0,6,8,1,2,3,2,2,"Ich denke, dass das Entscheidungsverhalten geprí_ft wird, wie man sich verhí_lt wenn es um eigenes Geld geht und die anderen die Entscheidungen nicht einsehen kí_nnen.",nein,5,3,3,4,70,2,Schwerin,0,51.53640747,9.938995361,-1,,26,1,1,1
R_1jf9mZ5lHx4R71Z,Default Response Set,,,,134.76.136.184,,15.09.2015 08:56,15.09.2015 10:15,1,1,1,0,0,34.069,0,1,0,1,3.328,3.328,8.611,1,,,,,,,1,9,1,Lust auf Risiko,1,8,5,8,8,8,5,7,7,7,7,7,4,1,6,7,6,8,6,7,9,9,8,6,7,3,8,6,5,5,7,5,6,3,1,3,0,1,6,7,1,2,1,1,2,meine Sozialverhalten unter dem Schutz der Anonymití_t und mein Vertrauen in die Fremden um mich herum,nein,9,7,9,7,74,2,Celle,0,51.53640747,9.938995361,-1,,22,1,1,1
R_1JPadmOwAdJULZ2,Default Response Set,,,,134.76.136.151,,08.09.2015 14:56,08.09.2015 15:48,1,1,1,0,0,55.016,0,1,,,,,,,400,1,0,0,13.081,0,1,9,9,"Da ich hoffe, daíô die anderen Gruppenmitglieder sich ebefalls fí_r das Projekt einsetzten und somit fí_r jeden das maximum herausspringt.",1,5,5,6,5,5,4,6,5,4,1,5,5,1,7,5,6,6,7,8,5,7,8,7,7,6,5,6,6,5,4,4,7,3,10,10,0,5,4,6,3,3,3,1,2,-,-,4,4,4,4,58,1,Coesfeld,0,51.53640747,9.938995361,-1,,38,0,1,0
R_1JQGwQcERkn0pf0,Default Response Set,,,,134.76.136.232,,08.09.2015 15:00,08.09.2015 15:49,1,1,1,0,0,71.515,0,1,160,1,0,0,11.167,0,,,,,,,1,9,9,"Ich habe ein Mittelding gewí_hlt, weil ich mir sehr unsicher war, was die bste Strategie ist",1,6,7,9,6,9,5,8,3,6,4,5,4,1,5,3,3,9,2,8,9,9,7,8,8,5,3,7,8,7,6,4,4,2,20,3,0,4,7,9,1,3,1,1,2,"In wie fern man darauf vertraut, dass die anderen auch was zum Projekt beitragen, um dann einen hí_heren Betrag ausgezahlt bekommen, wie sehr man befí_rchtet, der einzige ""Dumme"" zu sein, der dann was zum Gruppenwohl spendet und im Endeffekt weniger bekommt als die anderen",nein,3,7,9,7,73,2,"Bad Schwartau, Deutschland",0,51.53640747,9.938995361,-1,,23,1,1,1
R_1jZ01qwuHP3FdNT,Default Response Set,,,,134.76.136.171,,11.09.2015 12:17,11.09.2015 13:18,1,1,1,0,0,85.36,0,1,16,1,0,0,13.849,0,,,,,,,1,9,1,"Je weniger ich beitrage, desto mehr verdiene ich. Ich wollte jedoch trotzdem einen minimalen Beitrag leisten.",1,7,8,7,8,6,6,6,6,5,4,2,2,5,5,4,4,9,5,7,8,9,7,7,7,2,7,3,6,7,6,6,8,1,7,7,0,3,6,8,2,3,2,1,2,"Ich denke, dass verglichen wird, was man sagt, was man tun wí_rde und wie man letztendlich wirklich handelt. Durch die Fragen wurde also heraus gefunden, wie man selbst meint, sich zu verhalten und durch die Frage am Anfang, wo man Geld einsetzen musste, wird heraus gefunden, ob man eher auf seinen Eigennutzen oder das Gemeinwohl fixiert ist. Schlieíôlich werden diese beiden Erkenntnisse dann miteinander verglichen.",Nein,9,7,9,7,73,2,"Sarzbí_ttel, Deutschland",0,51.53640747,9.938995361,-1,,23,1,1,1
