V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,HI2_2
R_1DuT9fg3HCrjN7R,Default Response Set,Anonymous,,,130.241.219.175,0,4/14/16 07:33,4/14/16 08:26,1,1,1,0,0,58.288,0,1,40,1,6.918,6.918,8.512,1,,,,,,,1,9,1,"Jag ville bidra med mina 40 kr fí_r att jag personligen tror pí« att gruppen dí« kommer tjí_na mer pí« det och eftersom att jag inte vill vinna mer í_n de andra. Det hade personligen inte kí_nts bra att ta hem ""vinsten"". Fí_rhoppningsvis sí« har alla andra gjort likadant. ",1,9,5,7,9,9,8,9,7,1,4,8,5,1,5,7,9,9,9,9,7,9,8,9,7,6,5,7,9,7,9,9,9,1,0,0,0,0,8,9,1,3,1,2,2,"Jag har aldrig utfí_rt en sí«dan studie, men det kí_nns som om det handlar mycket om medmí_nsklighet men í_ven ní«gto i stil med hur man interagerar med mí_nniskor. Det vill sí_ga hur man behandlar mí_nniskor och hur man sjí_lv tillí«ter sig bli behandlad. Dessutom bygger studien nog ocksí« pí« att se hur man mí«r efter att ha gjort sina val. ",Nej,9,7,2,7,76,2,"Kristianstad, Sverige",0,57.71670532,11.96670532,-1,,2
R_1EXaI7lelHtyzc6,Default Response Set,Anonymous,,,130.241.217.17,0,11/11/15 12:05,11/11/15 12:50,1,1,1,0,0,42.338,0,1,,,,,,,10,1,21.578,21.578,25.357,1,1,9,1,"Ger god utdelning till mig, viss utdelning till í_vriga i brist pí« vetskap om hur í_vriga agerat",1,6,7,6,7,7,6,7,7,7,7,5,6,5,6,7,4,6,5,7,4,5,5,6,7,3,4,3,5,6,3,5,5,3,4,4,0,0,7,9,1,2,1,2,2,"Att samarbete lí_nar sig om man kan lita pí« att alla drar sitt strí« till stacken, annars inte",nej,5,2,5,2,58,1,"Gí_teborg, Sverige",0,57.71670532,11.96670532,-1,,4
R_1F8Imh8Ez1bzIon,Default Response Set,Anonymous,,,130.241.237.249,0,11/10/15 08:03,11/10/15 08:31,1,1,1,0,0,58.924,0,1,40,1,5.983,5.983,7.143,1,,,,,,,1,9,7,Jag hoppas att alla ska ví_lja bidra samma summan och dí« vi ska dela alla pengarna. ,1,3,3,7,9,8,3,3,6,2,6,3,7,2,3,5,4,8,8,8,8,7,7,8,8,5,5,6,7,2,5,3,6,1,0,0,0,0,7,8,1,2,1,2,2,Denna studie fí_rsí_kte kolla hur mycket mí_nniskor litar pí« andra mí_niskor. Och den var gjort med att jag skulle dela mina pí_ngarna med andra och hoppas att andra mí_niskor ska gí_ra samma som jag.,nej,6,2,3,4,69,1,Litauen,0,57.71670532,11.96670532,-1,,11
R_1FtzRqfz66e2tRi,Default Response Set,Anonymous,,,130.241.14.87,0,11/10/15 09:15,11/10/15 10:20,1,1,1,0,0,140.069,0,1,25,1,6.667,9.752,15.427,2,,,,,,,1,9,1,Jag tí_nkte att alla skulle fí_rsí_ka maximera sin vinst men í_ndí« ge ní«got till potten eftersom det dubleras pí« sí« vis. ,1,4,1,2,6,5,5,5,3,5,3,5,5,3,5,6,6,6,6,5,8,5,7,8,5,4,2,5,5,6,5,2,4,3,3,3,0,1,7,7,1,3,3,2,2,Om man ser till kollektivet snarare í_n individen. Skillanden mellan kollektivistiska snarare í_n individualistiska samhí_llen.,Om de andra skulle bidra med ní«got í_ver huvud taget.,3,3,4,3,67,1,"Hí_rní_sand, Sverige",0,57.71670532,11.96670532,-1,,10
R_1H1aDWG3iR3JOSu,Default Response Set,Anonymous,,,130.241.223.183,0,11/11/15 08:50,11/11/15 09:24,1,1,1,0,0,97.092,0,1,16,1,7.454,7.454,10.945,1,,,,,,,1,9,1,jag vill spara lite fí_r mig sjí_lv. Jag vet inte hur de andra ska bidra till gruppen.,1,8,3,6,5,6,6,7,5,5,8,5,7,4,8,6,5,8,6,8,7,7,7,5,6,7,3,7,5,7,5,2,7,3,0,0,0,0,6,7,3,2,1,2,2,hur personality eller kultur ska pí«verkar mí_nniskor om hur mycket de bidrar (contribute) till en grupp. Ní«gonting med collectivism vs. individualism.,nej,6,2,6,2,67,2,Hong Kong,0,57.71670532,11.96670532,-1,,11
R_1hMCwgOY9aIqaBk,Default Response Set,Anonymous,,,130.241.238.195,0,11/11/15 07:50,11/11/15 08:25,1,1,1,0,0,84.249,0,1,,,,,,,0,1,6.806,6.806,9.851,1,1,9,1,Fí_r att fí« sí« mycket pengar till mig sjí_lv som mí_jligt,1,7,8,3,8,7,7,7,9,9,9,8,8,8,9,7,5,9,5,6,9,6,8,9,9,7,5,8,6,9,9,4,9,3,2,2,0,0,5,6,1,2,2,2,2,Att man aggerar mer sjí_lviskt ní_r man inte kí_nner dem som kommer fí« ta den negativa konsekvensen av ens handlande. genom att vi inte ser varandra hí_r inne i rummet visades detta.,nej,3,5,5,6,73,1,"Jí_nkí_ping, Sverige",0,57.71670532,11.96670532,-1,,5
R_1Ho8RBCmTSn0sYJ,Default Response Set,Anonymous,,,130.241.232.188,0,4/13/16 07:50,4/13/16 08:20,1,1,1,0,0,40.137,0,1,,,,,,,0,1,27.681,33.723,36.042,2,1,9,1,Undersí_ka andan i gruppen,1,9,9,4,9,9,6,9,5,6,9,6,9,9,7,7,7,7,6,7,9,6,6,6,9,1,6,6,6,9,1,6,9,3,10,10,0,0,9,9,2,2,2,1,2,Egot och sjí_lvkí_nsla. Empiriska frí«gor!,nej!,2,3,4,5,56,3,gbg,0,57.71670532,11.96670532,-1,,6
R_1HsB5V2dhf4HKV3,Default Response Set,Anonymous,,,130.241.13.157,0,4/13/16 07:53,4/13/16 08:24,1,1,1,0,0,95.463,0,1,,,,,,,40,1,14.225,14.225,19.654,1,1,9,1,En socialistisk syn pí« att vi alla kan fí« mycket.,1,9,7,4,9,8,8,8,9,5,1,6,1,3,2,3,6,9,9,9,9,8,9,7,9,1,5,7,4,2,9,1,9,2,4,2,0,3,7,9,1,2,1,2,2,"Vad fí_r typ av personer som í_r villiga att ge och inte. Om den í_r villig att ge, í_r det en med vinnarskalle? í‹r det en med drag som kan relateras í«t hí_ger eller ví_nster i blockpolitiken?",nej,3,6,5,5,70,1,"Gí_teborg, Sverige",0,57.71670532,11.96670532,-1,,4
R_1hShHCwYXwRedOp,Default Response Set,Anonymous,,,130.241.13.2,0,11/12/15 09:57,11/12/15 12:19,1,1,1,0,0,45.566,0,1,20,1,9.013,9.013,11.173,1,,,,,,,1,9,1,"Jag tí_nkte att jag kan bidra med en del, men inte allting, dí« jag inte vet hur de andra tí_nker. Sedan í_r det ju ingen mus inkopplad, sí« det var inte direkt lí_tt att í_ndra markí_ren pí« 10 sekunder, i och med att datorns inbyggda ""mus"" í_r OERHí_RT lí«ngsam. Men jag hade nog valt 20 kronor í_ndí«.",1,4,6,8,9,8,7,8,8,4,9,5,7,8,6,6,2,6,2,5,7,2,7,6,8,2,5,6,5,4,2,6,3,1,0,1,0,0,3,5,3,1,2,1,2,"Hur man resonerar kring egoism vs altruism, ta och ge etcetera.",Nej,4,3,3,3,73,3,Mí_lndal,1,57.71670532,11.96670532,-1,,3
R_1hYhAahq6a0WiPV,Default Response Set,Anonymous,,,130.241.13.157,0,4/13/16 11:54,4/13/16 12:35,1,1,1,0,0,93.065,0,1,40,1,8.279,8.279,10.156,1,,,,,,,1,9,9,40 kr í_r en liten summa pengar. Jag bryr mig inte om jag fí_rlorar 40 kr. Jag vill hellre ha chans att tjí_na mer. Dessutom tror jag att andra tí_nker likadant.,1,7,4,7,7,6,5,6,3,5,6,5,6,6,7,6,3,7,9,7,6,3,6,6,7,4,3,2,6,5,6,3,1,4,2,1,0,1,7,9,1,2,2,2,2,Jag tror att den handlar om tillit. Om hur mycket individer litar pí« andra personer. Bí«de frí_mlingar och familj/ví_nner.,nej,5,3,3,3,70,1,Sverige,2,57.71670532,11.96670532,-1,,1
R_1i8Ow2jaGuveVmC,Default Response Set,Anonymous,,,130.241.219.184,0,4/14/16 07:34,4/14/16 08:27,1,1,1,0,0,45.592,0,1,,,,,,,32,1,13.326,13.326,15.745,1,1,7,9,Fí_r att se hur det kí_nns och veta vad skulle hí_nda om man satsar lite mer en halva eller ní_stan allt,1,8,8,7,8,9,7,8,8,2,8,2,7,7,8,7,2,8,8,5,9,7,8,8,5,3,7,7,5,9,9,2,8,3,3,4,0,0,5,7,3,1,3,2,2,"Det kí_nns som studien handlar lite om tillit ocg trygghet, kanske í_ven ní«got med integration att gí_ra med.  ",Nej,9,9,4,6,59,1,Filippinerna (17í«r) ,0,57.71670532,11.96670532,-1,,5
R_1Isl3CKR5mjm8wk,Default Response Set,Anonymous,,,130.241.217.92,0,4/13/16 07:49,4/13/16 08:21,1,1,1,0,0,53.522,0,1,,1,0,0,7.336,0,,,,,,,1,9,1,no reason,1,7,7,8,5,9,5,7,8,5,9,1,9,8,5,8,3,7,1,7,8,2,7,5,7,1,4,1,5,5,5,2,5,1,2,2,0,0,8,8,1,2,1,2,2,Egenintresse vs. gruppintresse,nej,9,9,9,9,58,1,Sverige,0,57.71670532,11.96670532,-1,,4
R_1jea43CbULV1q9O,Default Response Set,Anonymous,,,130.241.219.122,0,11/12/15 08:32,11/12/15 09:20,1,1,1,0,0,50.995,0,1,,,,,,,40,1,10.242,10.242,12.665,1,1,9,1,Solidaritet!,1,9,2,7,7,5,2,4,9,5,3,2,2,1,2,2,9,9,5,9,6,9,9,4,7,2,7,2,7,5,3,4,1,4,2,2,0,2,6,8,1,2,1,2,2,Hur mycket folk í_r villiga att offra fí_r kollektivet och hur mycket de litar pí« andra. Studien fí_rsí_kte visa det genom att undersí_ka folks handlingar i en situation dí_r deras vinst till stor del berodde pí« de í_vriga personernas handlande.,"Misstí_nker att studien handlar om ní«got annat í_n den officiella beskrivningen, ty sí« verkar ofta vara fallet. Vad exakt vet jag inte.",4,4,4,4,72,1,"Sverige, Gí_teborg.",1,57.71670532,11.96670532,-1,,12
R_1kRDgHasybnbsVU,Default Response Set,Anonymous,,,130.241.15.32,0,11/11/15 08:50,11/11/15 09:26,1,1,1,0,0,105.561,0,1,,,,,,,40,1,24.642,34.631,36.311,2,1,9,1,Fí_r att alla ska vara lik jí_mna. Om alla ska bara tí_nka pí« sig sjí_lva dí« kommer ingen att bidra! ,1,8,6,6,5,5,6,7,6,2,8,2,8,2,7,7,8,7,8,8,8,6,7,7,7,3,4,4,6,6,7,9,3,1,0,0,0,0,4,6,3,1,2,1,2,Den fí_rsí_kte visa att hur viktigt í_r samarbetet mellan mí_nniskor i olika grupper och att man ska inte bara tí_nka pí« sig sjí_lv! ,nej,4,2,5,3,61,2,"Iran, Yazd",0,57.71670532,11.96670532,-1,,3
R_1l45Tq1nYMym8CE,Default Response Set,Anonymous,,,130.241.221.155,0,4/14/16 07:35,4/14/16 08:21,1,1,1,0,0,49.236,0,1,,,,,,,32,1,19.162,19.162,21.006,1,1,9,1,Jag upplevde det som ett bra val med tanke pí« att 40 kr kí_ndes lite fí_r mycket om de andra tví« inte ocksí« skulle bidra med det. ,1,8,3,5,6,8,3,6,2,2,1,3,4,1,5,2,7,9,8,4,9,5,7,8,9,3,9,9,7,3,9,2,2,2,0,1,0,1,7,9,3,3,1,2,2,"Jag tror att denna studie fí_rsí_kte visa pí« hur en tí_nker i spelteori-termer samt hur en resonerar kring tillit till andra mí_nniskor. Dessutom vill studien sedan se hur ens val í_r kopplat till hur en som person relaterar till tillit till andra mí_nniskor, hur en upplever relationer till andra mí_nniskor sí«som frí_mlingar, familj & slí_kt samt ví_nner.",Nej.,5,4,4,2,73,2,"Strí_mstad, Sverige",2,57.71670532,11.96670532,-1,,11
R_1lhRrvdOyyxPxQc,Default Response Set,Anonymous,,,130.241.235.87,0,11/10/15 08:04,11/10/15 08:26,1,1,1,0,0,45.923,0,1,,,,,,,0,1,12.133,12.133,14.136,1,1,1,9,Jag gillar pengar.,1,9,9,7,7,9,8,7,5,3,6,2,3,4,3,3,2,3,2,7,7,1,2,3,5,2,7,6,3,2,6,3,2,2,1,1,0,0,3,6,3,1,3,1,2,Hur mí_nniskor agerar i relation till andra ní_r det í_r pengar involverat.,Nej,9,3,3,3,67,1,"Gí_teborg, Sverige",0,57.71670532,11.96670532,-1,,6
R_1LimXgPJ0mcYPTO,Default Response Set,Anonymous,,,130.241.220.53,0,4/13/16 11:58,4/13/16 12:39,1,1,1,77.635,111.626,139.527,16,1,33,1,10.357,10.357,13.529,1,,,,,,,1,9,1,En gemensam stí_rre pott í_kar det gemensamma ví_lbefinnandet.,1,4,8,7,8,2,8,8,2,1,9,4,9,3,3,7,2,7,9,7,8,5,8,3,7,1,7,8,3,7,4,3,9,1,0,0,0,0,8,9,1,2,2,2,2,I stor utstrí_cking tror jag studie handlade om tillit. Det fí_rsí_ker man visa med att stí_lla frí«gor och ge experiment kring tillit.,nej,9,4,4,6,75,1,"Sverige, gí_teborg",0,57.71670532,11.96670532,-1,,5
R_1mCM2Vh6zYneXtW,Default Response Set,Anonymous,,,130.241.230.40,0,11/12/15 08:34,11/12/15 09:20,1,1,1,0,0,66.451,0,1,,,,,,,40,1,17.564,17.564,20.799,1,1,9,1,"Jag hoppas att alla gí_r det, men í_r medveten om risken att de inte gí_r det.",1,5,1,5,8,9,2,3,9,3,6,2,3,1,2,1,9,9,9,8,9,5,5,9,5,3,2,9,7,5,8,3,3,3,3,4,0,0,7,9,1,2,1,2,2,Jag tror att denna studie fí_rsí_kte visa att hur bení_gna mí_nniskor í_r att gí_ra uppoffringar fí_r en grupp.,"Det í_r ví_l alltid mí_jligt att vi har fí«tt felaktig information, men jag har ingen anledning att tro det.",9,7,9,7,71,3,"Uddevalla, Sverige",1,57.71670532,11.96670532,-1,,10
R_1Nqpb8ScLcSaqVE,Default Response Set,Anonymous,,,130.241.218.79,0,4/13/16 11:55,4/13/16 12:40,1,1,1,0,0,45.102,0,1,,,,,,,40,1,7.664,7.664,12.67,1,1,9,1,"Startbeloppet, 40 kr, í_r sí« litet att det kan jag bí«de mista eller ha. Vid 80 kr sí« bí_rjar det í«tminstonde bli kul att fí« pengarna. Jag hoppas att de andra tí_nker likadant. Hade frí«gan gí_llt 4000 som start sí« hade jag antaglien valt att dela 0 kr. /  / Jag í_r medveten om att jag tagit ett irrationelt beslut m.a.p. spelteori, men kollektivet tjí_nar starkt pí« min strategi. Jag gillar inte socialism, men eftersom bonusen í_r sí« hí_g fí_r att dela med sig sí« kí_nns det logiskt att fí_rsí_ka dra nytta av den.",1,7,3,7,7,8,9,8,4,8,9,7,9,7,6,5,1,6,3,8,5,3,5,5,3,8,4,7,6,3,7,2,9,1,1,2,0,1,8,9,1,2,3,2,2,Jag tror den fí_rsí_kte visa spelteori inte alltid sann genom att lí«ta fí_rsí_kspersoner delta i spelteoretiskt exepiment. Sjí_lv tror jag att spelteorin faller om bonusen bara í_r hí_g nog och beloppen inte í_r sí_rskilt stora.,Nej,5,3,5,3,73,1,"Gí_teborg, Sverige",0,57.71670532,11.96670532,-1,,11
R_1NqxSeO4lfnSnID,Default Response Set,Anonymous,,,130.241.232.190,0,11/12/15 08:34,11/12/15 09:26,1,1,1,0,0,55.436,0,1,40,1,6.278,6.278,9.169,1,,,,,,,1,9,9,Fí_r att jag hoppas pí« att de andra ocksí« vill bidra till att vi alla fí«r mer. Samtidigt í_r det inte en stor fí_rlustaffí_r om de ví_ljer att inte gí_ra det.,1,3,5,5,3,1,1,1,1,2,1,1,1,5,1,1,5,5,5,5,6,3,7,8,6,5,5,3,7,5,9,1,5,3,10,3,0,2,7,7,2,1,1,2,2,"Att det pí« ní«got sí_tt skulle vara ""naturligt"" att mí_nniskor í_r sjí_lviska, och detta genom att konstruera ett enskilt scenario dí_r det kan lí_na sig fí_r den enskilde att ge uttryck fí_r sjí_lviskhet.",Nej,9,7,9,7,71,1,"Gí_teborg, Sverige",0,57.71670532,11.96670532,-1,,2
R_1o6fSGCLgNMs2yk,Default Response Set,Anonymous,,,130.241.219.62,0,4/13/16 08:47,4/13/16 09:43,1,1,1,2.34,134.061,140.847,29,1,,,,,,,40,1,21.665,25.89,41.958,2,1,9,1,"Bí_st fí_r gruppen som helhet, vi som grupp fí«r mest pengar. Jag sjí_lv bryr mig inte sí« mycket om att jag maximerar min egen vinst, just nu kí_nner jag inte att jag bryr mig om att fí« ní«gra extra kronor jí_mfí_rt med om jag kan glí_dja mina kamrater i salen. Jag litar dessutom till att de andra gruppmedlemmarna gí_r likadant.",1,9,3,6,7,7,7,8,7,7,5,7,2,5,8,6,2,9,6,7,8,7,4,8,8,5,3,1,5,5,3,7,5,1,0,2,0,0,8,8,1,2,3,2,2,Hur mycket man kan lita pí« att frí_mlingar kommer att gí_ra det bí_sta fí_r gruppen och inte bara fí_r sin egen vinning. Om hur alla resonerar kring detta. Eftersom det redan finns mycket forskning pí« detta sí« tror jag dels man fí_rsí_ker se om attityder har í_ndrat sig. Dessutom undersí_kte man hur personlighet/personegenskaper korrelerar med beslut i sí«dana hí_r situationer.,nej,6,2,6,2,72,1,"Virserum, Sverige",0,57.71670532,11.96670532,-1,,11
