V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ICR,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,TPC_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,Un1,Un2
R_1dEMWjeB9CJq4Bb,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 15:22,4/13/16 15:32,1,1,1,0,0,60.335,0,1,,,,,,,0,1,13.215,13.215,14.924,1,1,9,1,Porque asÕ podr_ ganar màs que los demàs.,1,7,7,9,8,6,9,8,8,5,6,2,4,2,7,4,9,7,8,9,9,3,8,7,8,3,2,5,6,4,7,5,8,1,8,8,0,0,3,8,3,3,2,1,2,"Este estudio intenta demostrar la predisposiciÑn a colaborar que tienen las personas, y lo intenta demostrar a trav_s de un juego de bien comÏn.",No.,6,2,4,4,77,2,"San Sebastiàn, PaÕs Vasco",0,41.38879395,2.158996582,-1,11,1
R_1DGcsvco8cQ3e20,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:16,4/14/16 17:32,1,1,1,0,0,68.212,0,1,175,1,12.9,37.619,39.328,3,,,,,,,1,9,1,"Por que he pensado que es egoÕsta no contribuir, y que seguramente los otros miembros tambi_n habran contribuido con una cifra elevada.He pensado que debÕa contribuir pero no he dado mas de dos euros ya que me ha parecido que no era necesario darlo todo al fondo comÏn, que luego se dobla, y en el caso que nadie de nada, me quedo con la mitad de lo que yo he dado.",1,6,4,7,6,8,6,4,6,4,2,4,4,1,5,1,8,7,7,6,8,3,8,6,8,4,4,7,6,5,6,5,6,2,6,6,0,0,8,7,1,2,3,2,2,"Hasta que punto somos egoÕstas, y creo que persigue comprender la toma de decisiones segÏn el egoÕsmo, jugando con el factor de los desconocidos. Hasta que punto nos movemos por intereses indivduales o el inter_s comÏn.",no,2,6,9,7,77,2,Girona,2,41.38879395,2.158996582,-1,11,1
R_1dMsPkGCW4OjWTm,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:24,1,1,1,0,0,65.298,0,1,,,,,,,50,1,22.639,52.928,55.229,2,1,9,1,"QuerÕa aportar el màximo pensando que si todos lo hici_ramos, todos saldrÕamos ganando pero como no s_ si los demàs van a pensar en el bien comÏn o en el individual, he preferido no arriesgar. Tambi_n es cierto que si todos han hecho como yo, no saldremos ganando nada, pero nunca se sabe como actuarà el resto.",1,6,3,7,5,6,5,8,9,8,6,6,3,1,7,4,3,8,8,8,6,2,8,8,6,3,2,6,6,6,1,5,6,5,10,10,0,0,5,7,3,3,1,2,2,"Creo que intentaba demostrar si la gente vela màs por sus propios intereses o son màs altruistas, viendo hasta que punto estàn dispuestos a ""sacrificar"" una parte de su dinero en beneficio comÏn.",no,2,6,2,6,75,2,"Barcelona, Espa_a",0,41.38879395,2.158996582,-1,11,1
R_1dv0aoJ0CRXJNrU,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:29,1,1,1,0,0,60.599,0,1,,,,,,,250,1,3.953,4.634,14.042,2,1,9,1,racionalmente es la opciÑn màs segura y con la que màs posibilidades hay de obtener màs dinero,1,7,1,7,9,7,3,7,7,3,8,3,7,2,6,7,3,8,9,9,9,7,9,6,5,2,2,1,5,2,3,4,9,4,10,10,0,0,1,8,3,2,1,2,2,"la importancia del triunfo, competiciÑn y confianza en la sociedad actual",no,7,7,7,7,75,2,espa_a,2,41.38879395,2.158996582,-1,11,1
R_1DYgios8oKXFBW3,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:33,1,1,1,65.512,65.512,66.492,1,1,100,1,5.309,5.309,8.633,1,,,,,,,1,9,5,Pens_ que contribuir con 1ó por que me considero una persona conservativa y no creo que los demàs apuesten. Creo que por la falta de confianza y el azar la mayorÕa tendràn la tendencia de ser conservativos.,1,8,8,9,8,6,8,4,3,3,3,3,3,4,7,3,5,8,9,8,7,6,7,7,8,2,7,3,4,2,5,2,6,1,0,0,0,0,8,6,3,1,2,1,1,Creo que en este estudio  se trata de entender como nos relacionamos con los demàs y en que medida tenemos una mente abierta. Al mismo tiempo se intenta percibir como reaccionan las personas en situaciones en las cuales deban tomar decisiones sin tener en cuenta las de los demas,no,2,7,9,9,67,1,Rumania,0,41.38879395,2.158996582,-1,11,5
R_1DZpKUunLj4YwlX,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:19,4/13/16 16:32,1,1,1,0,0,70.029,0,1,250,1,7.413,7.413,8.416,1,,,,,,,1,9,1,"Porque considero que es mejor que todos tengamos el mismo beneficio, es decir, prefiero mirar por el bien comÏn, que por mi propio bien, aprovechàndome de los demàs.",1,5,1,8,7,4,9,8,6,6,3,6,3,5,7,6,6,5,7,9,8,3,9,9,7,4,4,7,8,5,6,3,9,2,1,1,0,0,7,9,1,3,3,2,2,"Intenta demostrar que las personas toman sus decisiones en funciÑn de su grado de reciprocidad. Es decir, hay personas que son mucho màs egoÕstas y miran por su propio inter_s y otras que al contrario, procuran favorecer a los demàs.",no,2,2,2,2,78,2,Espa_a,0,41.38879395,2.158996582,-1,11,1
R_1EbRBEufw96bf62,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:29,1,1,1,91.914,96.472,105.712,2,1,69,1,9.649,9.649,10.547,1,,,,,,,1,9,1,"DecidÕ aportar la cantidad en cuestiÑn porque de este modo mi beneficio puede ser màs elevado que en el caso de dar todos los c_ntimos al grupo ya que no puedo estar completamente segura de que los otros miembros del grupo donen un precio elevado. Solo saldrÕamos ganando si todos nosotros donàsemos los 2.50 euros o una cantidad alta similar, pero como dependo de 3 personas màs, prefiero asegurarme y dar una cantidad no muy elevada: suficiente como para que se pueda doblar, pero tambi_n que me pueda beneficiar individualmente",1,7,5,8,6,8,7,8,7,4,5,6,4,6,7,6,5,7,9,9,8,7,8,6,8,6,4,6,8,5,6,5,9,1,0,0,0,0,5,7,3,3,3,1,2,"Intentaba estudiar como prefiere trabajar la gente y el pensamiento que se tiene a la hora de trabajar en grupo: si tiramos màs hacia nuestro propio beneficio individual o si por el contrario nos esforzamos y nos gusta el trabajo en grupo, si preferimos competiciÑn o cooperaciÑn, etc. ","Al principio dudaba sobre lo que se querÕa estudiar, es decir, si querÕan algo relacionado con la economÕa, pero conforme hemos ido avanzando he visto màs o menos lo que se pretendÕa en este estudio.",3,5,3,4,76,2,Barcelona,0,41.38879395,2.158996582,-1,11,1
R_1EiiTUZZnHIy189,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:25,1,1,1,0,0,75.213,0,1,,,,,,,0,1,22.106,22.106,25.797,1,1,9,1,Debido a que las personas tendemos a tomar las decisiones egoÕstamente y sobretodo si no hay ningÏn tipo de contacto con las otras personas que estàn participando en el juego. / Si hubiese podido hablar o bien interactuar con ellas quizàs hubiera cambiado mi decisiÑn y hubiera invertido màs en el fondo comÏn. Pero dado que son personas que no conozco antepongo mis intereses a ellas pensando que ellas haràn lo mismo.,1,7,8,9,8,5,7,8,6,3,6,2,5,2,7,4,3,8,8,3,8,9,8,8,7,3,1,2,8,8,6,2,9,3,4,4,0,0,3,6,3,1,2,1,2,Si generalmente la gente tiende a colaborar y confiar con los otros cuando se trata de maximizar el beneficio comÏn de la sociedad. Como valoramos el tomar la decisiÑn de colaborar o no colaborar y que aspectos tenemos en cuenta a la hora de hacerlo.,No.,5,9,4,3,76,2,"Reus, Catalunya",1,41.38879395,2.158996582,-1,11,1
R_1ff4DePFlZqd1Fi,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:20,4/14/16 16:30,1,1,1,0,0,37.792,0,1,0,1,3.435,3.435,13.544,1,,,,,,,1,9,1,"Porque como no s_ la cantidad de dinero que decidiràn aportar los demàs, prefiero asegurarme mi dinero a perderlo si yo decido contribuir y los demàs no.",1,6,2,7,9,8,7,8,9,1,2,1,1,1,1,4,7,9,9,9,9,2,9,9,9,2,5,9,4,3,2,8,9,4,20,20,0,0,2,9,2,3,3,1,2,"Pienso que este estudio intentaba demostrar si las personas confÕan en los demàs o no, ya que en la sociedad actual hay desconfianza, y perdemos por ello posibilidades de ganar màs dinero u obtener buenos resultados, ya que todos juntos trabajarÕamos mejor. Intentaba demostrarlo viendo si decidÕamos aportar nuestro dinero al fondo comÏn arriesgàndonos a que los demàs no colaboraran pero tambi_n con la posibilidad de ganar màs que si nos quedàbamos nuestro dinero.",no,7,9,6,2,77,2,"Huesca, Espa_a",2,41.38879395,2.158996582,-1,11,1
R_1g2uzikBC6lOHNk,Default Response Set,Anonymous,,,193.145.56.242,0,4/15/16 17:11,4/15/16 17:28,1,1,1,0,0,56.984,0,1,229,1,9.154,10.554,11.196,2,,,,,,,1,9,6,"No veÕa posible saber qu_ cantidad es mejor para mÕ sin saber lo que han aportado los demàs, por lo que he elegido la mitad (125 cts); asÕ yo me quedo con la otra mitad y en principio espero ganar màs de 125 cts (mucho màs, ya que tiene que ser la mayor cantidad que pueda obtener) de la contribuciÑn que todos los participantes hayamos hecho.",1,9,7,3,9,9,8,9,9,1,6,4,2,1,3,5,7,9,9,9,9,2,9,8,9,1,1,8,6,1,2,7,6,3,2,2,0,0,7,8,1,1,2,2,2,"La competitividad y el individualismo de las personas. Con la primera parte, habrà quien da todo su dinero y habrà quien lo da todo al fondo comÏn. El test de la segunda parte constaba de preguntas sobre estos temas: la competitividad, la generosidad con amigos y familiares, el individualismo y el trabajo en equipo...  / Creo que este estudio intenta demostrar que nuestra sociedad està muy acostumbrada a la competiciÑn y a mirar por su propio inter_s, dejando de lado a los demàs. Poco a poco todos nosotros estamos perdiendo la capacidad de trabajar en equipo y de mirar por el bien de todos, y nos aislamos en nuestra privacidad y en nuestro bienestar personal.",No.,7,9,7,9,78,2,"Montblanc, Espa_a",0,41.38879395,2.158996582,-1,11,6
R_1GUj5fd3Qj1Zwpq,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:20,4/14/16 16:39,1,1,1,0,0,68.543,0,1,,,,,,,250,1,22.835,22.835,28.88,1,1,9,1,Hay que ser generoso man,1,6,7,8,7,5,8,7,6,3,3,2,1,1,3,6,3,9,9,9,9,1,7,8,3,1,5,8,1,7,9,3,9,1,5,3,0,0,5,8,3,3,2,2,1,"Tengo la sensaciÑn de que el estudio intenta demostrar que la gente coopera cuando percibe claramente que de la cooperaciÑn sacaràn algÏn beneficio, ademàs de si en general se confÕa en los desconocidos o no. La confianza en el bien comÏn del grupo harÕa que todos aportasen todo el dinero al fondo comÏn para que asÕ el grupo ganase el màximo beneficio, mejor que quedarse todos el dinero y ganar menos individualmente",No,6,2,9,2,77,1,"Barcelona, Espa_a",0,41.38879395,2.158996582,-1,11,1
R_1H6HfA5SPmME1Ay,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:14,4/14/16 17:28,1,1,1,0,0,64.859,0,1,80,1,4.475,4.475,8.848,1,,,,,,,1,9,1,"0,5 porque aporto algo al fondo comÏn, pero no el total de lo que tengo porque desconozco la aportaciÑn de los demàs. En este caso aporto algo al fondo, pero no pierdo tanto aÏn sabiendo que si no aportase nada, ganarÕa màs",1,7,6,8,9,7,7,7,8,7,6,6,4,1,7,4,6,6,6,9,9,7,7,9,6,5,7,9,7,6,6,9,9,1,5,5,0,0,1,8,3,3,2,1,2,Creo que se quiere demostrar la confianza en los extra_os por medio de arriesgar los beneficios que uno puede obtener.,no,9,4,4,4,74,2,"Barcelona, Espa_a",1,41.38879395,2.158996582,-1,11,1
R_1hEvTPxY6QaTiiq,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 13:12,4/13/16 13:27,1,1,1,0,0,94.393,0,1,0,1,2.536,2.536,5.441,1,,,,,,,1,9,9,"Porque asÕ me aseguro los 2,5 euros y ademàs tengo la posibilidad que otros miembros del grupo aporten algo y obtener aÏn màs ",1,8,4,8,3,6,4,9,8,4,3,4,4,6,7,8,5,8,5,4,6,4,6,7,7,5,3,8,3,7,3,3,9,3,6,15,0,2,7,8,3,3,1,2,2,"Ver como las personas son a titulo individual y luego ver como este mismo tipo de persona se siente y relaciona con las demàs personas. Establecer patrones de gente y ver si estas confÕan en las demàs, sacrificando su inter_s personal por la posibilidad de sacar al final un provecho conjunto ",Que si no aportas nada al grupo no te lleves ni un c_ntimo ,6,6,5,3,75,1,"Barcelona, Espa_a",0,41.38879395,2.158996582,-1,11,11
R_1hyzvhfihMRgJZA,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:34,1,1,1,0,0,94.046,0,1,,,,,,,225,1,16.813,16.813,18.081,1,1,9,1,"Porque confÕo en que los demàs tambi_n van a escoger la opciÑn de aportar una gran cantidad al fondo comÏn debido a que no es tanta la diferencia de 5ó a 6,25ó. Es decir, confiÑ en que los demàs piensen, como yo, que si todos salimos ganando mejor.",1,5,1,8,8,2,8,7,7,3,2,1,1,3,7,4,7,8,8,9,8,5,8,7,8,2,2,5,6,2,3,9,9,3,3,3,0,0,7,10,1,3,3,2,2,"Bàsicamente intentaba demostrar hasta qu_ punto la gente antepone el bien comÏn al _xito y beneficio personal, aÏn cuando este pudieses suponer una p_rdida de beneficios para el resto del grupo. En este sentido y màs especÕficamente, sobretodo comprobarlo en situaciones en las cuales quienes estàn interactuando son desconocidos.","En alguna pregunta, tal vez, falta de claridad en la exposiciÑn de la misma. Pero nada relevante.",7,2,6,2,77,1,"Vinar÷s, Espa_a",0,41.38879395,2.158996582,-1,11,1
R_1iajwFQFqrmlZ1b,Default Response Set,Anonymous,,,193.145.56.242,0,4/15/16 17:11,4/15/16 17:23,1,1,1,8.507,39.315,41.16,5,1,,,,,,,50,1,16.314,16.314,25.32,1,1,9,1,"es 1/5 parte de mi dinero. Es menos de la mitad y si todos aportamos eso, recibiremos un euro mas",1,4,9,9,8,9,5,8,9,3,5,2,3,5,4,9,8,7,8,9,9,4,9,7,2,9,2,1,2,3,2,9,9,5,10,10,0,0,3,6,2,3,3,2,2,"Imagino que estarà midiendo como confiamos en los desconocidos, ya que tenemos que aportar una cantidad d dinero en beneficio de todos sin saber si esos desconocidos aportaràn tambi_n dinero o se aprovecharàn de la buena voluntad nuestra","Sospecho que lo que hemos puesto no serà para grupo, sino que serà para nosotros mismos doblado",7,3,6,2,70,1,Barcelona (Espa_a),0,41.38879395,2.158996582,-1,11,1
R_1jPXcXfMJnRQCzx,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:22,1,1,1,0,0,43.931,0,1,,,,,,,205,1,7.603,7.603,9.733,1,1,9,9,"Porque no es la cantidad entera de 250 pero es alta, asÕ tengo la posibilidad de aumentar mi cantidad.",1,4,4,6,5,9,8,8,3,5,6,6,4,3,5,4,5,9,6,9,8,6,8,7,6,5,4,7,5,4,7,5,6,1,3,3,0,0,7,7,3,1,2,1,2,Intentaba demostrar cÑmo tomamos decisiones y cÑmo influyen nuestras emociones o sentimientos en este proceso.,no,6,2,5,2,74,2,"Santa Margalida, Espa_a",0,41.38879395,2.158996582,-1,11,11
R_1jrKXUPqP2UrCKJ,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 15:22,4/13/16 15:40,1,1,1,0,0,88.677,0,1,,,,,,,250,1,2.77,2.77,4.63,1,1,9,6,"El margen de ganancia propia sacrificando las ganancias que todos podemos obtener me parece bajo, por lo que mi decisiÑn es que todos podamos recibir 5 euros, que dentro de las posibles opciones me parece una cantidad apropiada.",1,5,4,7,7,6,7,6,4,6,6,6,6,1,5,5,4,7,8,7,8,7,7,6,7,2,1,3,5,3,6,3,7,1,0,4,0,0,8,8,1,2,3,2,2,Pienso que intenta demostrar la colectividad vs. la individualidad de la sociedad actual. Hasta qu_ punto somos seres que nos movemos Ïnicamente por nuestros intereses y beneficio propio o buscamos la armonÕa y la colaboraciÑn interpersonal. Lo han intentado demostrar mediante la tarea de obtener beneficio econÑmico y con preguntas para evaluar nuestra forma de pensar y actuar en este aspecto.,no,3,5,3,5,74,2,"Sant Joan DespÕ, Espa_a",0,41.38879395,2.158996582,-1,11,6
R_1kFaSktdD6oc0hq,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:20,4/14/16 16:34,1,1,1,0,0,76.74,0,1,75,1,12.296,12.296,13.291,1,,,,,,,1,9,1,No conozco a los otros integrantes del grupo y creo que la cantidad es justa,1,6,8,9,5,9,8,8,8,8,8,6,8,6,8,7,7,8,9,8,8,7,8,8,7,8,8,9,6,6,7,5,9,1,4,3,0,0,4,8,3,1,3,1,2,"Pienso que intenta demostrar en qu_ medida la poblaciÑn se fÕa de la gente que le rodea. Al tener que aportar dinero propio se complican mucho las cosas, por que en la sociedad que vivimos el dinero està por encima de muchas cosas.",no,5,3,3,2,77,1,"Sant Antoni de Portmany, Espa_a",2,41.38879395,2.158996582,-1,11,1
R_1kNSuu5jn7GoRHn,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:16,4/14/16 17:29,1,1,1,0,0,56.563,0,1,,,,,,,100,1,14.28,14.28,23.01,1,1,9,1,"Hubiera elegido 250 c_ntimos si confiara en el resto de personas, pero ya he hecho algÏn experimento muy parecido al presente y me he encontrado que la gente suele dar poco, asÕ que he elegido 100 c_ntimos. De esta manera, ni doy mucho ni doy poco, lo justo para esperar que los demàs hayan elegido lo mismo que yo.",1,7,7,9,7,1,9,6,3,6,3,2,3,5,7,2,7,8,8,7,8,7,9,4,8,3,2,2,6,5,3,7,6,4,8,8,0,0,3,8,3,3,2,1,2,"Creo que este estudio trata de demostrar cÑmo la manera de ser y de pensar de cada uno afecta a las reacciones que demostramos; es decir, a partir de cÑmo es cada uno, poder deducir si se tiende a confiar en los demàs (y por tanto a dar dinero a pesar de correr el riesgo de quedarse sin nada) o a no confiar en los demàs (preferir el beneficio propio inmediato aunque eso supongo ganar menos a la larga).",Quizàs se han agrupado los grupos de manera que aquellos que no han cedido nada sus compa_eros no les han cedido tampoco nada y aquellos que han decidido dar mucho estàn en grupos de gente que han dado mucho.,9,3,4,3,73,1,"Barcelona, Catalunya",0,41.38879395,2.158996582,-1,11,1
R_1Kqbq6CVoQfgbXQ,Default Response Set,Anonymous,,,193.145.56.242,0,4/15/16 17:11,4/15/16 17:25,1,1,1,0,0,86.527,0,1,,,,,,,0,1,30.18,31.131,31.645,2,1,9,1,"Porque mi percepciÑn de la sociedad es que en su mayorÕa las personas que la componen son egoÕstas. SÕ, tal y como acabo de serlo yo con mi aportaciÑn. Al creer que los demàs seràn egoÕstas, aunque el hecho de que todos contribuy_ramos con el importe màximo nos beneficiarÕa a todos, he creÕdo que si lo hacÕa serÕa yo la que saldrÕa perdiendo.",1,7,7,9,9,7,7,4,9,6,6,3,1,6,2,2,3,3,3,7,8,6,9,3,5,2,1,7,2,2,4,9,8,3,4,4,0,0,2,3,2,3,2,1,2,Intenta demostrar el egoÕsmo de la gente. Lo hace dàndonos a elegir si ser solidarios y salir todos màs beneficiados o ser egoÕstas y asegurar una parte de la percepciÑn monetaria.,No tengo ninguna duda ni sospecha.,9,7,2,2,68,2,"Badalona, Barcelona, Espa_a",0,41.38879395,2.158996582,-1,11,1
