V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,HI2_2
R_1GB2dCtgMtrjLry,Default Response Set,Anonymous,,,130.236.248.205,0,11/4/15 11:04,11/4/15 11:19,1,1,1,0,0,66.898,0,1,,,,,,,40,1,0,0,22.348,0,1,9,1,"M_nniskan _r visserligen girig, och jag tvivlar inte p‘ att de andra i gruppen f_rmodligen ville beh‘lla sina pengar helt sj_lv, men samtidigt kr_vs det att m_nniskor samarbetar och n‘r en viss punkt av j_mst_lldhet och j_mlikhet f_r att v_rlden _verhuvudtaget ska kunna n‘ en punkt d_r n_stintill allting fungerar. Jag tror helt enkelt p‘ m_nskligheten. Men kort sagt, s‘ finner jag ingen lycka i att ta alla pengar f_r mig sj_lv och k_nner inte heller n‘got behov av det.",1,7,3,3,7,6,8,6,7,3,7,2,5,9,6,7,2,5,8,7,7,5,5,7,4,3,5,3,7,1,9,5,2,1,30,20,0,0,4,6,1,1,1,2,2,"Till en b_rjan tror jag att studien _r utformad f_r att studera sig sj_lv, hur en sj_lv _r mot och hur en _r inst_lld mot andra m_nniskor. Sen tror jag att det _r ett tillf_lle f_r en att fundera _ver hur andra m_nniskor _r, n_r en f‘r reda p‘ resultatet av pengarutdelningen.","Det _r sv‘rt att g_ra studier och f‘ fram ett helt verklighetsbaserat resultat, s‘ beroende p‘ utfallet s‘ tror jag att en kan f‘ en skev uppfattning om hur m_nniskor fungerar.",4,3,7,5,76,2,G_vle,4,58.41670227,15.61669922,-1,,11
R_1gSYecaLuVc0Q7g,Default Response Set,Anonymous,,,130.236.248.203,0,11/3/15 15:40,11/3/15 15:51,1,1,1,0,0,60.516,0,1,,,,,,,16,1,0,0,13.583,0,1,9,1,jag bidrog med summan jag valde f_r att f_rs_ka spela s_kert. Ett f_rs_k till att f‘ s‘ mycket pengar som m_jligt.,1,5,1,1,9,2,6,7,4,6,7,1,8,5,6,7,3,9,7,6,6,6,7,8,9,1,1,4,2,2,4,2,3,1,0,0,0,0,6,9,3,2,3,2,1,F_rmodligen vill studien visa p‘ om m_nniskor i v‘r omgivning _r s‘ gener_sa och givmilda som de tror att de _r. ,Nej / ,2,3,9,6,74,2,"Leksand, Sverige",6,58.41670227,15.61669922,-1,,10
R_1gzMuK9BYm8FV63,Default Response Set,Anonymous,,,130.236.248.205,0,11/3/15 13:33,11/3/15 13:48,1,1,1,0,0,72.376,0,1,,,,,,,40,1,0,0,18.116,0,1,9,1,Jag gjorde det inte f_r att jag trodde att de andra skulle g_ra det. Bara f_r att vi _r en grupp s‘ betyder det inte att vi k_nner varandra eller att jag tror b_ttre om dem. Jag valde summan f_r det k_ndes r_tt f_r mig. ,1,8,7,9,7,8,8,8,9,2,2,2,4,1,3,8,5,6,9,9,8,5,5,6,6,5,4,1,7,3,7,9,8,1,0,0,0,0,1,5,2,1,3,1,2,"Beroende p‘ vem du _r, hur du ser p‘ fr_mlingars tillit. Tror du att de _r goda eller onda.",Jag tror att det _r f_r f‘ fr‘gor f_r att kunna g_ra en generell bed_mning. ,6,9,7,9,75,2,Ljungby ,0,58.41670227,15.61669922,-1,,4
R_1Ic9ymp92jRNPwS,Default Response Set,Anonymous,,,130.236.248.219,0,11/3/15 10:48,11/3/15 11:00,1,1,1,0,0,88.465,0,1,24,1,0,0,9.334,0,,,,,,,1,9,1,"Os_kerheten om _vriga individers beslut gjorde att jag valde en mellanv_g. Egentligen ville jag bidra med antingen 0 eller 40, men n‘gon form av ""moral"" gjorde att jag valde ungef_r h_lften.",1,7,6,8,8,8,4,5,7,3,6,3,6,1,6,4,5,7,3,6,7,3,7,6,9,3,6,5,4,5,7,6,7,1,1,1,0,0,3,7,2,2,1,1,2,M_jligen n‘got om givmildhet kontra egenintresse i en milj_ med ok_nda m_nniskor.,Nej.,9,9,9,5,71,1,"Tran‘s, Sverige",1,58.41670227,15.61669922,-1,,3
R_1imLd8qqsDdMSrL,Default Response Set,Anonymous,,,130.236.248.210,0,11/3/15 14:19,11/3/15 14:34,1,1,1,0,0,124.198,0,1,32,1,8.651,10.849,16.327,5,,,,,,,1,9,1,Jag hann inte t_nka efter under de 10 sekundrarna,1,7,6,4,4,8,5,8,7,8,5,8,5,3,8,6,3,9,6,8,7,4,7,6,9,7,7,6,6,3,9,3,7,1,0,0,0,0,7,8,1,3,1,2,2,Den f_rs_kte nog visa att man inte ska vara s‘ egoistisk utan _ven t_nka p‘ andra och vara glad f_r deras skull.,nej,2,2,2,2,77,2,Borl_nge Sverige,2,58.41670227,15.61669922,-1,,3
R_1j7o9ee2dNwquTg,Default Response Set,Anonymous,,,130.236.248.207,0,11/3/15 13:34,11/3/15 13:50,1,1,1,0,0,75.762,0,1,40,1,0,0,7.803,0,,,,,,,1,9,1,Om jag inte skulle valt att bidra med hela beloppet p‘ 40 kronor skulle jag vara anledningen till att de andra i gruppen missgynnas (om de bidragit med 40). Personligen k_nner jag att det _r mer v_rt att ha m_jliggjort en st_rre utdelning f_r m‘nga _n att s_kert veta vad min egen utdelning blir. Med andra ord skulle jag f_rmodligen k_nna lite d‘ligt samvete om jag inte bidrog med hela summan. Samtidigt _r beloppet (40 kronor) inte j_ttestort och detta bidrog ocks‘ till att jag genast valde att bidra med hela beloppet.,1,8,3,5,9,9,7,8,8,2,5,1,5,1,2,1,5,8,8,7,9,5,8,8,7,2,1,6,6,3,9,2,5,1,0,0,0,0,7,9,1,3,3,2,2,Jag tror studien f_rs_kte visa i hur stor utstr_ckning m_nniskor _r villiga att lita p‘ fr_mlingar genom att man i experimentet var tvungen att riskera sin egen vinst f_r att m_jligg_ra optimal vinst f_r gruppen.,nej,5,2,5,2,77,2,"T_by, Sverige",0,58.41670227,15.61669922,-1,,11
R_1kYARpPJ6tfGYyM,Default Response Set,Anonymous,,,130.236.248.217,0,11/4/15 11:04,11/4/15 11:18,1,1,1,0,0,64.69,0,1,8,1,7.872,7.872,14.071,1,,,,,,,1,6,4,Eftersom vi _r en grupp anser jag att alla ska f‘ ta del av summan,1,7,8,6,5,5,7,7,3,3,2,4,7,2,2,4,5,9,7,9,9,3,5,7,9,2,4,4,4,2,8,2,2,1,0,0,0,0,7,9,1,3,1,2,1,"Hur externa faktorer p‘verkar mig som person och d_rmed mitt beslutfattande, genom att se till hur jag reagerar p‘ yttre faktorer och hur stor p‘verkan de har p‘ mig.",nej,2,5,3,4,77,2,"T_by, Sverige",1,58.41670227,15.61669922,-1,,5
R_1losZsFQdxSWFZ8,Default Response Set,Anonymous,,,130.236.248.222,0,11/3/15 15:10,11/3/15 15:21,1,1,1,0,0,62.155,0,1,,,,,,,40,1,0,0,28.235,0,1,9,1,"Varje m_nniska _r egoistisk, s‘ risken _r stor att de _vriga gruppmedlemmarna inte fattar samma beslut som jag g_r. Jag v_ljer _nd‘ att vara godtrogen och hoppas p‘ att de andra i gruppen v_ljer att ta det mer kollektivt gynnande beslutet ist_llet f_r att gynna sig sj_lv. Risken _r dock stor att s‘ inte _r fallet. ",1,5,8,4,8,6,6,8,5,4,9,2,8,7,5,7,3,6,7,6,7,4,7,5,6,4,5,6,5,6,5,7,8,1,0,0,0,0,5,8,2,3,2,1,2,Hur m_nniskor t_nker och agerar mot andra m_nniskor. B‘de personer man k_nner men ocks‘ mot fr_mlingar. —r vi egoistiska eller _r vi innerst inne hj_lpsamma och goda?,Nej.,5,5,5,5,75,1,"Stockholm, Sverige",3,58.41670227,15.61669922,-1,,5
R_1lzTW0fdxaAnZBE,Default Response Set,Anonymous,,,130.236.248.221,0,11/4/15 10:19,11/4/15 10:35,1,1,1,0,0,78.899,0,1,24,1,0,0,14.57,0,,,,,,,1,9,1,Jag t_nker att jag ville l_gga mig n‘gonstans i mitten f_r att minimera riskerna att f‘ den minsta summan. Jag ville helgardera mig s‘ att det inte spelar n‘gon roll hur de andra agerar.,1,3,2,4,3,9,7,8,5,8,9,8,9,7,7,9,2,5,8,9,8,2,8,4,9,2,1,7,7,1,2,2,7,2,0,0,0,0,6,7,1,3,2,2,2,Tillf_rlit v_rderingar och hur mycket man t_nker p‘ sig sj_lv j_mf_rt med andra,nej,9,2,3,2,74,1,"Sverige, V_ster‘s",2,58.41670227,15.61669922,-1,,12
R_1Mp80Hf0nozgYox,Default Response Set,Anonymous,,,130.236.248.213,0,11/3/15 10:48,11/3/15 11:07,1,1,1,0,0,97.518,0,1,,,,,,,40,1,9.936,10.965,13.516,2,1,9,1,Genom att dela med mig av mina pengar f‘r gruppens helhet mer pengar att spendera till n_stkommande fr‘ga,1,4,3,2,7,3,7,5,2,5,8,3,8,7,6,8,3,8,6,7,8,8,8,8,8,7,6,8,3,6,7,3,8,1,0,1,0,0,7,8,1,2,1,2,2,"F‘ en b_ttre bild utav personers ‘sikter g_llande samarbete, indviduellt arbete samt tillit till andra individer. Fr‘gorna som besvarades ger en bra anknytning till personers ‘sikter om samarbete och dyl.",nej,5,3,5,3,70,1,"Åm‘l, Sverige",1,58.41670227,15.61669922,-1,,11
R_1MS3t75bA9Sg587,Default Response Set,Anonymous,,,130.236.248.213,0,11/3/15 15:40,11/3/15 15:49,1,1,1,0,0,49.179,0,1,,,,,,,40,1,0,0,5.682,0,1,9,1,solidaritet,1,5,9,4,9,1,6,5,3,7,6,4,4,4,5,6,5,9,9,9,5,5,8,8,9,4,8,2,8,7,3,5,2,1,1,1,0,0,7,8,1,2,1,2,2,samband mellan girighet och personlighet,nej,5,4,4,4,74,1,g_teborg,6,58.41670227,15.61669922,-1,,6
R_1n1Mob09ycEiBpw,Default Response Set,Anonymous,,,130.236.248.219,0,11/3/15 14:19,11/3/15 14:32,1,1,1,81.94,85.138,107.379,4,1,30,1,14.702,14.702,18.4,1,,,,,,,1,9,9,Ett s_kert kort. F_rlorar lite p‘ det men inte allt om alla t_nkt beh‘lla sina pengar.,1,7,1,5,5,8,5,8,5,1,6,2,7,1,5,3,5,9,9,9,9,9,9,9,9,6,6,2,2,5,9,5,9,3,1,1,0,0,5,8,3,2,1,1,2,Hur man resonerar kring att fatta beslut i en grupp med ok_nda m_nniskor. F_rs_kte visa genom experimentet med pengarna och f_ljde sedan upp med fr‘gor kring hur man ser p‘ grupper och fr_mmande individer.,nej,5,5,2,6,73,2,"Vimmerby, Sverige",1,58.41670227,15.61669922,-1,,10
R_1n899yWVMczK8Vp,Default Response Set,Anonymous,,,130.236.248.216,0,11/3/15 13:34,11/3/15 13:50,1,1,1,0,0,59.138,0,1,,,,,,,20,1,0,0,96.723,0,1,9,1,Gav 50% till gruppen  och h_lften till mig vilket g_r att jag bidrar med tio kronor per person inklusive mig men jag s‘ jag f‘r minst 30kr. Men jag riskerar inte att satsa alla  mina pengar om alla andra beh‘ller sina pengar s‘ f_rlorar jag bara tio kronor. Funderade p‘ att beh‘lla allt f_r mig sj_lv och se vad de andra gjorde men tycker att jag har m_jligheten att dela med mig och skulle k_nnas oschysst om jag gav inget och de andra allt. ,1,6,3,9,3,9,6,6,7,8,8,6,8,2,6,4,7,6,4,5,7,3,6,3,5,2,4,8,6,3,5,2,5,1,0,0,0,0,7,7,1,2,3,2,2,Hur villiga vi _r p‘ att lita p‘ att andra m_nniskor ska g_r det som _r b_st f_r gruppen och hur mycket vi sparar f_r egen vinning.,nej,5,3,3,3,75,1,Stockholm Sverige,4,58.41670227,15.61669922,-1,,11
R_1Nq1Byo74YZ5CAG,Default Response Set,Anonymous,,,130.236.248.206,0,11/3/15 13:33,11/3/15 13:44,1,1,1,0,0,27.383,0,1,,,,,,,40,1,0,0,24.943,0,1,9,9,"F_r maximalt utfall s‘ kr_vs maximal input fr‘n var och en i gruppen. En mindre summa hade m_jligen kunnat gynna mig personligen, men ett h_gre bidragande belopp ger b_ttra odds _n att f_rs_ka ""spela p‘ egen hand"". Det monet_ra beloppet ter sig _nd‘ marginellt.",1,6,5,8,6,7,3,8,5,2,5,3,3,3,2,2,3,8,9,6,7,3,7,8,7,4,2,8,9,5,6,2,8,1,0,0,0,0,4,8,3,2,3,1,2,"Individens f_rm‘ga att se egen vinning d‘ det g‘r bra f_r gruppen. ""G‘r det bra f_r gruppen g‘r det bra f_r mig""",nej,4,3,4,3,72,1,"J_nk_ping, Sverige",0,58.41670227,15.61669922,-1,,2
R_1NwdQfT8CJR4tax,Default Response Set,Anonymous,,,130.236.248.213,0,11/3/15 14:18,11/3/15 14:31,1,1,1,0,0,77.151,0,1,0,1,0,0,9.706,0,,,,,,,1,9,1,"Girighet, och f_rhoppning att andra i gruppen ej _r giriga. ",1,8,8,6,9,8,9,8,8,2,8,4,7,6,5,6,2,8,5,8,8,4,5,5,7,8,3,2,3,6,6,3,8,1,1,0,0,0,2,8,2,2,3,1,2,Beslutsf_rm‘ga och tillit f_r andra m_nniskor.,Tvivel till 50 kr f_r deltagning. ,3,3,4,5,72,1,"M_nster‘s, Sverige",1,58.41670227,15.61669922,-1,,5
R_1NwwoDbeFfRLQiN,Default Response Set,Anonymous,,,130.236.248.208,0,11/3/15 14:17,11/3/15 14:30,1,1,1,0,0,104.976,0,1,,,,,,,0,1,0,0,42.086,0,1,9,1,F_r att tj_na s‘ mycket pengar som m_jligt var det mest f_rdelaktigt att beh‘lla pengarna sj_lv f_r att sedan hoppas p‘ att gruppmedlemmarna bidragit till den gemensamma potten.,1,7,4,4,8,6,7,7,6,7,6,3,3,4,4,6,4,7,7,7,8,7,6,6,8,7,3,3,4,4,9,3,3,1,0,0,0,0,4,7,1,2,3,2,2,Hur m_nniskor interagerar med varandra och hur vi fattar egna beslut i relation till gruppen. Att s_tta sin egen vinst i f_rh‘llande till gruppens gemensamma vinst tvingar en att fundera p‘ hur vi tror att resten av gruppen skulle agera och om egennyttan _r viktigare _n gruppens.,Nej,9,4,3,5,75,2,"Stockholm, sverige",0,58.41670227,15.61669922,-1,,1
R_1NyLCmTxtpKUKrE,Default Response Set,Anonymous,,,130.236.248.219,0,11/3/15 12:22,11/3/15 12:36,1,1,1,0,0,62.9,0,1,,,,,,,40,1,0,0,26.819,0,1,9,1,Jag _r godtrogen och t_nker/hoppas att andra t_nker som jag g_r f_r att i l_ngden f‘ ut s‘ mycket som m_jligt av det tillsammans. Vi kan tj_na mer tillsammans.,1,3,5,5,6,3,6,6,8,2,5,9,6,6,7,5,3,9,5,9,9,5,8,6,8,9,8,9,6,5,9,3,9,1,1,1,0,0,8,8,1,3,1,2,2,"Jag tror att denna studie f_rs_kte unders_ka hur vi ser p‘ andra m_nniskor, dock har jag sv‘rt att s_ga hur studien f_rs_kte ""visa"" det. Jag fick sj_lv en tankest_llare kring hur jag ser p‘ m_nniskor i min omgivning och det var nog det som var syftet med studien.",Nej,2,4,4,6,72,1,"Vimmerby, Sverige",0,58.41670227,15.61669922,-1,,2
R_1o0VE4Us4UKhC2W,Default Response Set,Anonymous,,,130.236.248.214,0,11/3/15 12:21,11/3/15 12:35,1,1,1,0,0,44.132,0,1,40,1,0,0,7.668,0,,,,,,,1,9,9,Om alla gav 40 kr kommer jag att f‘ chans  att f‘ 120 kr kr / och som minst f‘ 20 kr /  / om jag sparar mina 40 kr kommer jag f‘ chans att f‘ 60 kr / och som minst f‘ 40 kr /  / Detta g_r att jag hellre satsar p‘ att l_gga in mina 40 kr och hoppas p‘ att alla andra ocks‘ g_r det,1,5,3,7,7,8,6,6,6,5,3,5,3,1,7,3,4,8,9,5,8,6,8,7,9,3,7,9,6,6,6,3,5,1,2,1,0,0,8,8,1,3,3,2,2,"Om vi kan lita p‘ att andra g_r ett val som gynnar alla b_st /  / Genom att vi fick ge andra chansen att styra _ver pengarna /  / om man utg‘r fr‘n att alla andra kommer att beh‘lla sina pengar _r det smartast att ocks‘ beh‘lla dem, men om man utg‘r fr‘n att alla andra kommer att l_mna in dem _r det smartast att l_mna in dem",nej,5,3,5,3,75,2,"Sk_nninge, Sverige",2,58.41670227,15.61669922,-1,,11
R_1oFH1YMaffdxCK8,Default Response Set,Anonymous,,,130.236.248.217,0,11/3/15 09:20,11/3/15 09:30,1,1,1,0,0,53.604,0,1,7,1,5.159,5.159,19.828,1,,,,,,,1,3,2,"Jag ans‘g att det var f_r girigt att inte ge n‘got alls, men att jag inte b_r ge f_r mycket med tanke p‘ att jag inte vet om de andra i gruppen _r villiga att dela med sig f_r gruppens b_sta. ",1,8,6,4,9,9,6,7,6,8,9,8,9,8,8,9,1,8,5,9,7,1,7,6,6,3,8,9,6,5,7,7,9,1,0,0,0,0,5,7,3,2,3,1,2,"Hur man interagerar med m_nniskor som man inte k_nner och hur man sj_lv tror att andra skulle agera p‘ fr‘gan g_llande pengarna, vilket d_rigenom visar hur mycket man ""litar"" p‘ m_nniskor som man inte k_nner/tror om dem. ",nej,3,3,4,9,75,2,"Link_ping, Sverige",0,58.41670227,15.61669922,-1,,3
