"Study","Sample","EffectSize","LB","UB","OriginalES","Overalld","name","University","Sample.Size","Online.Lab"
"Presumption of Guilt","Ann Laure",0.3878,0.09,0.26,0.03,0.17,"annelauresellier","HEC Paris",113,"Online"
"Presumption of Guilt","EliAwtrey",0.2205,0.09,0.26,0.03,0.17,"eliawtrey","University of Washington (Foster)",115,"Lab"
"Presumption of Guilt","JenJordan",0.3432,0.09,0.26,0.03,0.17,"jenjordan","University of Groningen",240,"Lab"
"Presumption of Guilt","SapnaCheryan",0.2276,0.09,0.26,0.03,0.17,"sapnacheryan","University of Washington",289,"Lab"
"Presumption of Guilt","SunnySun",0.39,0.09,0.26,0.03,0.17,"sunnysun","Beijing Normal University",111,"Lab"
"Presumption of Guilt","Yoel Inbar",0.0622,0.09,0.26,0.03,0.17,"yoelinbar","University of Toronto",384,"Lab"
"Presumption of Guilt","Wendy Bedwell",0.5157,0.09,0.26,0.03,0.17,"wendybedwell","University of South Florida",237,"Online"
"Moral Cliff","AaronSackett",0.739305509,0.637,0.752,0.71,0.695,"aaronsackett","University of St. Thomas",131,"Lab"
"Moral Cliff","AlexandraMislin",0.645970553,0.637,0.752,0.71,0.695,"alexandramislin","American University",108,"Lab"
"Moral Cliff","UCIBusiness",0.779627827,0.637,0.752,0.71,0.695,"ucibusiness","University of California Irvine",244,"Lab"
"Moral Cliff","Mturk",0.79652751,0.637,0.752,0.71,0.695,"mturk","Mechanical Turk sample",1033,"Online"
"Moral Cliff","Adam Hahn",0.486767124,0.637,0.752,0.71,0.695,"adamhahn","University of Cologne",266,"Online"
"Moral Cliff","Nicole Legate",0.669080106,0.637,0.752,0.71,0.695,"nicolelegate","Illinois Institute of Technology",123,"Online"
"Moral Cliff","French",0.705727824,0.637,0.752,0.71,0.695,"french","INSEAD, France",236,"Online"
"Moral Cliff","ToriBrescoll",0.755393784,0.637,0.752,0.71,0.695,"toribrescoll","Yale",158,"Online"
"Moral Cliff","Fiery Cushman",0.750264845,0.637,0.752,0.71,0.695,"fierycushman","Harvard University",51,"Online"
"Moral Cliff","EliAwtrey",0.784734827,0.637,0.752,0.71,0.695,"eliawtrey","University of Washington (Foster)",115,"Lab"
"Moral Cliff","JenJordan",0.850757566,0.637,0.752,0.71,0.695,"jenjordan","University of Groningen",240,"Lab"
"Moral Cliff","SapnaCheryan",0.706288518,0.637,0.752,0.71,0.695,"sapnacheryan","University of Washington",289,"Lab"
"Moral Cliff","SunnySun",0.574495584,0.637,0.752,0.71,0.695,"sunnysun","Beijing Normal University",111,"Lab"
"Moral Cliff","Yoel Inbar",0.568597499,0.637,0.752,0.71,0.695,"yoelinbar","University of Toronto",384,"Lab"
"Moral Cliff","Wendy Bedwell",0.702618853,0.637,0.752,0.71,0.695,"wendybedwell","University of South Florida",237,"Online"
"Bad Tipper","AaronSackett",0.707,0.34,0.79,0.65,0.568,"aaronsackett","University of St. Thomas",131,"Lab"
"Bad Tipper","AlexandraMislin",0.936,0.34,0.79,0.65,0.568,"alexandramislin","American University",108,"Lab"
"Bad Tipper","UCI Business",0.602,0.34,0.79,0.65,0.568,"ucibusiness","University of California Irvine",244,"Lab"
"Bad Tipper","Mturk",1.015,0.34,0.79,0.65,0.568,"mturk","Mechanical Turk sample",1033,"Online"
"Bad Tipper","Adam Hahn",1.186,0.34,0.79,0.65,0.568,"adamhahn","University of Cologne",266,"Online"
"Bad Tipper","Nicole Legate",0.537,0.34,0.79,0.65,0.568,"nicolelegate","Illinois Institute of Technology",123,"Online"
"Bad Tipper","French",0.933,0.34,0.79,0.65,0.568,"french","INSEAD, France",236,"Online"
"Bad Tipper","Tori Brescoll",0.662,0.34,0.79,0.65,0.568,"toribrescoll","Yale",158,"Online"
"Bad Tipper","Fiery Cushman",0.538,0.34,0.79,0.65,0.568,"fierycushman","Harvard University",51,"Online"
"Bad Tipper","AnnLaure",0.014,0.34,0.79,0.65,0.568,"annelauresellier","HEC Paris",113,"Online"
"Bad Tipper","EliAwtrey",0.859,0.34,0.79,0.65,0.568,"eliawtrey","University of Washington (Foster)",115,"Lab"
"Bad Tipper","JenJordan",-0.466,0.34,0.79,0.65,0.568,"jenjordan","University of Groningen",240,"Lab"
"Bad Tipper","SapnaCheryan",0.639,0.34,0.79,0.65,0.568,"sapnacheryan","University of Washington",289,"Lab"
"Bad Tipper","SunnySun",-0.123,0.34,0.79,0.65,0.568,"sunnysun","Beijing Normal University",111,"Lab"
"Bad Tipper","Yoel Inbar",0.22,0.34,0.79,0.65,0.568,"yoelinbar","University of Toronto",384,"Lab"
"Bad Tipper","Wendy Bedwell",0.711,0.34,0.79,0.65,0.568,"wendybedwell","University of South Florida",237,"Online"
"Higher Standards - Company","Aaron Sackett",1.295435859,0.590745732,1.124360829,0.35,0.857553281,"aaronsackett","University of St. Thomas",131,"Lab"
"Higher Standards - Company","Alexandra Mislin",0.660701115,0.590745732,1.124360829,0.35,0.857553281,"alexandramislin","American University",108,"Lab"
"Higher Standards - Company","Mturk",1.342115479,0.590745732,1.124360829,0.35,0.857553281,"mturk","Mechanical Turk sample",1026,"Online"
"Higher Standards - Company","Adam Hahn",0.634270009,0.590745732,1.124360829,0.35,0.857553281,"adamhahn","University of Cologne",254,"Online"
"Higher Standards - Company","French translation",0.729738061,0.590745732,1.124360829,0.35,0.857553281,"french","INSEAD, France",243,"Online"
"Higher Standards - Company","Tori Brescoll",0.012350332,0.590745732,1.124360829,0.35,0.857553281,"toribrescoll","Yale",161,"Online"
"Higher Standards - Company","Fiery Cushman",1.178878116,0.590745732,1.124360829,0.35,0.857553281,"fierycushman","Harvard University",39,"Online"
"Higher Standards - Company","Jesse Graham",0.72455242,0.590745732,1.124360829,0.35,0.857553281,"jessegraham","University of Southern California",302,"Online"
"Higher Standards - Company","Deanna Kennedy",1.479885643,0.590745732,1.124360829,0.35,0.857553281,"deannakennedy","University of Washington Bothell",179,"Online"
"Higher Standards - Company","Matt Motyl",1.085457844,0.590745732,1.124360829,0.35,0.857553281,"mattmotyl","University of Illinois at Chicago",605,"Online"
"Higher Standards - Company","Erik Cheries",1.094927641,0.590745732,1.124360829,0.35,0.857553281,"erikcheries","University of Massachusetts Amherst",104,"Lab"
"Higher Standards - Charity","Aaron Sackett",1.010173769,0.723269675,1.143198684,0.93,0.933234179,"aaronsackett","University of St. Thomas",131,"Lab"
"Higher Standards - Charity","Alexandra Mislin",1.077293035,0.723269675,1.143198684,0.93,0.933234179,"alexandramislin","American University",108,"Lab"
"Higher Standards - Charity","Mturk",0.750546087,0.723269675,1.143198684,0.93,0.933234179,"mturk","Mechanical Turk sample",1026,"Online"
"Higher Standards - Charity","Adam Hahn",1.099834684,0.723269675,1.143198684,0.93,0.933234179,"adamhahn","University of Cologne",254,"Online"
"Higher Standards - Charity","French translation",0.765060589,0.723269675,1.143198684,0.93,0.933234179,"french","INSEAD, France",243,"Online"
"Higher Standards - Charity","Tori Brescoll",1.203242181,0.723269675,1.143198684,0.93,0.933234179,"toribrescoll","Yale",161,"Online"
"Higher Standards - Charity","Fiery Cushman",-0.26636511,0.723269675,1.143198684,0.93,0.933234179,"fierycushman","Harvard University",39,"Online"
"Higher Standards - Charity","Jesse Graham",1.231832388,0.723269675,1.143198684,0.93,0.933234179,"jessegraham","University of Southern California",302,"Online"
"Higher Standards - Charity","Deanna Kennedy",-0.054942581,0.723269675,1.143198684,0.93,0.933234179,"deannakennedy","University of Washington Bothell",179,"Online"
"Higher Standards - Charity","Matt Motyl",1.030932476,0.723269675,1.143198684,0.93,0.933234179,"mattmotyl","University of Illinois at Chicago",605,"Online"
"Higher Standards - Charity","Erik Cheries",1.857520012,0.723269675,1.143198684,0.93,0.933234179,"erikcheries","University of Massachusetts Amherst",104,"Lab"
"Cold-Hearted Prosociality","Aaron Sackett",2.0334,1.86,2.24,2.24,2.05,"aaronsackett","University of St. Thomas",131,"Lab"
"Cold-Hearted Prosociality","Alexandra Mislin",2.1171,1.86,2.24,2.24,2.05,"alexandramislin","American University",108,"Lab"
"Cold-Hearted Prosociality","Mturk",1.8035,1.86,2.24,2.24,2.05,"mturk","Mechanical Turk sample",1026,"Online"
"Cold-Hearted Prosociality","Adam Hahn",2.3352,1.86,2.24,2.24,2.05,"adamhahn","University of Cologne",254,"Online"
"Cold-Hearted Prosociality","French translation",1.6303,1.86,2.24,2.24,2.05,"french","INSEAD, France",243,"Online"
"Cold-Hearted Prosociality","Tori Brescoll",1.9022,1.86,2.24,2.24,2.05,"toribrescoll","Yale",161,"Online"
"Cold-Hearted Prosociality","Fiery Cushman",1.8075,1.86,2.24,2.24,2.05,"fierycushman","Harvard University",39,"Online"
"Cold-Hearted Prosociality","Jesse Graham",2.7368,1.86,2.24,2.24,2.05,"jessegraham","University of Southern California",302,"Online"
"Cold-Hearted Prosociality","Ann Laure",1.5999,1.86,2.24,2.24,2.05,"annelauresellier","HEC Paris",113,"Online"
"Cold-Hearted Prosociality","Deanna Kennedy",1.9356,1.86,2.24,2.24,2.05,"deannakennedy","University of Washington Bothell",179,"Online"
"Cold-Hearted Prosociality","Matt Motyl",2.3342,1.86,2.24,2.24,2.05,"mattmotyl","University of Illinois at Chicago",605,"Online"
"Cold-Hearted Prosociality","Erik Cheries",2.0563,1.86,2.24,2.24,2.05,"erikcheries","University of Massachusetts Amherst",104,"Lab"
"Belief-Act Inconsistency","Aaron Sackett",0.713182853,0.22,0.6,0.38,0.41,"aaronsackett","University of St. Thomas",131,"Lab"
"Belief-Act Inconsistency","Alexandra Mislin",0.695877372,0.22,0.6,0.38,0.41,"alexandramislin","American University",108,"Lab"
"Belief-Act Inconsistency","MTurk",0.34741505,0.22,0.6,0.38,0.41,"mturk","Mechanical Turk sample",1026,"Online"
"Belief-Act Inconsistency","Adam Hahn",0.094700032,0.22,0.6,0.38,0.41,"adamhahn","University of Cologne",254,"Online"
"Belief-Act Inconsistency","French translation",0.30584888,0.22,0.6,0.38,0.41,"french","INSEAD, France",243,"Online"
"Belief-Act Inconsistency","Tori Brescolli",-0.213322451,0.22,0.6,0.38,0.41,"toribrescoll","Yale",161,"Online"
"Belief-Act Inconsistency","Fiery Cushman",0.44026102,0.22,0.6,0.38,0.41,"fierycushman","Harvard University",39,"Online"
"Belief-Act Inconsistency","Dan Molden",1.640411327,0.22,0.6,0.38,0.41,"danmolden","Northwestern University",188,"Lab"
"Belief-Act Inconsistency","Jesse Graham",0.338081853,0.22,0.6,0.38,0.41,"jessegraham","University of Southern California",302,"Online"
"Belief-Act Inconsistency","Ann Laure",0.241854653,0.22,0.6,0.38,0.41,"annelauresellier","HEC Paris",113,"Online"
"Belief-Act Inconsistency","Deanna Kennedy",0.336187112,0.22,0.6,0.38,0.41,"deannakennedy","University of Washington Bothell",179,"Online"
"Belief-Act Inconsistency","Matt Motyl",0.273125474,0.22,0.6,0.38,0.41,"mattmotyl","University of Illinois at Chicago",605,"Online"
"Belief-Act Inconsistency","Erik Cheries",0.361465809,0.22,0.6,0.38,0.41,"erikcheries","University of Massachusetts Amherst",104,"Lab"
"Bigot-Misanthrope","Aaron Sackett",1.523,1.11,1.42,0.905,1.27,"aaronsackett","University of St. Thomas",131,"Lab"
"Bigot-Misanthrope","Alexandra Mislin",1.352,1.11,1.42,0.905,1.27,"alexandramislin","American University",108,"Lab"
"Bigot-Misanthrope","MTurk",0.98,1.11,1.42,0.905,1.27,"mturk","Mechanical Turk sample",1026,"Online"
"Bigot-Misanthrope","Adam Hahn",1.576,1.11,1.42,0.905,1.27,"adamhahn","University of Cologne",254,"Online"
"Bigot-Misanthrope","Tori Brescolli",0.825,1.11,1.42,0.905,1.27,"toribrescoll","Yale",161,"Online"
"Bigot-Misanthrope","Fiery Cushman",1.012,1.11,1.42,0.905,1.27,"fierycushman","Harvard University",39,"Online"
"Bigot-Misanthrope","Jesse Graham",1.326,1.11,1.42,0.905,1.27,"jessegraham","University of Southern California",302,"Online"
"Bigot-Misanthrope","Ann Laure",1.781,1.11,1.42,0.905,1.27,"annelauresellier","HEC Paris",113,"Online"
"Bigot-Misanthrope","Deanna Kennedy",0.968,1.11,1.42,0.905,1.27,"deannakennedy","University of Washington Bothell",179,"Online"
"Bigot-Misanthrope","Matt Motyl",1.266,1.11,1.42,0.905,1.27,"mattmotyl","University of Illinois at Chicago",605,"Online"
"Bigot-Misanthrope","Erik Cheries",1.263,1.11,1.42,0.905,1.27,"erikcheries","University of Massachusetts Amherst",104,"Lab"
"Bigot-Misanthrope","Additional French data",1.745,1.11,1.42,0.905,1.27,"french","INSEAD, France",256,"Lab"
