Studies ,University,Sample Size,Online/Lab,
Belief Act Inconsistency,University of Illinois at Chicago,605,Online,
Belief Act Inconsistency,University of Massachusetts Amherst,104,Lab,
Belief Act Inconsistency,"INSEAD, France*",256,Lab,
Bigot-Misanthrope,University of St. Thomas,131,Lab,
Bigot-Misanthrope,American University in Washington DC,108,Lab,
Bigot-Misanthrope,Mechanical Turk sample,1026,Online,
Bigot-Misanthrope,"University of Cologne, Germany",254,Online,
Bigot-Misanthrope,"INSEAD, France",243,Online,
Bigot-Misanthrope,Harvard University,39,Online,
Bigot-Misanthrope,University of Southern California,302,Online,
Bigot-Misanthrope,University of Washington Bothell,179,Online,
Bigot-Misanthrope,University of Illinois at Chicago,605,Online,
Bigot-Misanthrope,University of Massachusetts Amherst,104,Lab,
Bigot-Misanthrope,"INSEAD, France*",256,Lab,
Higher Standard,University of St. Thomas,131,Lab,
Higher Standard,American University in Washington DC,108,Lab,
Higher Standard,Mechanical Turk sample,1026,Online,
Higher Standard,"University of Cologne, Germany",254,Online,
Higher Standard,"INSEAD, France",243,Online,
Higher Standard,Harvard University,39,Online,
Higher Standard,University of Southern California,302,Online,
Higher Standard,University of Washington Bothell,179,Online,
Higher Standard,University of Illinois at Chicago,605,Online,
Higher Standard,University of Massachusetts Amherst,104,Lab,
Higher Standard,"INSEAD, France*",256,Lab,
Bad Tipper,HEC Paris,113,Online,
Burn in Hell,HEC Paris,113,Online,
Belief Act Inconsistency,HEC Paris,113,Online,
Bigot-Misanthrope,HEC Paris,113,Online,
Cold-Hearted Prosociality,HEC Paris,113,Online,
Presumption of Guilt,HEC Paris,113,Online,
Intuitive Economics,Yale,154,Online,
Moral Inversion,Yale,154,Online,
Moral Cliff,Yale,158,Online,
Bad Tipper,Yale,158,Online,
Presumption of Guilt,Yale,158,Online,
Belief Act Inconsistency,Yale,161,Online,
Bigot-Misanthrope,Yale,161,Online,
Cold-Hearted Prosociality,Yale,161,Online,
Higher Standard,Yale,161,Online,
Intuitive Economics,93,Lab,Undergrads and Grad Students (multiple majors),
Presumption of Guilt,188,Lab,Undergrads and Grad Students (multiple majors),
Belief Act Inconsistency,188,Lab,Undergrads and Grad Students (multiple majors),
Burn in Hell,188,Lab,Undergrads and Grad Students (multiple majors),
