"","num","experiment","replicate","n","r","z","site","es"
"19",11,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0,"22",0.672084167,0.814534581372408,"Abeler_orig","r"
"20",11,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0,"22",0.466443576,0.505515292648616,"Ambrus_orig","r"
"21",12,"When does between-sequence phonological similarity promote irrelevant sound disruption?",0,"48",0.178477629,0.180409785295794,"Bartling_orig","r"
"22",12,"When does between-sequence phonological similarity promote irrelevant sound disruption?",0,"48",0.08323764,0.0834306805876074,"Charness_orig","r"
"23",13,"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",0,"36",0.52450217,0.582530435743512,"Chen_orig","r"
"24",13,"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",0,"36",0.524539034,0.582581291188142,"deClippel_orig","r"
"25",15,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0,"95",0.195136354,0.197671341200697,"Duffy_orig","r"
"26",15,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0,"95",0.24687812,0.252085564199444,"Dulleck_orig","r"
"27",17,"The ultimate sampling dilemma in experience-based decision making.",0,"39",0.304772411,0.314772324350052,"Ericson_orig","r"
"28",17,"The ultimate sampling dilemma in experience-based decision making.",0,"39",0.434510306,0.465443374485164,"Fehr_orig","r"
"29",19,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",0,"32",0.560499145,0.63356067564677,"Friedman_orig","r"
"30",19,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",0,"32",0.401939168,0.425959601340054,"Fudenberg_orig","r"
"31",20,"Intentional forgetting is easier after two ""shots"" than one.",0,"96",0.224092029,0.227960364129573,"Huck_orig","r"
"32",20,"Intentional forgetting is easier after two ""shots"" than one.",0,"96",0.019422053,0.0194244956568418,"Ifcher_orig","r"
"33",22,"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",0,"18",0.219359299,0.222982920488814,"Kessler_orig","r"
"34",22,"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",0,"18",0.064661345,0.0647516900439762,"Kirchler_orig","r"
"35",24,"Priming addition facts with semantic relations.",0,"154",0.363732358,0.381180652550176,"Kogan_orig","r"
"36",24,"Priming addition facts with semantic relations.",0,"154",0.284274426,0.29232618593634,"Kuziemko_orig","r"
"37",25,"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",0,"24",0.348120689,0.363303690199693,"Abeler_orig","r"
"38",25,"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",0,"24",0.2733272,0.280456144360303,"Ambrus_orig","r"
"39",26,"Contextual effects on reading aloud: Evidence for pathway control.",0,"16",0.160955695,0.162367653957866,"Bartling_orig","r"
"40",26,"Contextual effects on reading aloud: Evidence for pathway control.",0,"16",0.14406846,0.145077808249329,"Charness_orig","r"
"41",27,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",0,"32",0.378068955,0.397804631884721,"Chen_orig","r"
"42",27,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",0,"32",0.379573968,0.399561810599662,"deClippel_orig","r"
"43",28,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",0,"32",0.341773488,0.356099200575972,"Duffy_orig","r"
"44",28,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",0,"32",0.103261105,0.103630490542844,"Dulleck_orig","r"
"45",29,"Multidimensional visual statistical learning.",0,"8",0.73782079,0.945679455083732,"Ericson_orig","r"
"46",29,"Multidimensional visual statistical learning.",0,"8",0.703904904,0.874998612661069,"Fehr_orig","r"
"47",32,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.",0,"37",0.623367433,0.730493922145522,"Friedman_orig","r"
"48",32,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.",0,"37",0.480717115,0.523916497045395,"Fudenberg_orig","r"
"49",33,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",0,"40",0.516812354,0.571980598502644,"Huck_orig","r"
"50",33,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",0,"40",0.315999964,0.327197057137755,"Ifcher_orig","r"
"51",36,"An attention-based associative account of adjacent and nonadjacent dependency learning.",0,"24",0.713921386,0.895136292560066,"Kessler_orig","r"
"52",36,"An attention-based associative account of adjacent and nonadjacent dependency learning.",0,"24",0.681560537,0.832022572221689,"Kirchler_orig","r"
"53",37,"Orienting attention in visual working memory reduces interference from memory probes.",0,"12",0.551178255,0.620072140594967,"Kogan_orig","r"
"54",37,"Orienting attention in visual working memory reduces interference from memory probes.",0,"12",0.349791589,0.365206268595273,"Kuziemko_orig","r"
"55",39,"Decision making and learning while taking sequential risks.",0,"68",0.366615713,0.384507676875194,"Abeler_orig","r"
"56",39,"Decision making and learning while taking sequential risks.",0,"68",0.101709161,0.102062072805603,"Ambrus_orig","r"
"57",43,"The rejection of moral rebels: Resenting those who do the right thing.",0,"67",0.347251138,0.362314568656241,"Bartling_orig","r"
"58",43,"The rejection of moral rebels: Resenting those who do the right thing.",0,"67",0.161063754,0.16247858884867,"Charness_orig","r"
"59",44,"Why do implicit and explicit attitude tests diverge? The role of structural fit.",0,"70",0.352175067,0.367924620459263,"Chen_orig","r"
"60",44,"Why do implicit and explicit attitude tests diverge? The role of structural fit.",0,"70",0.150236955,0.151382853963031,"deClippel_orig","r"
"61",46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",0,"230047",0.022542373,0.022546192531379,"Duffy_orig","r"
"62",46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",0,"230047",0.023841537,0.0238460558679042,"Dulleck_orig","r"
"63",48,"Terror management and adults' attachment to their parents: The safe haven remains.",0,"100",0.225490086,0.229432826442352,"Ericson_orig","r"
"64",48,"Terror management and adults' attachment to their parents: The safe haven remains.",0,"100",-0.052290282,-0.0523380189858188,"Fehr_orig","r"
"65",49,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,"36",0.378345294,0.398127096417791,"Friedman_orig","r"
"66",49,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,"36",-0.030485538,-0.0304949873644914,"Fudenberg_orig","r"
"67",50,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,"98",0.208058463,0.211141100838117,"Huck_orig","r"
"68",50,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,"98",0.155043132,0.156303691857083,"Ifcher_orig","r"
"69",52,"Affective incoherence: When affective concepts and embodied reactions clash.",0,"133",0.20573686,0.208715672093056,"Kessler_orig","r"
"70",52,"Affective incoherence: When affective concepts and embodied reactions clash.",0,"133",0.094021673,0.0943002047242516,"Kirchler_orig","r"
"71",53,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0,"48",0.377126878,0.396705896912039,"Kogan_orig","r"
"72",53,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0,"48",0.076700677,0.0768516200278652,"Kuziemko_orig","r"
"73",55,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",0,"57",0.229852265,0.234033485657996,"Abeler_orig","r"
"74",55,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",0,"57",0.066130007,0.0662266601626609,"Ambrus_orig","r"
"75",56,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",0,"103",0.379139495,0.399054301120861,"Bartling_orig","r"
"76",56,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",0,"103",-0.042140104,-0.0421650745796795,"Charness_orig","r"
"77",58,"Walking on eggshells: How expressing relationship insecurities perpetuates them.",0,"186",0.167288593,0.168875882264062,"Chen_orig","r"
"78",58,"Walking on eggshells: How expressing relationship insecurities perpetuates them.",0,"186",0.03675175,0.0367683101769055,"deClippel_orig","r"
"79",61,"Poignancy: Mixed emotional experience in the face of meaningful endings.",0,"110",0.219666896,0.223306089724669,"Duffy_orig","r"
"80",61,"Poignancy: Mixed emotional experience in the face of meaningful endings.",0,"110",-0.004719346,-0.00471938103724945,"Dulleck_orig","r"
"81",63,"1/f noise and effort on implicit measures of bias.",0,"71",0.274010238,0.281194479704791,"Ericson_orig","r"
"82",63,"1/f noise and effort on implicit measures of bias.",0,"71",0.073797292,0.0739316991417272,"Fehr_orig","r"
"83",64,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.",0,"82",0.425496777,0.454384970010148,"Friedman_orig","r"
"84",64,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.",0,"82",0.11385379,0.114349602276968,"Fudenberg_orig","r"
"85",65,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",0,"45",0.431865646,0.462187795505302,"Huck_orig","r"
"86",65,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",0,"45",0.011721165,0.0117217018177724,"Ifcher_orig","r"
"87",68,"Why people are reluctant to tempt fate.",0,"122",0.185849827,0.188035056711107,"Kessler_orig","r"
"88",68,"Why people are reluctant to tempt fate.",0,"122",0.003001488,0.00300149701344736,"Kirchler_orig","r"
"89",71,"On the relative independence of thinking biases and cognitive ability.",0,"375",0.222131584,0.225897217190119,"Kogan_orig","r"
"90",71,"On the relative independence of thinking biases and cognitive ability.",0,"375",0.073353737,0.0734857299440754,"Kuziemko_orig","r"
"91",72,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",0,"261",0.207643072,0.210706953837397,"Abeler_orig","r"
"92",72,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",0,"261",0.04449582,0.044525220365058,"Ambrus_orig","r"
"93",73,"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",0,"37",0.322574106,0.334517515861865,"Bartling_orig","r"
"94",73,"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",0,"37",0.2,0.202732554054082,"Charness_orig","r"
"95",80,"The effects of an implemental mind-set on attitude strength.",0,"46",0.259958534,0.266063935058371,"Chen_orig","r"
"96",80,"The effects of an implemental mind-set on attitude strength.",0,"46",0.15539539,0.156664646344502,"deClippel_orig","r"
"97",81,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",0,"94",0.268278965,0.275008386572745,"Duffy_orig","r"
"98",81,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",0,"94",-0.101637251,-0.101989411675437,"Dulleck_orig","r"
"99",82,"The face of success: inferences from chief executive officers' appearance predict company profits.",0,"50",0.3,0.309519604203112,"Ericson_orig","r"
"100",82,"The face of success: inferences from chief executive officers' appearance predict company profits.",0,"50",0.27,0.2768638226551,"Fehr_orig","r"
"101",84,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",0,"52",0.503449638,0.553916296490002,"Friedman_orig","r"
"102",84,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",0,"52",0.217562252,0.221095810338853,"Fudenberg_orig","r"
"103",86,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",0,"85",0.212014281,0.215279491482967,"Huck_orig","r"
"104",86,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",0,"85",0.118808574,0.119372369949725,"Ifcher_orig","r"
"105",87,"The space between us: Stereotype threat and distance in interracial contexts.",0,"55",0.395559206,0.418373377644792,"Kessler_orig","r"
"106",87,"The space between us: Stereotype threat and distance in interracial contexts.",0,"55",0.013045451,0.013046191117014,"Kirchler_orig","r"
"107",89,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",0,"163",0.139816632,0.140738547101889,"Kogan_orig","r"
"108",89,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",0,"163",0.0294047,0.0294131791904262,"Kuziemko_orig","r"
"109",93,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",0,"91",0.317462994,0.328823222570441,"Abeler_orig","r"
"110",93,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",0,"91",-0.1351,-0.135931069224414,"Ambrus_orig","r"
"111",94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",0,"28",0.344312999,0.358977418835944,"Bartling_orig","r"
"112",94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",0,"28",0.28970838,0.298247895841039,"Charness_orig","r"
"113",97,"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",0,"90",0.378274916,0.398044963704019,"Chen_orig","r"
"114",97,"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",0,"90",-0.036935346,-0.0369521557380355,"deClippel_orig","r"
"115",104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",0,"236",0.127392361,0.128088292454287,"Duffy_orig","r"
"116",104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",0,"236",0.018376516,0.0183785849799619,"Dulleck_orig","r"
"117",106,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.",0,"36",0.381744212,0.402099816773692,"Ericson_orig","r"
"118",106,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.",0,"36",-0.222920955,-0.226727712667986,"Fehr_orig","r"
"119",107,"Nonconscious goal pursuit in novel environments: The case of implicit learning.",0,"86",0.222330235,0.226106188572231,"Friedman_orig","r"
"120",107,"Nonconscious goal pursuit in novel environments: The case of implicit learning.",0,"86",0.104941786,0.105329585238058,"Fudenberg_orig","r"
"121",110,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",0,"280",0.554427187,0.624750856813491,"Huck_orig","r"
"122",110,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",0,"280",0.091162691,0.0914164977721764,"Ifcher_orig","r"
"123",111,"Precision of the anchor influences the amount of adjustment.",0,"59",0.333441051,0.34669477755082,"Kessler_orig","r"
"124",111,"Precision of the anchor influences the amount of adjustment.",0,"59",0.225764222,0.229721666607801,"Kirchler_orig","r"
"125",112,"Action dynamics reveal parallel competition in decision making",0,"141",0.701088742,0.869438514085779,"Kogan_orig","r"
"126",112,"Action dynamics reveal parallel competition in decision making",0,"141",0.750404422,0.973880109255998,"Kuziemko_orig","r"
"127",113,"Prescribed optimism: Is it right to be wrong about the future?",0,"125",0.681152182,0.831260365276445,"Abeler_orig","r"
"128",113,"Prescribed optimism: Is it right to be wrong about the future?",0,"125",0.763508789,1.00457484452595,"Ambrus_orig","r"
"129",114,"Age-related changes in the episodic simulation of future events",0,"32",0.570693584,0.648550826829565,"Bartling_orig","r"
"130",114,"Age-related changes in the episodic simulation of future events",0,"32",0.652730428,0.780041330582545,"Charness_orig","r"
"131",115,"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",0,"32",0.501799075,0.551707796113811,"Chen_orig","r"
"132",115,"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",0,"32",-0.450187899,-0.484935913612849,"deClippel_orig","r"
"133",116,"Measuring the crowd within: Probabilistic representations within individuals.",0,"173",0.28771881,0.296077402194826,"Duffy_orig","r"
"134",116,"Measuring the crowd within: Probabilistic representations within individuals.",0,"173",0.322727228,0.334688430685667,"Dulleck_orig","r"
"135",117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.",0,"12",0.130782132,0.131535509743525,"Ericson_orig","r"
"136",117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.",0,"12",0.120519146,0.121107792678052,"Fehr_orig","r"
"137",118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0,"115",0.21368683,0.217031412373752,"Friedman_orig","r"
"138",118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0,"115",-0.048918238,-0.0489573144713753,"Fudenberg_orig","r"
"139",120,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",0,"31",0.38,0.400059650056057,"Huck_orig","r"
"140",120,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",0,"31",0.25,0.255412811882995,"Ifcher_orig","r"
"141",121,"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",0,"12",0.851679354,1.2622359039858,"Kessler_orig","r"
"142",121,"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",0,"12",0.828997685,1.18492314412419,"Kirchler_orig","r"
"143",122,"The representation of simple ensemble visual features outside the focus of attention",0,"8",0.721890032,0.911580609250947,"Kogan_orig","r"
"144",122,"The representation of simple ensemble visual features outside the focus of attention",0,"8",0.922934494,1.60847594653146,"Kuziemko_orig","r"
"145",124,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",0,"36",0.384260399,0.405048559767843,"Abeler_orig","r"
"146",124,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",0,"36",-0.034279559,-0.0342929956428472,"Ambrus_orig","r"
"147",127,"A motion aftereffect from still photographs depicting motion",0,"29",0.685347348,0.83912881221931,"Bartling_orig","r"
"148",127,"A motion aftereffect from still photographs depicting motion",0,"29",0.527307869,0.58640880552693,"Charness_orig","r"
"149",129,"The threat of appearing prejudiced and race-based attentional biases.",0,"28",0.371775163,0.390481398198824,"Chen_orig","r"
"150",129,"The threat of appearing prejudiced and race-based attentional biases.",0,"28",0.017674908,0.0176767489061405,"deClippel_orig","r"
"151",132,"Where do we look during potentially offensive behavior?",0,"25",0.246947019,0.252158936395347,"Duffy_orig","r"
"152",132,"Where do we look during potentially offensive behavior?",0,"25",0.179397898,0.181360494878753,"Dulleck_orig","r"
"153",133,"Adaptive memory: The comparative value of survival processing.",0,"24",0.445652636,0.479262324352725,"Ericson_orig","r"
"154",133,"Adaptive memory: The comparative value of survival processing.",0,"24",0.423363806,0.451783336020072,"Fehr_orig","r"
"155",134,"Is happiness having what you want, wanting what you have, or both?",0,"119",0.20996855,0.213138445861106,"Friedman_orig","r"
"156",134,"Is happiness having what you want, wanting what you have, or both?",0,"119",0.500179963,0.549546123796944,"Fudenberg_orig","r"
"157",135,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",0,"564",0.00464002,0.00464005329997545,"Huck_orig","r"
"158",135,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",0,"564",0.105891025,0.10628949138422,"Ifcher_orig","r"
"159",136,"The value of believing in free will: Encouraging a belief in determinism increases cheating.",0,"30",0.498149178,0.546841417850272,"Kessler_orig","r"
"160",136,"The value of believing in free will: Encouraging a belief in determinism increases cheating.",0,"30",0.102355162,0.102714869812966,"Kirchler_orig","r"
"161",139,"Auditory change detection: simple sounds are not memorized better than complex sounds",0,"4",0.496363588,0.544469283070039,"Kogan_orig","r"
"162",139,"Auditory change detection: simple sounds are not memorized better than complex sounds",0,"4",0.505151268,0.556198279242192,"Kuziemko_orig","r"
"163",140,"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",0,"84",0.233776428,0.238180507391454,"Abeler_orig","r"
"164",140,"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",0,"84",0.044266281,0.0442952283539177,"Ambrus_orig","r"
"165",142,"Hedonic and instrumental motives in anger regulation.",0,"82",0.593405778,0.68290665629042,"Bartling_orig","r"
"166",142,"Hedonic and instrumental motives in anger regulation.",0,"82",0.609913782,0.708784059252991,"Charness_orig","r"
"167",143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",0,"57",0.172960188,0.174716536811263,"Chen_orig","r"
"168",143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",0,"57",0.061707156,0.0617856577111544,"deClippel_orig","r"
"169",145,"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",0,"240",0.768651993,1.01702492443777,"Duffy_orig","r"
"170",145,"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",0,"240",0.652982567,0.780480766803962,"Dulleck_orig","r"
"171",146,"A word-order constraint on phonological activation",0,"15",0.649955571,0.775221776719086,"Ericson_orig","r"
"172",146,"A word-order constraint on phonological activation",0,"15",0.497082522,0.545423705409234,"Fehr_orig","r"
"173",148,"The Best Men Are Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,"208",0.188662549,0.190949992796085,"Friedman_orig","r"
"174",148,"The Best Men Are Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,"208",-0.030172295,-0.0301814559621975,"Fudenberg_orig","r"
"175",149,"The Best Men Are Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,"208",0.188662549,0.190949992796085,"Huck_orig","r"
"176",149,"The Best Men Are Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0,"208",0.018283411,0.0182854486872587,"Ifcher_orig","r"
"177",150,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",0,"14",0.722536382,0.91293165300265,"Kessler_orig","r"
"178",150,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",0,"14",0.207514339,0.210572424096054,"Kirchler_orig","r"
"179",151,"With a clean conscience: Cleanliness reduces the severity of moral judgments.",0,"43",0.400010244,0.423661125491187,"Kogan_orig","r"
"180",151,"With a clean conscience: Cleanliness reduces the severity of moral judgments.",0,"43",0.002839798,0.00283980563384237,"Kuziemko_orig","r"
"181",153,"Extremal edge: a powerful cue to depth perception and figure-ground organization",0,"8",0.859552403,1.29162832504362,"Abeler_orig","r"
"182",153,"Extremal edge: a powerful cue to depth perception and figure-ground organization",0,"8",0.120073568,0.120655671934318,"Ambrus_orig","r"
"183",154,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",0,"70",0.43,0.459896681212679,"Bartling_orig","r"
"184",154,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",0,"70",0.11,0.110446915790097,"Charness_orig","r"
"185",155,"Personality dominance and preferential use of the vertical dimension of space",0,"53",0.31,0.320545409301946,"Chen_orig","r"
"186",155,"Personality dominance and preferential use of the vertical dimension of space",0,"53",-0.034,-0.0340131104279282,"deClippel_orig","r"
"187",158,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",0,"40",0.374787884,0.393981877130233,"Duffy_orig","r"
"188",158,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",0,"40",0.411336583,0.437218946739661,"Dulleck_orig","r"
"189",161,"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",0,"48",0.483442318,0.527466797836033,"Ericson_orig","r"
"190",161,"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",0,"48",0.177837588,0.179748763345337,"Fehr_orig","r"
"191",165,"The value heuristic in judgments of relative frequency.",0,"56",0.28378815,0.291797237670132,"Friedman_orig","r"
"192",165,"The value heuristic in judgments of relative frequency.",0,"56",-0.175454592,-0.177289012352195,"Fudenberg_orig","r"
"193",167,"Head up, foot down: Object words orient attention to the objects' typical location.",0,"18",0.595271914,0.685792015328455,"Huck_orig","r"
"194",167,"Head up, foot down: Object words orient attention to the objects' typical location.",0,"18",0.25414164,0.259835474573725,"Ifcher_orig","r"
"195",1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,"29",0.594605285,0.684760158473966,"Kessler_orig","r"
"196",1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,"29",0.148340453,0.149443120256283,"Kirchler_orig","r"
"197",2,"Now you see it, now you don't: repetition blindness for nonwords",0,"24",0.611120054,0.710707113969394,"Kogan_orig","r"
"198",2,"Now you see it, now you don't: repetition blindness for nonwords",0,"24",0.229604631,0.233772054589965,"Kuziemko_orig","r"
"199",3,"Working memory costs of task switching.",0,"32",0.424979665,0.453753708518042,"Abeler_orig","r"
"200",3,"Working memory costs of task switching.",0,"32",-0.215243835,-0.218663485593077,"Ambrus_orig","r"
"201",4,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0,"270",0.228739615,0.232859089732106,"Bartling_orig","r"
"202",4,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0,"270",-0.006108358,-0.00610843397346169,"Charness_orig","r"
"203",5,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0,"48",0.461300742,0.498962392476004,"Chen_orig","r"
"204",5,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0,"48",0.134811802,0.135637524870972,"deClippel_orig","r"
"205",6,"A single-system account of the relationship between priming, recognition, and fluency.",0,"32",0.594960462,0.685309769582024,"Duffy_orig","r"
"206",6,"A single-system account of the relationship between priming, recognition, and fluency.",0,"32",0.395843475,0.418710420698763,"Dulleck_orig","r"
"207",7,"Modeling distributions of immediate memory effects: No strategies needed?",0,"15",0.715143728,0.897633709106095,"Ericson_orig","r"
"208",7,"Modeling distributions of immediate memory effects: No strategies needed?",0,"15",0.131411981,0.132176372921613,"Fehr_orig","r"
"209",8,"Stereotypes and retrieval-provoked illusory source recollections.",0,"33",0.561422534,0.634908053973584,"Friedman_orig","r"
"210",8,"Stereotypes and retrieval-provoked illusory source recollections.",0,"33",-0.110614348,-0.111068831072181,"Fudenberg_orig","r"
