"experiment","site","n","r","z","vz","d","vd","replicated","cirep","meta","stat","pvalo","pvalr","exp_name","es"
"DM Amodio","DM Amodio_orig",48,0.377126878,0.396705896912039,0.0222222222222222,0.814386768172811,0.0992175703867012,0,0,0,"F",0.030503191,0.513076239,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.","z"
"E van Dijk","E van Dijk_orig",103,0.379139495,0.399054301120861,0.01,0.819460280795095,0.0457991681549096,0,0,1,"t",9.23e-05,0.796267394,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.","z"
"EP Lemay","EP Lemay_orig",186,0.167288593,0.168875882264062,0.00546448087431694,0.33935944930939,0.0222441342477599,0,0,0,"F",0.023221684,0.540253118,"Walking on eggshells: How expressing relationship insecurities perpetuates them.","z"
"H Ersner-Hershfield","H Ersner-Hershfield_orig",110,0.219666896,0.223306089724669,0.00934579439252336,0.450333209687123,0.0385577981628175,0,0,0,"t",0.021121432,0.944257246,"Poignancy: Mixed emotional experience in the face of meaningful endings.","z"
"J Correll","J Correll_orig",71,0.274010238,0.281194479704791,0.0147058823529412,0.569829696259796,0.0617815126105647,0,0,1,"F",0.021711499,0.374369532,"1/f noise and effort on implicit measures of bias.","z"
"JJ Exline","JJ Exline_orig",45,0.431865646,0.462187795505302,0.0238095238095238,0.957639373062834,0.111751662928186,0,0,0,"F",0.003830676,0.893478732,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?","z"
"JL Risen","JL Risen_orig",122,0.185849827,0.188035056711107,0.00840336134453781,0.378290164469662,0.0342405243680536,0,0,0,"F",0.043910406,0.964369609,"Why people are reluctant to tempt fate.","z"
"KE Stanovich","KE Stanovich_orig",375,0.222131584,0.225897217190119,0.00268817204301075,0.455646728282793,0.0112503046550663,0,0,1,"t",1.41e-05,0.331896286,"On the relative independence of thinking biases and cognitive ability.","z"
"KL Blankenship","KL Blankenship_orig",261,0.207643072,0.210706953837397,0.00387596899224806,0.424539118916466,0.0160778210134245,0,0,1,"F",0.000773087,0.48458607,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.","z"
"N Shnabel","N Shnabel_orig",94,0.268278965,0.275008386572745,0.010989010989011,0.556975963049383,0.0463464755205891,0,0,0,"F",0.009719762,0.233830099,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.","z"
"NO Rule","NO Rule_orig",50,0.3,0.309519604203112,0.0212765957446809,0.628970902033151,0.0897062121551917,0,1,1,"r",0.033841139,0.086,"The face of success: inferences from chief executive officers' appearance predict company profits.","z"
"PA Goff","PA Goff_orig",55,0.395559206,0.418373377644792,0.0192307692307692,0.861371454744204,0.0878140885749657,0,0,1,"F",0.003371756,0.929110139,"The space between us: Stereotype threat and distance in interracial contexts.","z"
"PW Eastwick","PW Eastwick_orig",163,0.139816632,0.140738547101889,0.00625,0.282407233592759,0.0251836657134908,1,1,0,"t",0.477948177,0.881922196,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?","z"
"SL Murray","SL Murray_orig",91,0.317462994,0.328823222570441,0.0113636363636364,0.669561986662229,0.0494257028220341,0,0,0,"t",0.003071238,0.2649653,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.","z"
"SM McCrea","SM McCrea_orig",28,0.344312999,0.358977418835944,0.04,0.733474346404709,0.168073504327178,1,1,1,"t",0.036392019,0.011765834,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.","z"
"V Purdie-Vaughns","V Purdie-Vaughns_orig",90,0.378274916,0.398044963704019,0.0114942528735632,0.817279147426268,0.0524488225260428,0,0,0,"F",0.000819277,0.154430586,"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.","z"
"B Dessalegn","B Dessalegn_orig",36,0.381744212,0.402099816773692,0.0303030303030303,0.826046573844292,0.13378151263314,0,0,0,"t",0.021595498,0.132031044,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.","z"
"B Eitam","B Eitam_orig",86,0.222330235,0.226106188572231,0.0120481927710843,0.456075390139388,0.0495059383704799,0,1,1,"t",0.039641746,0.189435742,"Nonconscious goal pursuit in novel environments: The case of implicit learning.","z"
"C Farris","C Farris_orig",280,0.554427187,0.624750856813491,0.0036101083032491,1.33238575278883,0.0206998272194791,0,0,1,"F",5.76e-24,0.277177119,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent","z"
"C Janiszewski","C Janiszewski_orig",59,0.333441051,0.34669477755082,0.0178571428571429,0.707363863402615,0.0775924764697909,1,1,1,"F",0.011256115,0.013965691,"Precision of the anchor influences the amount of adjustment.","z"
"C McKinstry","C McKinstry_orig",141,0.701088742,0.869438514085779,0.0072463768115942,1.96638416219322,0.056190476238031,1,1,1,"F",0.016232104,0.007800372,"Action dynamics reveal parallel competition in decision making","z"
"DA Armor","DA Armor_orig",125,0.681152182,0.831260365276445,0.00819672131147541,1.86071093069637,0.0601793965130075,1,0,1,"t",1.69e-18,4.59e-35,"Prescribed optimism: Is it right to be wrong about the future?","z"
"DR Addis","DR Addis_orig",32,0.570693584,0.648550826829565,0.0344827586206897,1.38996402914849,0.191354838784732,1,1,1,"F",0.000647885,5.14e-05,"Age-related changes in the episodic simulation of future events","z"
"E Nurmsoo","E Nurmsoo_orig",32,0.501799075,0.551707796113811,0.0344827586206897,1.16025025103555,0.172457440162195,0,0,1,"t",0.00292708,0.191700924,"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?","z"
"E Vul","E Vul_orig",173,0.28771881,0.296077402194826,0.00588235294117647,0.60084436633184,0.0253547322822832,1,1,1,"t",0.000118,9.5e-05,"Measuring the crowd within: Probabilistic representations within individuals.","z"
"EJ Masicampo","EJ Masicampo_orig",115,0.21368683,0.217031412373752,0.00892857142857143,0.437478442786884,0.0367665560342389,0,0,0,"F",0.023051359,0.539024693,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.","z"
"G Hajcak","G Hajcak_orig",31,0.38,0.400059650056057,0.0357142857142857,0.82163362512238,0.155836060464391,0,1,1,"r",0.01713346,0.053115031,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity","z"
"GA Alvarez","GA Alvarez_orig",8,0.721890032,0.911580609250947,0.2,2.08636388844754,1.19327346785971,1,0,1,"t",0.02809598,4.9e-08,"The representation of simple ensemble visual features outside the focus of attention","z"
"GP Lau","GP Lau_orig",36,0.384260399,0.405048559767843,0.0303030303030303,0.832430884200087,0.134084033627718,0,0,0,"F",0.02067727,0.778156632,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.","z"
"J Winawer","J Winawer_orig",29,0.685347348,0.83912881221931,0.0384615384615385,1.88226307670776,0.269389796069191,1,1,1,"t",2.93e-05,0.004708112,"A motion aftereffect from still photographs depicting motion","z"
"JA Richeson","JA Richeson_orig",28,0.371775163,0.390481398198824,0.04,0.800960961967162,0.171908831947976,0,0,0,"F",0.051411614,0.887981301,"The threat of appearing prejudiced and race-based attentional biases.","z"
"JS Nairne","JS Nairne_orig",24,0.445652636,0.479262324352725,0.0476190476190476,0.995642681413101,0.217013232567455,1,1,1,"F",0.025570456,0.007242548,"Adaptive memory: The comparative value of survival processing.","z"
"JT Larsen","JT Larsen_orig",119,0.20996855,0.213138445861106,0.00862068965517241,0.429511714797468,0.0354616975690531,1,0,1,"t",0.023,2.41e-16,"Is happiness having what you want, wanting what you have, or both?","z"
"KA Ranganath","KA Ranganath_orig",564,0.00464002,0.00464005329997545,0.0017825311942959,0.00928013990024891,0.00710494870514488,0,0,1,"t",0.912448643,3.14e-10,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time","z"
"KD Vohs","KD Vohs_orig",30,0.498149178,0.546841417850272,0.037037037037037,1.14901199795405,0.183456157635943,0,0,1,"t",0.005086904,0.444536036,"The value of believing in free will: Encouraging a belief in determinism increases cheating.","z"
"N Halevy","N Halevy_orig",240,0.768651993,1.01702492443777,0.00421940928270042,2.40328722593017,0.0409028848967328,1,1,1,"F",2.1e-16,8.85e-06,"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm","z"
"N Janssen 2","N Janssen 2_orig",15,0.649955571,0.775221776719086,0.0833333333333333,1.71047194841308,0.49469387759343,0,1,1,"t",0.006420541,0.083950437,"A word-order constraint on phonological activation","z"
"P Bressan 1","P Bressan 1_orig",208,0.188662549,0.190949992796085,0.0048780487804878,0.384225020137164,0.020036854425601,0,0,0,"F",0.008092031,0.627520896,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk","z"
"P Bressan 2","P Bressan 2_orig",208,0.188662549,0.190949992796085,0.0048780487804878,0.384225020137164,0.020036854425601,0,0,0,"F",0.008092031,0.74612573,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk","z"
"S Forti","S Forti_orig",14,0.722536382,0.91293165300265,0.0909090909090909,2.09027050054594,0.643786981957889,0,0,1,"F",0.002344469,0.380003702,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field","z"
"S Schnall","S Schnall_orig",43,0.400010244,0.423661125491187,0.025,0.872898173329979,0.113379790976257,0,0,0,"F",0.007866967,0.974823723,"With a clean conscience: Cleanliness reduces the severity of moral judgments.","z"
"SE Palmer","SE Palmer_orig",8,0.859552403,1.29162832504362,0.2,3.3638838142428,2.18795918796067,0,0,1,"t",0.002971641,0.758308044,"Extremal edge: a powerful cue to depth perception and figure-ground organization","z"
"SJ Heine","SJ Heine_orig",70,0.43,0.459896681212679,0.0149253731343284,0.952561456508692,0.0711213525858835,1,1,1,"r",0.000166938,0.690466537,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness","z"
"SK Moeller","SK Moeller_orig",53,0.31,0.320545409301946,0.02,0.652125970874945,0.0851013131132613,0,0,0,"r",0.023414774,0.777533992,"Personality dominance and preferential use of the vertical dimension of space","z"
"T Goschke","T Goschke_orig",40,0.374787884,0.393981877130233,0.027027027027027,0.808507396922827,0.119325236176383,1,1,1,"F",0.017182464,3.46e-05,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.","z"
"V Lobue","V Lobue_orig",48,0.483442318,0.527466797836033,0.0222222222222222,1.10453610090903,0.111063829749177,0,0,1,"F",0.000665379,0.237041962,"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.","z"
"Z Estes","Z Estes_orig",18,0.595271914,0.685792015328455,0.0666666666666667,1.48165249515248,0.364429065670092,0,1,1,"F",0.007169828,0.241925362,"Head up, foot down: Object words orient attention to the objects' typical location.","z"
"A Roelofs","A Roelofs_rep",29,0.148340453,0.149443120256283,0.0384615384615385,0.300000000144246,0.14607142857452,0,0,1,"F",0.019394664,0.434030725,"Tracing attention and the activation flow in spoken word planning using eye movements.","z"
"AL Morris","AL Morris_rep",24,0.229604631,0.233772054589965,0.0476190476190476,0.471814259322305,0.183591682404342,0,0,1,"F",0.001173471,0.269558068,"Now you see it, now you don't: repetition blindness for nonwords","z"
"B Liefooghe","B Liefooghe_rep",32,-0.215243835,-0.218663485593077,0.0344827586206897,-0.440820350529251,0.135300728433572,0,0,0,"F",0.030449585,0.228988827,"Working memory costs of task switching.","z"
"BC Storm","BC Storm_rep",270,-0.006108358,-0.00610843397346169,0.00374531835205993,-0.0122169439216607,0.0148704433223747,0,0,1,"F",0.00141669,0.920419089,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.","z"
"C Mitchell","C Mitchell_rep",48,0.134811802,0.135637524870972,0.0222222222222222,0.272107614076015,0.086681756460386,0,0,1,"F",0.00689115,0.355722382,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.","z"
"CJ Berry","CJ Berry_rep",32,0.395843475,0.418710420698763,0.0344827586206897,0.86210545010964,0.153007284100282,1,1,1,"t",0.001706566,0.02258934,"A single-system account of the relationship between priming, recognition, and fluency.","z"
"CP Beaman","CP Beaman_rep",15,0.131411981,0.132176372921613,0.0833333333333333,0.265123151737597,0.290735020399091,0,0,1,"t",2.22e-17,0.313795083,"Modeling distributions of immediate memory effects: No strategies needed?","z"
"CS Dodson","CS Dodson_rep",33,-0.110614348,-0.111068831072181,0.0333333333333333,-0.222594669535617,0.126548387090802,0,0,1,"F",0.000200441,0.539998592,"Stereotypes and retrieval-provoked illusory source recollections.","z"
"D Ganor-Stern","D Ganor-Stern_rep",32,0.780725807,1.04722667369848,0.0344827586206897,2.49882731082162,0.330456062235742,1,1,1,"F",1.76e-05,2.21e-07,"Across-notation automatic numerical processing.","z"
"D Mirman","D Mirman_rep",30,0.466443576,0.505515292648616,0.037037037037037,1.05464489939276,0.176285374614316,1,1,1,"F",0.000443918,0.008168915,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.","z"
"JR Schmidt","JR Schmidt_rep",242,0.24687812,0.252085564199444,0.00418410041841004,0.509527891964372,0.0176747662767206,1,1,1,"t",0.028373705,5.05e-05,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.","z"
"K Oberauer","K Oberauer_rep",21,0.401939168,0.425959601340054,0.0555555555555556,0.877916193476481,0.238536842138412,0,1,1,"F",0.000692486,0.070889711,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.","z"
"L Sahakyan","L Sahakyan_rep",108,0.019422053,0.0194244956568418,0.00952380952380952,0.0388514343852708,0.0373972844294747,0,0,0,"F",0.028172412,0.841863775,"Intentional forgetting is easier after two ""shots"" than one.","z"
"M Bassok","M Bassok_rep",49,0.284274426,0.29232618593634,0.0217391304347826,0.593014895155185,0.0906597222057482,1,1,1,"F",3.54e-06,0.045417099,"Priming addition facts with semantic relations.","z"
"M Reynolds","M Reynolds_rep",20,0.14406846,0.145077808249329,0.0588235294117647,0.291174533323742,0.214988558360858,1,1,1,"F",0.117205428,0.165946909,"Contextual effects on reading aloud: Evidence for pathway control.","z"
"MJ Yap","MJ Yap_rep",71,0.379573968,0.399561810599662,0.0147058823529412,0.82055730153517,0.066761632644324,1,1,1,"F",0.030057008,0.001007522,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.","z"
"N Janssen 1","N Janssen 1_rep",91,0.103261105,0.103630490542844,0.0113636363636364,0.207632152570772,0.0449234567864575,0,0,0,"F",0.051569634,0.327320513,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.","z"
"NB Turk-Browne","NB Turk-Browne_rep",15,0.703904904,0.874998612661069,0.0833333333333333,1.9820093679085,0.566311509605505,1,1,1,"t",0.023249789,0.002339966,"Multidimensional visual statistical learning.","z"
"PA White","PA White_rep",38,0.480717115,0.523916497045395,0.0285714285714286,1.0964315594312,0.140598977419371,1,1,1,"F",2.91e-05,0.001950822,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.","z"
"S Farrell","S Farrell_rep",40,0.315999964,0.327197057137755,0.027027027027027,0.666133120910009,0.113941880378803,1,1,1,"t",0.000541079,0.04414462,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.","z"
"S Pacton","S Pacton_rep",24,0.681560537,0.832022572221689,0.0476190476190476,1.8627936005185,0.324782608614464,1,1,1,"F",0.000190422,0.00047793,"An attention-based associative account of adjacent and nonadjacent dependency learning.","z"
"T Makovski","T Makovski_rep",18,0.349791589,0.365206268595273,0.0666666666666667,0.746757696919994,0.268096885759368,1,1,1,"F",0.05088911,0.142093022,"Orienting attention in visual working memory reduces interference from memory probes.","z"
"BK Payne","BK Payne_rep",180,0.150236955,0.151382853963031,0.00564971751412429,0.303923435637463,0.022862399188434,1,0,1,"t",0.003000884,0.045320778,"Why do implicit and explicit attitude tests diverge? The role of structural fit.","z"
"CR Cox","CR Cox_rep",200,-0.052290282,-0.0523380189858188,0.0050761421319797,-0.104723833808349,0.0201556134742086,0,0,0,"t",0.028875522,0.468999328,"Terror management and adults' attachment to their parents: The safe haven remains.","z"
"D Albarracin","D Albarracin_rep",88,-0.030485538,-0.0304949873644914,0.0117647058823529,-0.060999428047954,0.0460197808071515,0,0,0,"F",0.022889441,0.777977082,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","z"
"DB Centerbar","DB Centerbar_rep",113,0.094021673,0.0943002047242516,0.00909090909090909,0.188880056180723,0.0360328185323467,0,1,1,"F",0.017513309,0.321906461,"Affective incoherence: When affective concepts and embodied reactions clash.","z"
"DM Amodio","DM Amodio_rep",75,0.076700677,0.0768516200278652,0.0138888888888889,0.15385458435809,0.0543739355828108,0,0,0,"F",0.030503191,0.513076239,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.","z"
"E van Dijk","E van Dijk_rep",83,-0.042140104,-0.0421650745796795,0.0125,-0.0843551397183251,0.0488672657267914,0,0,1,"t",9.23e-05,0.796267394,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.","z"
"EP Lemay","EP Lemay_rep",280,0.03675175,0.0367683101769055,0.0036101083032491,0.0735531906058308,0.0143563085012484,0,0,0,"F",0.023221684,0.540253118,"Walking on eggshells: How expressing relationship insecurities perpetuates them.","z"
"H Ersner-Hershfield","H Ersner-Hershfield_rep",222,-0.004719346,-0.00471938103724945,0.0045662100456621,-0.00943879711209965,0.0180999506375155,0,0,0,"t",0.021121432,0.944257246,"Poignancy: Mixed emotional experience in the face of meaningful endings.","z"
"J Correll","J Correll_rep",148,0.073797292,0.0739316991417272,0.00689655172413793,0.147998136097599,0.0273598874033222,0,0,1,"F",0.021711499,0.374369532,"1/f noise and effort on implicit measures of bias.","z"
"JJ Exline","JJ Exline_rep",135,0.011721165,0.0117217018177724,0.00757575757575758,0.0234439404865086,0.029854847898101,0,0,0,"F",0.003830676,0.893478732,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?","z"
"JL Risen","JL Risen_rep",226,0.003001488,0.00300149701344736,0.00448430493273543,0.00600300304037863,0.01777793793798,0,0,0,"F",0.043910406,0.964369609,"Why people are reluctant to tempt fate.","z"
"KE Stanovich","KE Stanovich_rep",177,0.073353737,0.0734857299440754,0.00574712643678161,0.147103773658382,0.0228502245467303,0,0,1,"t",1.41e-05,0.331896286,"On the relative independence of thinking biases and cognitive ability.","z"
"KL Blankenship","KL Blankenship_rep",251,0.04449582,0.044525220365058,0.00403225806451613,0.0890798673261405,0.0160317408910514,0,0,1,"F",0.000773087,0.48458607,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.","z"
"N Shnabel","N Shnabel_rep",141,-0.101637251,-0.101989411675437,0.0072463768115942,-0.204332633164914,0.0288696558926865,0,0,0,"F",0.009719762,0.233830099,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.","z"
"NO Rule","NO Rule_rep",50,0.27,0.2768638226551,0.0212765957446809,0.560829008703686,0.0880516158572155,0,1,1,"r",0.033841139,0.086,"The face of success: inferences from chief executive officers' appearance predict company profits.","z"
"PA Goff","PA Goff_rep",51,0.013045451,0.013046191117014,0.0208333333333333,0.0260931224077289,0.0800136170207397,0,0,1,"F",0.003371756,0.929110139,"The space between us: Stereotype threat and distance in interracial contexts.","z"
"PW Eastwick","PW Eastwick_rep",304,0.0294047,0.0294131791904262,0.00332225913621262,0.0588348408724416,0.0132127443514867,1,1,0,"t",0.477948177,0.881922196,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?","z"
"SL Murray","SL Murray_rep",76,-0.1351,-0.135931069224414,0.0136986301369863,-0.272700123293101,0.054324871429921,0,0,0,"t",0.003071238,0.2649653,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.","z"
"SM McCrea","SM McCrea_rep",61,0.28970838,0.298247895841039,0.0172413793103448,0.605378435941475,0.0727747175117158,1,1,1,"t",0.036392019,0.011765834,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.","z"
"V Purdie-Vaughns","V Purdie-Vaughns_rep",1490,-0.036935346,-0.0369521557380355,0.000672494956287828,-0.0739211315435857,0.00269003649005284,0,0,0,"F",0.000819277,0.154430586,"Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.","z"
"B Dessalegn","B Dessalegn_rep",47,-0.222920955,-0.226727712667986,0.0227272727272727,-0.457350436907506,0.0915036830899888,0,0,0,"t",0.021595498,0.132031044,"More than meets the eye: the role of language in binding and maintaining feature conjunctions.","z"
"B Eitam","B Eitam_rep",158,0.104941786,0.105329585238058,0.00645161290322581,0.211048906701217,0.0257614117262406,0,1,1,"t",0.039641746,0.189435742,"Nonconscious goal pursuit in novel environments: The case of implicit learning.","z"
"C Farris","C Farris_rep",144,0.091162691,0.0914164977721764,0.00709219858156028,0.183087757134156,0.0282064414462407,0,0,1,"F",5.76e-24,0.277177119,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent","z"
"C Janiszewski","C Janiszewski_rep",120,0.225764222,0.229721666607801,0.00854700854700855,0.46349496975127,0.0354187192183591,1,1,1,"F",0.011256115,0.013965691,"Precision of the anchor influences the amount of adjustment.","z"
"C McKinstry","C McKinstry_rep",51,0.750404422,0.973880109255998,0.0208333333333333,2.27058485082364,0.183111111295796,1,1,1,"F",0.016232104,0.007800372,"Action dynamics reveal parallel competition in decision making","z"
"DA Armor","DA Armor_rep",177,0.763508789,1.00457484452595,0.00574712643678161,2.3645457405937,0.0544947531781807,1,0,1,"t",1.69e-18,4.59e-35,"Prescribed optimism: Is it right to be wrong about the future?","z"
"DR Addis","DR Addis_rep",32,0.652730428,0.780041330582545,0.0344827586206897,1.72317536337172,0.224817204288106,1,1,1,"F",0.000647885,5.14e-05,"Age-related changes in the episodic simulation of future events","z"
