"","site","exp_name","n","r","z","vz","experiment"
"34","50_0","Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",98,0.208058463,0.211141100838117,0.0105263157894737,50
"35","52_0","Affective incoherence: When affective concepts and embodied reactions clash.",133,0.20573686,0.208715672093056,0.00769230769230769,52
"36","53_0","Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",48,0.377126878,0.396705896912039,0.0222222222222222,53
"37","55_0","Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",57,0.229852265,0.234033485657996,0.0185185185185185,55
"38","56_0","A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",103,0.379139495,0.399054301120861,0.01,56
"39","58_0","Walking on eggshells: How expressing relationship insecurities perpetuates them.",186,0.167288593,0.168875882264062,0.00546448087431694,58
"40","61_0","Poignancy: Mixed emotional experience in the face of meaningful endings.",110,0.219666896,0.223306089724669,0.00934579439252336,61
"41","63_0","1/f noise and effort on implicit measures of bias.",71,0.274010238,0.281194479704791,0.0147058823529412,63
"42","64_0","The effect of global versus local processing styles on assimilation versus contrast in social judgment.",82,0.425496777,0.454384970010148,0.0126582278481013,64
"43","65_0","Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",45,0.431865646,0.462187795505302,0.0238095238095238,65
"44","68_0","Why people are reluctant to tempt fate.",122,0.185849827,0.188035056711107,0.00840336134453781,68
"45","71_0","On the relative independence of thinking biases and cognitive ability.",375,0.222131584,0.225897217190119,0.00268817204301075,71
"46","72_0","Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",261,0.207643072,0.210706953837397,0.00387596899224806,72
"47","73_0","Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",37,0.322574106,0.334517515861865,0.0294117647058824,73
"48","80_0","The effects of an implemental mind-set on attitude strength.",46,0.259958534,0.266063935058371,0.0232558139534884,80
"49","81_0","A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",94,0.268278965,0.275008386572745,0.010989010989011,81
"50","82_0","The face of success: inferences from chief executive officers' appearance predict company profits.",50,0.3,0.309519604203112,0.0212765957446809,82
"51","84_0","Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",52,0.503449638,0.553916296490002,0.0204081632653061,84
"52","86_0","Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",85,0.212014281,0.215279491482967,0.0121951219512195,86
"53","87_0","The space between us: Stereotype threat and distance in interracial contexts.",55,0.395559206,0.418373377644792,0.0192307692307692,87
"54","89_0","Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",163,0.139816632,0.140738547101889,0.00625,89
"55","93_0","Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",91,0.317462994,0.328823222570441,0.0113636363636364,93
"56","94_0","Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",28,0.344312999,0.358977418835944,0.04,94
"57","97_0","Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",90,0.378274916,0.398044963704019,0.0114942528735632,97
"58","104_0","Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",236,0.127392361,0.128088292454287,0.00429184549356223,104
"59","106_0","More than meets the eye: the role of language in binding and maintaining feature conjunctions.",36,0.381744212,0.402099816773692,0.0303030303030303,106
"60","107_0","Nonconscious goal pursuit in novel environments: The case of implicit learning.",86,0.222330235,0.226106188572231,0.0120481927710843,107
"61","110_0","Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",280,0.554427187,0.624750856813491,0.0036101083032491,110
"62","111_0","Precision of the anchor influences the amount of adjustment.",59,0.333441051,0.34669477755082,0.0178571428571429,111
"63","112_0","Action dynamics reveal parallel competition in decision making",141,0.701088742,0.869438514085779,0.0072463768115942,112
"64","113_0","Prescribed optimism: Is it right to be wrong about the future?",125,0.681152182,0.831260365276445,0.00819672131147541,113
"65","114_0","Age-related changes in the episodic simulation of future events",32,0.570693584,0.648550826829565,0.0344827586206897,114
"66","115_0","Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",32,0.501799075,0.551707796113811,0.0344827586206897,115
"67","116_0","Measuring the crowd within: Probabilistic representations within individuals.",173,0.28771881,0.296077402194826,0.00588235294117647,116
"68","117_0","Temporal selection is suppressed, delayed, and diffused during the attentional blink.",12,0.130782132,0.131535509743525,0.111111111111111,117
"69","118_0","Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",115,0.21368683,0.217031412373752,0.00892857142857143,118
"70","120_0","Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",31,0.38,0.400059650056057,0.0357142857142857,120
"71","121_0","The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",12,0.851679354,1.2622359039858,0.111111111111111,121
"72","122_0","The representation of simple ensemble visual features outside the focus of attention",8,0.721890032,0.911580609250947,0.2,122
"73","124_0","Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",36,0.384260399,0.405048559767843,0.0303030303030303,124
"74","127_0","A motion aftereffect from still photographs depicting motion",29,0.685347348,0.83912881221931,0.0384615384615385,127
"75","129_0","The threat of appearing prejudiced and race-based attentional biases.",28,0.371775163,0.390481398198824,0.04,129
"76","132_0","Where do we look during potentially offensive behavior?",25,0.246947019,0.252158936395347,0.0454545454545455,132
"77","133_0","Adaptive memory: The comparative value of survival processing.",24,0.445652636,0.479262324352725,0.0476190476190476,133
"78","134_0","Is happiness having what you want, wanting what you have, or both?",119,0.20996855,0.213138445861106,0.00862068965517241,134
"79","135_0","Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",564,0.00464002,0.00464005329997545,0.0017825311942959,135
"80","136_0","The value of believing in free will: Encouraging a belief in determinism increases cheating.",30,0.498149178,0.546841417850272,0.037037037037037,136
"81","139_0","Auditory change detection: simple sounds are not memorized better than complex sounds",4,0.496363588,0.544469283070039,1,139
"82","140_0","Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",84,0.233776428,0.238180507391454,0.0123456790123457,140
"83","142_0","Hedonic and instrumental motives in anger regulation.",82,0.593405778,0.68290665629042,0.0126582278481013,142
"84","143_0","Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",57,0.172960188,0.174716536811263,0.0185185185185185,143
"85","145_0","ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",240,0.768651993,1.01702492443777,0.00421940928270042,145
"86","146_0","A word-order constraint on phonological activation",15,0.649955571,0.775221776719086,0.0833333333333333,146
"87","148_0","The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",208,0.188662549,0.190949992796085,0.0048780487804878,148
"88","149_0","The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",208,0.188662549,0.190949992796085,0.0048780487804878,149
"89","150_0","Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",14,0.722536382,0.91293165300265,0.0909090909090909,150
"90","151_0","With a clean conscience: Cleanliness reduces the severity of moral judgments.",43,0.400010244,0.423661125491187,0.025,151
"91","153_0","Extremal edge: a powerful cue to depth perception and figure-ground organization",8,0.859552403,1.29162832504362,0.2,153
"92","154_0","What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",70,0.43,0.459896681212679,0.0149253731343284,154
"93","155_0","Personality dominance and preferential use of the vertical dimension of space",53,0.31,0.320545409301946,0.02,155
"94","158_0","Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",40,0.374787884,0.393981877130233,0.027027027027027,158
"95","161_0","Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",48,0.483442318,0.527466797836033,0.0222222222222222,161
"96","165_0","The value heuristic in judgments of relative frequency.",56,0.28378815,0.291797237670132,0.0188679245283019,165
"97","167_0","Head up, foot down: Object words orient attention to the objects' typical location.",18,0.595271914,0.685792015328455,0.0666666666666667,167
"98","1_1","Tracing attention and the activation flow in spoken word planning using eye movements.",29,0.148340453,0.149443120256283,0.0384615384615385,1
"99","2_1","Now you see it, now you don't: repetition blindness for nonwords",24,0.229604631,0.233772054589965,0.0476190476190476,2
"100","3_1","Working memory costs of task switching.",32,-0.215243835,-0.218663485593077,0.0344827586206897,3
"101","4_1","Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",270,-0.006108358,-0.00610843397346169,0.00374531835205993,4
"102","5_1","The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",48,0.134811802,0.135637524870972,0.0222222222222222,5
"103","6_1","A single-system account of the relationship between priming, recognition, and fluency.",32,0.395843475,0.418710420698763,0.0344827586206897,6
"104","7_1","Modeling distributions of immediate memory effects: No strategies needed?",15,0.131411981,0.132176372921613,0.0833333333333333,7
"105","8_1","Stereotypes and retrieval-provoked illusory source recollections.",33,-0.110614348,-0.111068831072181,0.0333333333333333,8
"106","10_1","Across-notation automatic numerical processing.",32,0.780725807,1.04722667369848,0.0344827586206897,10
"107","11_1","Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",30,0.466443576,0.505515292648616,0.037037037037037,11
"108","12_1","When does between-sequence phonological similarity promote irrelevant sound disruption?",118,0.08323764,0.0834306805876074,0.00869565217391304,12
"109","13_1","Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",36,0.524539034,0.582581291188142,0.0303030303030303,13
"110","15_1","The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",242,0.24687812,0.252085564199444,0.00418410041841004,15
"111","17_1","The ultimate sampling dilemma in experience-based decision making.",47,0.434510306,0.465443374485164,0.0227272727272727,17
"112","19_1","How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",21,0.401939168,0.425959601340054,0.0555555555555556,19
"113","20_1","Intentional forgetting is easier after two ""shots"" than one.",108,0.019422053,0.0194244956568418,0.00952380952380952,20
"114","22_1","How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",32,0.064661345,0.0647516900439762,0.0344827586206897,22
"115","24_1","Priming addition facts with semantic relations.",49,0.284274426,0.29232618593634,0.0217391304347826,24
"116","25_1","Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",63,0.2733272,0.280456144360303,0.0166666666666667,25
"117","26_1","Contextual effects on reading aloud: Evidence for pathway control.",20,0.14406846,0.145077808249329,0.0588235294117647,26
"118","27_1","On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",71,0.379573968,0.399561810599662,0.0147058823529412,27
"119","28_1","Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",91,0.103261105,0.103630490542844,0.0113636363636364,28
"120","29_1","Multidimensional visual statistical learning.",15,0.703904904,0.874998612661069,0.0833333333333333,29
"121","32_1","Accounting for occurrences: A new view of the use of contingency information in causal judgment.",38,0.480717115,0.523916497045395,0.0285714285714286,32
"122","33_1","Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",40,0.315999964,0.327197057137755,0.027027027027027,33
"123","36_1","An attention-based associative account of adjacent and nonadjacent dependency learning.",24,0.681560537,0.832022572221689,0.0476190476190476,36
"124","37_1","Orienting attention in visual working memory reduces interference from memory probes.",18,0.349791589,0.365206268595273,0.0666666666666667,37
"125","39_1","Decision making and learning while taking sequential risks.",153,0.101709161,0.102062072805603,0.00666666666666667,39
"126","43_1","The rejection of moral rebels: Resenting those who do the right thing.",75,0.161063754,0.16247858884867,0.0138888888888889,43
"127","44_1","Why do implicit and explicit attitude tests diverge? The role of structural fit.",180,0.150236955,0.151382853963031,0.00564971751412429,44
"128","46_1","The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",455326,0.023841537,0.0238460558679042,2.19624310654195e-06,46
"129","48_1","Terror management and adults' attachment to their parents: The safe haven remains.",200,-0.052290282,-0.0523380189858188,0.0050761421319797,48
"130","49_1","Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",88,-0.030485538,-0.0304949873644914,0.0117647058823529,49
"131","50_1","Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",105,0.155043132,0.156303691857083,0.00980392156862745,50
"132","52_1","Affective incoherence: When affective concepts and embodied reactions clash.",113,0.094021673,0.0943002047242516,0.00909090909090909,52
"133","53_1","Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",75,0.076700677,0.0768516200278652,0.0138888888888889,53
"134","55_1","Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",71,0.066130007,0.0662266601626609,0.0147058823529412,55
"135","56_1","A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",83,-0.042140104,-0.0421650745796795,0.0125,56
"136","58_1","Walking on eggshells: How expressing relationship insecurities perpetuates them.",280,0.03675175,0.0367683101769055,0.0036101083032491,58
"137","61_1","Poignancy: Mixed emotional experience in the face of meaningful endings.",222,-0.004719346,-0.00471938103724945,0.0045662100456621,61
"138","63_1","1/f noise and effort on implicit measures of bias.",148,0.073797292,0.0739316991417272,0.00689655172413793,63
"139","64_1","The effect of global versus local processing styles on assimilation versus contrast in social judgment.",71,0.11385379,0.114349602276968,0.0147058823529412,64
"140","65_1","Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",135,0.011721165,0.0117217018177724,0.00757575757575758,65
"141","68_1","Why people are reluctant to tempt fate.",226,0.003001488,0.00300149701344736,0.00448430493273543,68
"142","71_1","On the relative independence of thinking biases and cognitive ability.",177,0.073353737,0.0734857299440754,0.00574712643678161,71
"143","72_1","Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",251,0.04449582,0.044525220365058,0.00403225806451613,72
"144","73_1","Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",120,0.2,0.202732554054082,0.00854700854700855,73
"145","80_1","The effects of an implemental mind-set on attitude strength.",70,0.15539539,0.156664646344502,0.0149253731343284,80
"146","81_1","A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",141,-0.101637251,-0.101989411675437,0.0072463768115942,81
"147","82_1","The face of success: inferences from chief executive officers' appearance predict company profits.",50,0.27,0.2768638226551,0.0212765957446809,82
"148","84_1","Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",150,0.217562252,0.221095810338853,0.00680272108843537,84
"149","86_1","Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",140,0.118808574,0.119372369949725,0.0072992700729927,86
"150","87_1","The space between us: Stereotype threat and distance in interracial contexts.",51,0.013045451,0.013046191117014,0.0208333333333333,87
"151","89_1","Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?",304,0.0294047,0.0294131791904262,0.00332225913621262,89
"152","93_1","Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",76,-0.1351,-0.135931069224414,0.0136986301369863,93
"153","94_1","Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",61,0.28970838,0.298247895841039,0.0172413793103448,94
"154","97_1","Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",1490,-0.036935346,-0.0369521557380355,0.000672494956287828,97
"155","104_1","Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",1146,0.018376516,0.0183785849799619,0.000874890638670166,104
"156","106_1","More than meets the eye: the role of language in binding and maintaining feature conjunctions.",47,-0.222920955,-0.226727712667986,0.0227272727272727,106
"157","107_1","Nonconscious goal pursuit in novel environments: The case of implicit learning.",158,0.104941786,0.105329585238058,0.00645161290322581,107
"158","110_1","Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",144,0.091162691,0.0914164977721764,0.00709219858156028,110
"159","111_1","Precision of the anchor influences the amount of adjustment.",120,0.225764222,0.229721666607801,0.00854700854700855,111
"160","112_1","Action dynamics reveal parallel competition in decision making",51,0.750404422,0.973880109255998,0.0208333333333333,112
"161","113_1","Prescribed optimism: Is it right to be wrong about the future?",177,0.763508789,1.00457484452595,0.00574712643678161,113
"162","114_1","Age-related changes in the episodic simulation of future events",32,0.652730428,0.780041330582545,0.0344827586206897,114
"163","115_1","Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",8,-0.450187899,-0.484935913612849,0.2,115
"164","116_1","Measuring the crowd within: Probabilistic representations within individuals.",140,0.322727228,0.334688430685667,0.0072992700729927,116
"165","117_1","Temporal selection is suppressed, delayed, and diffused during the attentional blink.",12,0.120519146,0.121107792678052,0.111111111111111,117
"166","118_1","Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",166,-0.048918238,-0.0489573144713753,0.00613496932515337,118
"167","120_1","Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",43,0.25,0.255412811882995,0.025,120
"168","121_1","The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",24,0.828997685,1.18492314412419,0.0476190476190476,121
"169","122_1","The representation of simple ensemble visual features outside the focus of attention",17,0.922934494,1.60847594653146,0.0714285714285714,122
"170","124_1","Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",70,-0.034279559,-0.0342929956428472,0.0149253731343284,124
"171","127_1","A motion aftereffect from still photographs depicting motion",26,0.527307869,0.58640880552693,0.0434782608695652,127
"172","129_1","The threat of appearing prejudiced and race-based attentional biases.",66,0.017674908,0.0176767489061405,0.0158730158730159,129
"173","132_1","Where do we look during potentially offensive behavior?",30,0.179397898,0.181360494878753,0.037037037037037,132
"174","133_1","Adaptive memory: The comparative value of survival processing.",38,0.423363806,0.451783336020072,0.0285714285714286,133
"175","134_1","Is happiness having what you want, wanting what you have, or both?",238,0.500179963,0.549546123796944,0.00425531914893617,134
"176","135_1","Implicit attitude generalization occurs immediately; explicit attitude generalization takes time",3597,0.105891025,0.10628949138422,0.000278241513633834,135
"177","136_1","The value of believing in free will: Encouraging a belief in determinism increases cheating.",58,0.102355162,0.102714869812966,0.0181818181818182,136
"178","139_1","Auditory change detection: simple sounds are not memorized better than complex sounds",5,0.505151268,0.556198279242192,0.5,139
"179","140_1","Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",125,0.044266281,0.0442952283539177,0.00819672131147541,140
"180","142_1","Hedonic and instrumental motives in anger regulation.",88,0.609913782,0.708784059252991,0.0117647058823529,142
"181","143_1","Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",78,0.061707156,0.0617856577111544,0.0133333333333333,143
"182","145_1","ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",120,0.652982567,0.780480766803962,0.00854700854700855,145
"183","146_1","A word-order constraint on phonological activation",12,0.497082522,0.545423705409234,0.111111111111111,146
"184","148_1","The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",263,-0.030172295,-0.0301814559621975,0.00384615384615385,148
"185","149_1","The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",318,0.018283411,0.0182854486872587,0.00317460317460317,149
"186","150_1","Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",19,0.207514339,0.210572424096054,0.0625,150
"187","151_1","With a clean conscience: Cleanliness reduces the severity of moral judgments.",126,0.002839798,0.00283980563384237,0.00813008130081301,151
"188","153_1","Extremal edge: a powerful cue to depth perception and figure-ground organization",8,0.120073568,0.120655671934318,0.2,153
"189","154_1","What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",16,0.11,0.110446915790097,0.0769230769230769,154
"190","155_1","Personality dominance and preferential use of the vertical dimension of space",72,-0.034,-0.0340131104279282,0.0144927536231884,155
"191","158_1","Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",95,0.411336583,0.437218946739661,0.0108695652173913,158
"192","161_1","Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",48,0.177837588,0.179748763345337,0.0222222222222222,161
"193","165_1","The value heuristic in judgments of relative frequency.",51,-0.175454592,-0.177289012352195,0.0208333333333333,165
"194","167_1","Head up, foot down: Object words orient attention to the objects' typical location.",22,0.25414164,0.259835474573725,0.0526315789473684,167
